miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	29988	8243.101680	N
hsa-let-7a-2	29944	8231.006960	N
hsa-let-7a-3	30258	8317.319282	N
hsa-let-7b	39262	10792.338874	N
hsa-let-7c	1258	345.799050	N
hsa-let-7d	3603	990.392669	N
hsa-let-7e	11446	3146.276572	N
hsa-let-7f-1	15494	4258.990844	N
hsa-let-7f-2	16051	4412.099008	N
hsa-let-7g	1953	536.840656	N
hsa-let-7i	1635	449.428813	N
hsa-mir-1-1	6	1.649280	N
hsa-mir-1-2	4	1.099520	N
hsa-mir-100	12962	3562.994664	Y
hsa-mir-101-1	31495	8657.345852	N
hsa-mir-101-2	31602	8686.758013	N
hsa-mir-103a-1	76859	21127.002535	Y
hsa-mir-103a-2	77539	21313.920941	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3522	968.127388	N
hsa-mir-105-2	3461	951.359708	N
hsa-mir-106a	121	33.260481	Y
hsa-mir-106b	7677	2110.253821	N
hsa-mir-107	687	188.842565	Y
hsa-mir-10a	57878	15909.505103	N
hsa-mir-10b	43279	11896.531866	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	836	229.799687	N
hsa-mir-1181	1	0.274880	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	1.649280	N
hsa-mir-1185-2	3	0.824640	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.824640	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	31	8.521280	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	15	4.123200	N
hsa-mir-1227	2	0.549760	N
hsa-mir-1228	2	0.549760	N
hsa-mir-1229	4	1.099520	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	14	3.848320	N
hsa-mir-124-2	8	2.199040	N
hsa-mir-124-3	6	1.649280	N
hsa-mir-1243	0	0.000000	N
