miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	117950	13692.957571	N
hsa-let-7a-2	118168	13718.265453	Y
hsa-let-7a-3	117942	13692.028841	N
hsa-let-7b	191850	22272.097583	N
hsa-let-7c	75516	8766.743399	Y
hsa-let-7d	4435	514.864492	N
hsa-let-7e	9584	1112.618104	N
hsa-let-7f-1	42143	4892.431631	N
hsa-let-7f-2	42668	4953.379514	N
hsa-let-7g	8792	1020.673870	N
hsa-let-7i	8357	970.174196	N
hsa-mir-1-1	114	13.234397	N
hsa-mir-1-2	143	16.601042	N
hsa-mir-100	123625	14351.775156	Y
hsa-mir-101-1	129378	15019.647856	N
hsa-mir-101-2	132042	15328.914825	N
hsa-mir-103a-1	81586	9471.417010	Y
hsa-mir-103a-2	82188	9541.303916	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	103	11.957394	N
hsa-mir-105-2	101	11.725212	N
hsa-mir-106a	491	57.000781	Y
hsa-mir-106b	3721	431.975372	N
hsa-mir-107	524	60.831791	Y
hsa-mir-10a	27841	3232.095225	N
hsa-mir-10b	1672238	194132.123632	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.348274	N
hsa-mir-1180	111	12.886124	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.812638	N
hsa-mir-1185-2	4	0.464365	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.464365	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.580456	N
hsa-mir-1224	5	0.580456	N
hsa-mir-1225	3	0.348274	N
hsa-mir-1226	4	0.464365	N
hsa-mir-1227	1	0.116091	N
hsa-mir-1228	10	1.160912	N
hsa-mir-1229	2	0.232182	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	4	0.464365	N
hsa-mir-124-2	12	1.393094	N
hsa-mir-124-3	9	1.044821	N
hsa-mir-1243	3	0.348274	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	16	1.857459	N
hsa-mir-1245b	3	0.348274	N
hsa-mir-1246	2	0.232182	N
hsa-mir-1247	711	82.540846	N
hsa-mir-1248	35	4.063192	N
hsa-mir-1249	14	1.625277	N
hsa-mir-1250	1	0.116091	N
hsa-mir-1251	68	7.894202	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.348274	N
hsa-mir-1254-2	3	0.348274	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	1.044821	N
hsa-mir-125a	12593	1461.936538	N
hsa-mir-125b-1	11162	1295.810025	N
hsa-mir-125b-2	11651	1352.578624	N
hsa-mir-126	78941	9164.355774	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	1.044821	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	30	3.482736	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7	0.812638	N
hsa-mir-1269b	1	0.116091	N
hsa-mir-127	28425	3299.892488	N
hsa-mir-1270	53	6.152834	N
hsa-mir-1271	44	5.108013	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.116091	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.348274	N
hsa-mir-1277	24	2.786189	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	615	71.396091	N
hsa-mir-128-2	424	49.222671	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	78	9.055114	N
hsa-mir-1283-2	176	20.432052	Y
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.116091	N
hsa-mir-1287	268	31.112443	N
hsa-mir-1288	4	0.464365	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	67	7.778111	N
hsa-mir-129-2	78	9.055114	N
hsa-mir-1290	1	0.116091	N
hsa-mir-1291	3	0.348274	N
hsa-mir-1292	5	0.580456	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.116091	N
hsa-mir-1295a	12	1.393094	N
hsa-mir-1295b	1	0.116091	N
hsa-mir-1296	68	7.894202	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	30	3.482736	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	41	4.759739	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.116091	N
hsa-mir-1304	2	0.232182	N
hsa-mir-1305	3	0.348274	N
hsa-mir-1306	66	7.662019	N
hsa-mir-1307	4290	498.031267	N
hsa-mir-130a	1941	225.333028	N
hsa-mir-130b	195	22.637785	N
hsa-mir-132	3444	399.818108	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	505	58.626058	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	67	7.778111	Y
hsa-mir-133a-2	58	6.733290	Y
hsa-mir-133b	10	1.160912	Y
hsa-mir-134	6660	773.167422	N
hsa-mir-1343	5	0.580456	N
hsa-mir-135a-1	186	21.592964	N
hsa-mir-135a-2	242	28.094071	N
hsa-mir-135b	371	43.069837	N
hsa-mir-136	2483	288.254461	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	7	0.812638	N
hsa-mir-138-2	8	0.928730	N
hsa-mir-139	3247	376.948141	N
hsa-mir-140	22226	2580.243111	N
hsa-mir-141	6814	791.045467	N
hsa-mir-142	54480	6324.648821	N
hsa-mir-143	905406	105109.673102	N
hsa-mir-144	1294	150.222019	N
hsa-mir-145	30668	3560.285060	N
hsa-mir-1468	96	11.144756	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2715	315.187620	N
hsa-mir-146b	42698	4956.862250	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	8	0.928730	N
hsa-mir-148a	445958	51771.801377	N
hsa-mir-148b	1289	149.641563	N
hsa-mir-149	245	28.442345	N
hsa-mir-150	21089	2448.247412	N
hsa-mir-151a	13643	1583.832303	N
hsa-mir-151b	40	4.643648	N
hsa-mir-152	3067	356.051724	N
hsa-mir-153-1	17	1.973550	N
hsa-mir-153-2	318	36.917003	N
hsa-mir-1537	4	0.464365	N
hsa-mir-1538	1	0.116091	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	361	41.908925	N
hsa-mir-155	8511	988.052242	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1428	165.778240	N
hsa-mir-15b	1378	159.973680	N
hsa-mir-16-1	2255	261.785666	N
hsa-mir-16-2	2368	274.903972	N
hsa-mir-17	7591	881.248333	Y
hsa-mir-181a-1	7215	837.598040	N
hsa-mir-181a-2	8017	930.703186	N
hsa-mir-181b-1	988	114.698110	N
hsa-mir-181b-2	908	105.410814	N
hsa-mir-181c	509	59.090423	N
hsa-mir-181d	79	9.171205	N
hsa-mir-182	69663	8087.261579	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	16628	1930.364548	N
hsa-mir-184	757	87.881042	N
hsa-mir-185	623	72.324820	N
hsa-mir-186	3125	362.785014	N
hsa-mir-187	103	11.957394	N
hsa-mir-188	42	4.875831	N
hsa-mir-18a	155	17.994137	Y
hsa-mir-18b	20	2.321824	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	1	0.116091	N
hsa-mir-190a	48	5.572378	N
hsa-mir-190b	5	0.580456	N
hsa-mir-191	5187	602.165078	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	60	6.965472	N
hsa-mir-1912	9	1.044821	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	3203	371.840128	Y
hsa-mir-193a	1626	188.764299	N
hsa-mir-193b	524	60.831791	N
hsa-mir-194-1	645	74.878827	N
hsa-mir-194-2	783	90.899413	N
hsa-mir-195	1214	140.934722	N
hsa-mir-196a-1	21	2.437915	N
hsa-mir-196a-2	25	2.902280	N
hsa-mir-196b	170	19.735505	N
hsa-mir-197	2115	245.532898	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	53	6.152834	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	39480	4583.280754	Y
hsa-mir-199a-2	65760	7634.157608	Y
hsa-mir-199b	79128	9186.064830	Y
hsa-mir-19a	382	44.346840	N
hsa-mir-19b-1	983	114.117654	N
hsa-mir-19b-2	782	90.783322	N
hsa-mir-200a	195	22.637785	N
hsa-mir-200b	142	16.484951	N
hsa-mir-200c	10829	1257.151654	N
hsa-mir-202	8031	932.328463	N
hsa-mir-203a	1179	136.871530	N
hsa-mir-203b	22	2.554006	N
hsa-mir-204	1381	160.321953	N
hsa-mir-205	329	38.194006	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	13	1.509186	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	4689	544.351658	N
hsa-mir-20b	1491	173.091986	N
hsa-mir-21	1326309	153972.809350	N
hsa-mir-210	3418	396.799737	N
hsa-mir-211	0	0.000000	N
