miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	144532	30457.740654	N
hsa-let-7a-2	143211	30179.361642	Y
hsa-let-7a-3	143706	30283.674746	N
hsa-let-7b	84077	17717.844221	N
hsa-let-7c	77953	16427.311995	Y
hsa-let-7d	4912	1035.123171	N
hsa-let-7e	26880	5664.517676	N
hsa-let-7f-1	84091	17720.794491	N
hsa-let-7f-2	84847	17880.109050	N
hsa-let-7g	8079	1702.516306	N
hsa-let-7i	6869	1447.528717	N
hsa-mir-1-1	39	8.218608	N
hsa-mir-1-2	38	8.007875	N
hsa-mir-100	80399	16942.766244	Y
hsa-mir-101-1	48521	10225.002313	N
hsa-mir-101-2	48838	10291.804846	N
hsa-mir-103a-1	58197	12264.060089	Y
hsa-mir-103a-2	58153	12254.787813	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	30	6.322006	Y
hsa-mir-106b	2522	531.469999	N
hsa-mir-107	800	168.586836	Y
hsa-mir-10a	32853	6923.229138	N
hsa-mir-10b	97946	20640.507750	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	2.107335	N
hsa-mir-1180	584	123.068390	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	18	3.793204	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.053668	N
hsa-mir-1227	2	0.421467	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	1	0.210734	N
