miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	65006	11624.045821	N
hsa-let-7a-2	64828	11592.216757	N
hsa-let-7a-3	65209	11660.345260	N
hsa-let-7b	68081	12173.901848	N
hsa-let-7c	6977	1247.592033	N
hsa-let-7d	2289	409.307462	N
hsa-let-7e	10967	1961.063756	N
hsa-let-7f-1	34377	6147.122161	N
hsa-let-7f-2	35042	6266.034115	N
hsa-let-7g	3524	630.143948	N
hsa-let-7i	2198	393.035300	N
hsa-mir-1-1	4	0.715260	N
hsa-mir-1-2	9	1.609335	N
hsa-mir-100	33041	5908.225363	N
hsa-mir-101-1	28576	5109.816530	N
hsa-mir-101-2	28495	5095.332518	N
hsa-mir-103a-1	32270	5770.359023	Y
hsa-mir-103a-2	32184	5754.980936	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	56	10.013638	N
hsa-mir-105-2	45	8.046674	N
hsa-mir-106a	31	5.543264	Y
hsa-mir-106b	899	160.754656	N
hsa-mir-107	240	42.915592	Y
hsa-mir-10a	82235	14704.848908	N
hsa-mir-10b	30034	5370.528754	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.178815	N
hsa-mir-1180	38	6.794969	N
hsa-mir-1181	1	0.178815	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	14	2.503410	N
hsa-mir-1185-2	8	1.430520	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.178815	N
hsa-mir-1224	4	0.715260	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.715260	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.536445	N
hsa-mir-1229	2	0.357630	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	1.430520	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	20	3.576299	N
hsa-mir-1248	2	0.357630	N
hsa-mir-1249	0	0.000000	N
hsa-mir-1250	1	0.178815	N
hsa-mir-1251	1	0.178815	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.357630	N
hsa-mir-1254-2	1	0.178815	N
hsa-mir-1255a	2	0.357630	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	8815	1576.253944	N
hsa-mir-125b-1	2205	394.287005	N
hsa-mir-125b-2	2231	398.936194	N
hsa-mir-126	5795	1036.232741	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.357630	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	1.251705	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1077	192.583721	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	20050	3585.240112	N
hsa-mir-1270	2	0.357630	N
hsa-mir-1271	8	1.430520	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.178815	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	242	43.273222	N
hsa-mir-128-2	175	31.292619	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.178815	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	68	12.159418	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	13	2.324595	N
hsa-mir-129-2	10	1.788150	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	1	0.178815	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	5	0.894075	N
hsa-mir-1295b	2	0.357630	N
hsa-mir-1296	11	1.966965	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	36	6.437339	N
hsa-mir-1302-1	0	0.000000	N
