miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	52054	6925.466289	N
hsa-let-7a-2	52662	7006.356970	N
hsa-let-7a-3	52939	7043.210125	N
hsa-let-7b	34064	4532.006833	N
hsa-let-7c	3734	496.785859	N
hsa-let-7d	9103	1211.098468	N
hsa-let-7e	33847	4503.136310	N
hsa-let-7f-1	48881	6503.318048	N
hsa-let-7f-2	50011	6653.657636	N
hsa-let-7g	3809	506.764151	N
hsa-let-7i	2331	310.125291	N
hsa-mir-1-1	16	2.128702	N
hsa-mir-1-2	25	3.326097	N
hsa-mir-100	2141	284.846954	N
hsa-mir-101-1	69454	9240.429854	N
hsa-mir-101-2	69787	9284.733467	N
hsa-mir-103a-1	90156	11994.704321	Y
hsa-mir-103a-2	90420	12029.827906	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	4	0.532176	Y
hsa-mir-106b	1860	247.461622	N
hsa-mir-107	513	68.251512	Y
hsa-mir-10a	96235	12803.478086	N
hsa-mir-10b	2257994	300412.289689	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	189	25.145294	N
hsa-mir-1180	854	113.619476	N
hsa-mir-1181	1	0.133044	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.133044	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.133044	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5812	773.251048	N
hsa-mir-1225	2	0.266088	N
hsa-mir-1226	22	2.926965	N
hsa-mir-1227	1	0.133044	N
hsa-mir-1228	7	0.931307	N
hsa-mir-1229	6	0.798263	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.266088	N
