miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	160654	35851.145021	N
hsa-let-7a-2	160074	35721.713671	N
hsa-let-7a-3	161558	36052.879401	N
hsa-let-7b	1324679	295612.054076	N
hsa-let-7c	43827	9780.323757	N
hsa-let-7d	17984	4013.264482	N
hsa-let-7e	7109	1586.426668	N
hsa-let-7f-1	2417	539.371678	N
hsa-let-7f-2	2447	546.066403	N
hsa-let-7g	886	197.717545	N
hsa-let-7i	4217	941.055178	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	15012	3350.040392	Y
hsa-mir-101-1	101	22.538908	N
hsa-mir-101-2	110	24.547325	N
hsa-mir-103a-1	29126	6499.685348	Y
hsa-mir-103a-2	28998	6471.121188	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	8	1.785260	N
hsa-mir-105-2	7	1.562103	N
hsa-mir-106a	6	1.338945	Y
hsa-mir-106b	4862	1084.991765	N
hsa-mir-107	200	44.631500	Y
hsa-mir-10a	23271	5193.098185	N
hsa-mir-10b	114443	25538.813784	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	1653	368.879348	N
hsa-mir-1181	5	1.115788	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	71	15.844183	N
hsa-mir-1225	5	1.115788	N
hsa-mir-1226	84	18.745230	N
hsa-mir-1227	10	2.231575	N
hsa-mir-1228	15	3.347363	N
hsa-mir-1229	16	3.570520	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.446315	N
hsa-mir-1237	1	0.223158	N
hsa-mir-1238	2	0.446315	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	2	0.446315	N
hsa-mir-124-3	1	0.223158	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	5	1.115788	N
hsa-mir-1247	199	44.408343	N
hsa-mir-1248	73	16.290498	N
hsa-mir-1249	24	5.355780	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	2.901048	N
hsa-mir-1254-2	12	2.677890	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	7081	1580.178258	N
hsa-mir-125b-1	1220	272.252150	N
hsa-mir-125b-2	1820	406.146650	N
hsa-mir-126	132	29.456790	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	1.785260	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	232	51.772540	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	65452	14606.104697	N
hsa-mir-1269b	4	0.892630	N
hsa-mir-127	1794	400.344555	N
hsa-mir-1270	118	26.332585	N
hsa-mir-1271	35	7.810513	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.446315	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.223158	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	530	118.273475	N
hsa-mir-128-2	347	77.435653	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.223158	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.223158	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	405	90.378788	N
hsa-mir-1288	2	0.446315	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	37	8.256828	N
hsa-mir-129-2	43	9.595773	N
hsa-mir-1290	1	0.223158	N
hsa-mir-1291	5	1.115788	N
hsa-mir-1292	31	6.917883	N
hsa-mir-1293	2	0.446315	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	14	3.124205	N
hsa-mir-1295b	1	0.223158	N
hsa-mir-1296	49	10.934718	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	435	97.073513	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	86	19.191545	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	280	62.484100	N
hsa-mir-1307	22364	4990.694332	N
hsa-mir-130a	404	90.155630	N
hsa-mir-130b	285	63.599888	N
hsa-mir-132	1356	302.601570	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	0	0.000000	N
hsa-mir-133a-2	6	1.338945	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	257	57.351478	N
hsa-mir-1343	32	7.141040	N
hsa-mir-135a-1	21	4.686308	N
hsa-mir-135a-2	2	0.446315	N
hsa-mir-135b	27	6.025253	N
hsa-mir-136	0	0.000000	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.223158	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	318	70.964085	N
hsa-mir-140	2606	581.548445	N
hsa-mir-141	408	91.048260	N
hsa-mir-142	14	3.124205	N
hsa-mir-143	5080	1133.640101	N
hsa-mir-144	0	0.000000	N
hsa-mir-145	1117	249.266928	N
hsa-mir-1468	26	5.802095	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	282	62.930415	N
hsa-mir-146b	1273	284.079498	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	14704	3281.307881	N
hsa-mir-148b	703	156.879723	N
hsa-mir-149	2132	475.771790	N
hsa-mir-150	3404	759.628130	N
hsa-mir-151a	10864	2424.383081	N
hsa-mir-151b	3	0.669473	N
hsa-mir-152	71	15.844183	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	6	1.338945	N
hsa-mir-1539	1	0.223158	N
hsa-mir-154	3	0.669473	N
hsa-mir-155	824	183.881780	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	43	9.595773	N
hsa-mir-15b	20560	4588.118202	N
hsa-mir-16-1	189	42.176768	N
hsa-mir-16-2	195	43.515713	N
hsa-mir-17	1843	411.279273	Y
hsa-mir-181a-1	3350	747.577625	N
hsa-mir-181a-2	7409	1653.373918	N
hsa-mir-181b-1	386	86.138795	N
hsa-mir-181b-2	388	86.585110	N
hsa-mir-181c	388	86.585110	N
hsa-mir-181d	94	20.976805	N
hsa-mir-182	7565	1688.186488	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	23723	5293.965375	N
hsa-mir-184	14	3.124205	N
hsa-mir-185	186	41.507295	N
hsa-mir-186	317	70.740928	N
hsa-mir-187	113	25.216798	N
hsa-mir-188	3	0.669473	N
hsa-mir-18a	64	14.282080	Y
hsa-mir-18b	15	3.347363	Y
hsa-mir-1908	2	0.446315	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	0	0.000000	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	4626	1032.326595	N
hsa-mir-1910	16	3.570520	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	6	1.338945	N
hsa-mir-1915	6	1.338945	N
hsa-mir-192	688	153.532360	N
hsa-mir-193a	7582	1691.980166	N
hsa-mir-193b	541	120.728208	N
hsa-mir-194-1	208	46.416760	N
hsa-mir-194-2	361	80.559858	N
hsa-mir-195	108	24.101010	N
hsa-mir-196a-1	65	14.505238	N
hsa-mir-196a-2	62	13.835765	N
hsa-mir-196b	23	5.132623	N
hsa-mir-197	12027	2683.915254	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	238	53.111485	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	99	22.092593	Y
hsa-mir-199a-2	134	29.903105	Y
hsa-mir-199b	137	30.572578	Y
hsa-mir-19a	0	0.000000	N
hsa-mir-19b-1	16	3.570520	N
hsa-mir-19b-2	3	0.669473	N
hsa-mir-200a	3361	750.032358	N
hsa-mir-200b	3390	756.503925	N
hsa-mir-200c	349727	78044.203038	N
hsa-mir-202	1	0.223158	N
hsa-mir-203a	8706	1942.809196	N
hsa-mir-203b	53	11.827348	N
hsa-mir-204	0	0.000000	N
hsa-mir-205	1539	343.439393	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	2	0.446315	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	27	6.025253	N
hsa-mir-20b	11	2.454733	N
hsa-mir-21	45156	10076.900075	N
hsa-mir-210	3278	731.510285	N
hsa-mir-211	7	1.562103	N
hsa-mir-2110	195	43.515713	N
hsa-mir-2113	0	0.000000	N
