miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	52925	5376.844407	N
hsa-let-7a-2	52778	5361.910140	Y
hsa-let-7a-3	52957	5380.095405	N
hsa-let-7b	167569	17023.947861	N
hsa-let-7c	14299	1452.687731	Y
hsa-let-7d	6390	649.183482	N
hsa-let-7e	4789	486.532033	N
hsa-let-7f-1	15675	1592.480606	N
hsa-let-7f-2	15847	1609.954716	N
hsa-let-7g	3876	393.777023	N
hsa-let-7i	10007	1016.647747	N
hsa-mir-1-1	16	1.625499	N
hsa-mir-1-2	5	0.507968	N
hsa-mir-100	44860	4557.491547	Y
hsa-mir-101-1	42992	4367.714592	N
hsa-mir-101-2	43589	4428.366006	N
hsa-mir-103a-1	50982	5179.447928	Y
hsa-mir-103a-2	51546	5236.746752	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	16	1.625499	N
hsa-mir-105-2	11	1.117530	N
hsa-mir-106a	45	4.571715	Y
hsa-mir-106b	6049	614.540044	N
hsa-mir-107	640	65.019942	Y
hsa-mir-10a	50632	5143.890147	N
hsa-mir-10b	176206	17901.412294	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	81	8.229086	N
hsa-mir-1181	2	0.203187	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.711156	N
hsa-mir-1185-2	2	0.203187	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.304781	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	15	1.523905	N
hsa-mir-1225	2	0.203187	N
hsa-mir-1226	8	0.812749	N
hsa-mir-1227	1	0.101594	N
hsa-mir-1228	23	2.336654	N
hsa-mir-1229	6	0.609562	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.203187	N
hsa-mir-1236	1	0.101594	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.203187	N
hsa-mir-124-2	4	0.406375	N
hsa-mir-124-3	2	0.203187	N
hsa-mir-1243	2	0.203187	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	30	3.047810	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1278	129.836696	N
