miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	77785	7732.062009	N
hsa-let-7a-2	78508	7803.930375	N
hsa-let-7a-3	79297	7882.359338	N
hsa-let-7b	108740	10809.081736	N
hsa-let-7c	32608	3241.332879	N
hsa-let-7d	5415	538.267221	N
hsa-let-7e	38013	3778.606070	N
hsa-let-7f-1	12911	1283.392076	N
hsa-let-7f-2	13315	1323.550886	N
hsa-let-7g	3498	347.711678	N
hsa-let-7i	5172	514.112293	N
hsa-mir-1-1	18	1.789254	N
hsa-mir-1-2	31	3.081493	N
hsa-mir-100	468860	46606.088493	Y
hsa-mir-101-1	30513	3033.083603	N
hsa-mir-101-2	30834	3064.991965	N
hsa-mir-103a-1	184329	18322.854767	Y
hsa-mir-103a-2	184399	18329.812976	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	16087	1599.095989	N
hsa-mir-105-2	15987	1589.155690	N
hsa-mir-106a	181	17.991942	Y
hsa-mir-106b	14756	1466.790602	N
hsa-mir-107	879	87.375233	Y
hsa-mir-10a	248173	24669.139614	N
hsa-mir-10b	2236261	222291.042229	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	1.093433	N
hsa-mir-1180	831	82.603889	N
hsa-mir-1181	2	0.198806	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	20	1.988060	N
hsa-mir-1224	8	0.795224	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	29	2.882687	N
hsa-mir-1227	1	0.099403	N
hsa-mir-1228	2	0.198806	N
hsa-mir-1229	14	1.391642	N
hsa-mir-1231	2	0.198806	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	5	0.497015	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.099403	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	3	0.298209	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	0.894627	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	45	4.473135	N
hsa-mir-1248	23	2.286269	N
hsa-mir-1249	28	2.783284	N
hsa-mir-1250	6	0.596418	N
hsa-mir-1251	3	0.298209	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.695821	N
hsa-mir-1254-2	6	0.596418	N
hsa-mir-1255a	3	0.298209	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.298209	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	53096	5277.901452	N
hsa-mir-125b-1	25940	2578.513705	N
hsa-mir-125b-2	26185	2602.867438	N
hsa-mir-126	32358	3216.482130	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
