miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	170186	35435.225970	N
hsa-let-7a-2	170759	35554.532990	Y
hsa-let-7a-3	170657	35533.295091	N
hsa-let-7b	222165	46258.017567	N
hsa-let-7c	109163	22729.340678	Y
hsa-let-7d	18057	3759.732736	N
hsa-let-7e	30483	6347.008527	N
hsa-let-7f-1	6775	1410.654554	N
hsa-let-7f-2	6730	1401.284893	N
hsa-let-7g	1726	359.378562	N
hsa-let-7i	1100	229.036164	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	12957	2697.837795	N
hsa-mir-101-1	268	55.801538	N
hsa-mir-101-2	265	55.176894	N
hsa-mir-103a-1	84429	17579.358428	Y
hsa-mir-103a-2	84374	17567.906620	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	1.041073	N
hsa-mir-105-2	4	0.832859	N
hsa-mir-106a	67	13.950385	Y
hsa-mir-106b	5849	1217.847747	N
hsa-mir-107	489	101.816986	Y
hsa-mir-10a	127028	26449.096192	N
hsa-mir-10b	192550	40091.739394	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	1651	343.762460	N
hsa-mir-1181	2	0.416429	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	3	0.624644	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	16	3.331435	N
hsa-mir-1225	2	0.416429	N
hsa-mir-1226	79	16.448961	N
hsa-mir-1227	5	1.041073	N
hsa-mir-1228	21	4.372509	N
hsa-mir-1229	21	4.372509	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	11	2.290362	N
hsa-mir-1236	2	0.416429	N
hsa-mir-1237	3	0.624644	N
hsa-mir-1238	3	0.624644	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.208215	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	114	23.736475	N
hsa-mir-1248	47	9.786091	N
hsa-mir-1249	19	3.956079	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.208215	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
