miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	61018	10591.716562	N
hsa-let-7a-2	60722	10540.335853	N
hsa-let-7a-3	60677	10532.524596	N
hsa-let-7b	49955	8671.362563	N
hsa-let-7c	31367	5444.792904	N
hsa-let-7d	3672	637.398525	N
hsa-let-7e	14250	2473.564538	N
hsa-let-7f-1	30757	5338.906983	N
hsa-let-7f-2	31660	5495.652862	N
hsa-let-7g	3348	581.157479	N
hsa-let-7i	20206	3507.427724	N
hsa-mir-1-1	14	2.430169	N
hsa-mir-1-2	14	2.430169	N
hsa-mir-100	63686	11054.837277	N
hsa-mir-101-1	46064	7995.949256	N
hsa-mir-101-2	46327	8041.601710	N
hsa-mir-103a-1	95907	16647.870469	Y
hsa-mir-103a-2	96186	16696.300259	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	29	5.033921	Y
hsa-mir-106b	1767	306.722003	N
hsa-mir-107	438	76.029563	Y
hsa-mir-10a	39666	6885.362174	N
hsa-mir-10b	157818	27394.597075	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	209	36.278947	N
hsa-mir-1181	1	0.173583	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.347167	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	10	1.735835	N
hsa-mir-1225	1	0.173583	N
hsa-mir-1226	5	0.867917	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.694334	N
hsa-mir-1229	4	0.694334	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.173583	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.867917	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	20	3.471670	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	8	1.388668	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	907	157.440213	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.520750	N
hsa-mir-1254-2	2	0.347167	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.867917	N
hsa-mir-125a	13666	2372.191788	N
hsa-mir-125b-1	16329	2834.444586	N
hsa-mir-125b-2	16550	2872.806534	N
hsa-mir-126	37614	6529.168881	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.520750	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	16	2.777336	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3430	595.391324	N
hsa-mir-1270	22	3.818836	N
hsa-mir-1271	10	1.735835	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.347167	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	7	1.215084	N
hsa-mir-1278	1	0.173583	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	481	83.493652	N
hsa-mir-128-2	286	49.644874	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.173583	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	121	21.003601	N
hsa-mir-1288	3	0.520750	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	1	0.173583	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.520750	N
hsa-mir-1292	1	0.173583	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.173583	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	21	3.645253	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	97	16.837597	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	2	0.347167	N
hsa-mir-1306	20	3.471670	N
hsa-mir-1307	6760	1173.424300	N
hsa-mir-130a	906	157.266630	N
hsa-mir-130b	81	14.060262	N
hsa-mir-132	931	161.606217	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	20	3.471670	N
hsa-mir-133a-2	28	4.860337	Y
hsa-mir-133b	2	0.347167	Y
hsa-mir-134	899	156.051545	N
hsa-mir-1343	4	0.694334	N
hsa-mir-135a-1	1689	293.182492	N
hsa-mir-135a-2	2223	385.876068	N
hsa-mir-135b	1148	199.273831	N
hsa-mir-136	210	36.452530	N
hsa-mir-137	6	1.041501	N
hsa-mir-138-1	83	14.407429	N
hsa-mir-138-2	80	13.886678	N
hsa-mir-139	715	124.112186	N
hsa-mir-140	8226	1427.897677	N
hsa-mir-141	5956	1033.863185	N
hsa-mir-142	15700	2725.260579	N
hsa-mir-143	229552	39846.434170	N
hsa-mir-144	145	25.169604	N
hsa-mir-145	9866	1712.574578	N
hsa-mir-1468	44	7.637673	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	709	123.070685	N
hsa-mir-146b	279249	48473.012196	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	4	0.694334	N
hsa-mir-148a	184392	32007.404377	N
hsa-mir-148b	1059	183.824901	N
hsa-mir-149	122	21.177184	N
hsa-mir-150	2479	430.313438	N
hsa-mir-151a	11307	1962.708367	N
hsa-mir-151b	16	2.777336	N
hsa-mir-152	991	172.021225	N
hsa-mir-153-1	1	0.173583	N
hsa-mir-153-2	39	6.769756	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	2	0.347167	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	16	2.777336	N
hsa-mir-155	2733	474.403641	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2745	476.486643	N
hsa-mir-15b	1409	244.579118	N
hsa-mir-16-1	2220	385.355318	N
hsa-mir-16-2	2132	370.079972	N
hsa-mir-17	4078	707.873417	Y
hsa-mir-181a-1	21128	3667.471689	N
hsa-mir-181a-2	33266	5774.427925	N
hsa-mir-181b-1	3229	560.501045	N
hsa-mir-181b-2	3233	561.195379	N
hsa-mir-181c	1644	285.371235	N
hsa-mir-181d	404	70.127724	N
hsa-mir-182	41591	7219.510366	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	16487	2861.870775	N
hsa-mir-184	3	0.520750	N
hsa-mir-185	483	83.840819	N
hsa-mir-186	1087	188.685239	N
hsa-mir-187	366	63.531552	N
hsa-mir-188	20	3.471670	N
hsa-mir-18a	36	6.249005	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	17	2.950919	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	3295	571.957555	N
hsa-mir-1910	1	0.173583	N
hsa-mir-1911	1	0.173583	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.173583	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	1	0.173583	N
hsa-mir-192	2519	437.256777	Y
hsa-mir-193a	918	159.349631	N
hsa-mir-193b	187	32.460110	N
hsa-mir-194-1	688	119.425432	N
hsa-mir-194-2	782	135.742279	N
hsa-mir-195	151	26.211105	N
hsa-mir-196a-1	24	4.166003	N
hsa-mir-196a-2	29	5.033921	N
hsa-mir-196b	111	19.267766	N
hsa-mir-197	1228	213.160509	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	70	12.150843	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	9236	1603.216988	Y
hsa-mir-199a-2	13884	2410.032986	Y
hsa-mir-199b	15632	2713.456903	Y
hsa-mir-19a	163	28.294107	N
hsa-mir-19b-1	468	81.237067	N
hsa-mir-19b-2	408	70.822058	N
hsa-mir-200a	8654	1502.191405	N
hsa-mir-200b	8260	1433.799515	N
hsa-mir-200c	50269	8725.867774	N
hsa-mir-202	2	0.347167	N
hsa-mir-203a	13503	2343.897682	N
hsa-mir-203b	59	10.241425	N
hsa-mir-204	15	2.603752	N
hsa-mir-205	1336	231.907524	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2057	357.061211	N
hsa-mir-20b	46	7.984840	N
hsa-mir-21	2072513	359754.011384	N
hsa-mir-210	539	93.561494	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	13	2.256585	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.173583	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	22	3.818836	N
hsa-mir-214	207	35.931780	N
hsa-mir-215	10	1.735835	Y
hsa-mir-216a	5	0.867917	N
hsa-mir-216b	1	0.173583	N
hsa-mir-217	264	45.826038	N
hsa-mir-218-1	372	64.573053	N
hsa-mir-218-2	334	57.976881	N
hsa-mir-219a-1	12	2.083002	N
hsa-mir-219a-2	1	0.173583	N
hsa-mir-219b	4	0.694334	N
hsa-mir-22	588886	102220.879072	N
hsa-mir-221	10746	1865.328037	N
hsa-mir-222	3280	569.353803	N
hsa-mir-223	736	127.757439	N
hsa-mir-224	186	32.286527	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	6	1.041501	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	324	56.241046	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	23037	3998.842545	Y
hsa-mir-23b	11268	1955.938612	Y
hsa-mir-23c	1	0.173583	N
hsa-mir-24-1	4469	775.744556	N
hsa-mir-24-2	4511	783.035062	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	22932	3980.616280	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	5397	936.830022	N
hsa-mir-26a-2	5358	930.060266	N
hsa-mir-26b	4367	758.039041	N
hsa-mir-27a	7807	1355.166200	Y
hsa-mir-27b	9914	1720.906585	Y
hsa-mir-28	8790	1525.798757	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	33	5.728255	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	10	1.735835	N
hsa-mir-29a	86909	15085.966349	N
hsa-mir-29b-1	6275	1089.236314	N
hsa-mir-29b-2	6848	1188.699646	N
hsa-mir-29c	15909	2761.539526	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	107	18.573432	N
hsa-mir-301b	6	1.041501	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
