miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	25231	4864.609010	N
hsa-let-7a-2	24749	4771.678031	N
hsa-let-7a-3	24946	4809.660195	N
hsa-let-7b	26871	5180.805704	N
hsa-let-7c	5239	1010.094194	N
hsa-let-7d	4135	797.239834	N
hsa-let-7e	8258	1592.166034	N
hsa-let-7f-1	13946	2688.828713	N
hsa-let-7f-2	14482	2792.171047	N
hsa-let-7g	3174	611.956284	N
hsa-let-7i	2917	562.405948	N
hsa-mir-1-1	15	2.892043	N
hsa-mir-1-2	16	3.084846	N
hsa-mir-100	2189	422.045465	N
hsa-mir-101-1	9352	1803.092365	N
hsa-mir-101-2	9465	1824.879089	N
hsa-mir-103a-1	60086	11584.752764	Y
hsa-mir-103a-2	59903	11549.469840	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.192803	N
hsa-mir-105-2	5	0.964014	N
hsa-mir-106a	124	23.907555	Y
hsa-mir-106b	3084	594.604026	N
hsa-mir-107	132	25.449978	Y
hsa-mir-10a	182168	35122.511759	N
hsa-mir-10b	432726	83430.811247	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.192803	N
hsa-mir-1180	43	8.290523	N
hsa-mir-1181	4	0.771211	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	94	18.123469	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	1.349620	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.771211	N
hsa-mir-1229	5	0.964014	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.192803	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.735226	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	89	17.159455	N
hsa-mir-1248	106	20.437103	N
hsa-mir-1249	5	0.964014	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.192803	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	1.735226	N
hsa-mir-1254-2	4	0.771211	N
hsa-mir-1255a	6	1.156817	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	6808	1312.601884	N
hsa-mir-125b-1	1533	295.566787	N
hsa-mir-125b-2	1552	299.230042	N
hsa-mir-126	13809	2662.414721	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.192803	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	38	7.326509	N
hsa-mir-1267	1	0.192803	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11	2.120831	N
hsa-mir-1269b	32	6.169692	N
hsa-mir-127	703	135.540412	N
hsa-mir-1270	6	1.156817	N
hsa-mir-1271	11	2.120831	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	16	3.084846	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	354	68.252213	N
hsa-mir-128-2	186	35.861332	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	8	1.542423	N
hsa-mir-1283-2	8	1.542423	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	147	28.342021	N
hsa-mir-1288	2	0.385606	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	5	0.964014	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	8	1.542423	N
hsa-mir-1292	1	0.192803	N
hsa-mir-1293	7	1.349620	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.192803	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	24	4.627269	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	207	39.910192	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	7	1.349620	N
hsa-mir-1305	7	1.349620	N
hsa-mir-1306	43	8.290523	N
hsa-mir-1307	10526	2029.442925	N
hsa-mir-130a	1472	283.805813	N
hsa-mir-130b	326	62.853733	N
hsa-mir-132	472	91.002951	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	12	2.313634	Y
hsa-mir-133a-2	11	2.120831	Y
hsa-mir-133b	2	0.385606	Y
hsa-mir-134	310	59.768887	N
hsa-mir-1343	2	0.385606	N
hsa-mir-135a-1	6	1.156817	N
hsa-mir-135a-2	6	1.156817	N
hsa-mir-135b	657	126.671480	N
hsa-mir-136	57	10.989763	N
hsa-mir-137	3	0.578409	N
hsa-mir-138-1	7	1.349620	N
hsa-mir-138-2	4	0.771211	N
hsa-mir-139	28	5.398480	N
hsa-mir-140	2432	468.896560	N
hsa-mir-141	14597	2814.343376	N
hsa-mir-142	12581	2425.652806	N
hsa-mir-143	79466	15321.272229	N
hsa-mir-144	53	10.218552	N
hsa-mir-145	6671	1286.187892	N
hsa-mir-1468	20	3.856057	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	649	125.129057	N
hsa-mir-146b	14485	2792.749456	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	7	1.349620	N
hsa-mir-148a	80854	15588.882601	N
hsa-mir-148b	582	112.211266	N
hsa-mir-149	448	86.375682	N
hsa-mir-150	2007	386.955344	N
hsa-mir-151a	6209	1197.112970	N
hsa-mir-151b	2	0.385606	N
hsa-mir-152	152	29.306035	N
hsa-mir-153-1	8	1.542423	N
hsa-mir-153-2	54	10.411355	N
hsa-mir-1537	1	0.192803	N
hsa-mir-1538	1	0.192803	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	10	1.928029	N
hsa-mir-155	4697	905.595043	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1203	231.941843	N
hsa-mir-15b	1700	327.764865	N
hsa-mir-16-1	1641	316.389496	N
hsa-mir-16-2	1759	339.140234	N
hsa-mir-17	12918	2490.627371	Y
hsa-mir-181a-1	4050	780.851591	N
hsa-mir-181a-2	13062	2518.390983	N
hsa-mir-181b-1	1357	261.633484	N
hsa-mir-181b-2	1359	262.019089	N
hsa-mir-181c	669	128.985115	N
hsa-mir-181d	248	47.815110	N
hsa-mir-182	167522	32298.721042	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	55595	10718.875111	N
hsa-mir-184	2	0.385606	N
hsa-mir-185	247	47.622307	N
hsa-mir-186	1070	206.299062	N
hsa-mir-187	29	5.591283	N
hsa-mir-188	5	0.964014	N
hsa-mir-18a	393	75.771525	N
hsa-mir-18b	1	0.192803	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	33	6.362494	N
hsa-mir-190b	1	0.192803	N
hsa-mir-191	3570	688.306217	N
hsa-mir-1910	1	0.192803	N
hsa-mir-1911	1	0.192803	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	1	0.192803	N
hsa-mir-192	1334	257.199018	Y
hsa-mir-193a	3062	590.362363	N
hsa-mir-193b	488	94.087797	N
hsa-mir-194-1	226	43.573447	N
hsa-mir-194-2	298	57.455253	N
hsa-mir-195	108	20.822709	N
hsa-mir-196a-1	30	5.784086	N
hsa-mir-196a-2	38	7.326509	N
hsa-mir-196b	5567	1073.333533	N
hsa-mir-197	1690	325.836837	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	31	5.976889	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	6126	1181.110332	Y
hsa-mir-199a-2	8868	1709.775780	Y
hsa-mir-199b	10098	1946.923300	Y
hsa-mir-19a	569	109.704828	N
hsa-mir-19b-1	1489	287.083461	N
hsa-mir-19b-2	1362	262.597498	N
hsa-mir-200a	8303	1600.842163	N
hsa-mir-200b	8217	1584.261117	N
hsa-mir-200c	111681	21532.416427	N
