miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	115462	11702.295753	N
hsa-let-7a-2	114669	11621.923678	N
hsa-let-7a-3	116726	11830.404584	N
hsa-let-7b	238725	24195.237858	N
hsa-let-7c	2478	251.150066	N
hsa-let-7d	4037	409.157714	N
hsa-let-7e	13738	1392.372720	N
hsa-let-7f-1	17563	1780.043827	N
hsa-let-7f-2	17717	1795.652023	N
hsa-let-7g	3754	380.475120	N
hsa-let-7i	1845	186.994298	N
hsa-mir-1-1	32	3.243262	N
hsa-mir-1-2	21	2.128390	N
hsa-mir-100	25884	2623.393179	N
hsa-mir-101-1	118851	12045.777420	N
hsa-mir-101-2	120238	12186.352538	N
hsa-mir-103a-1	124373	12605.442740	Y
hsa-mir-103a-2	124847	12653.483552	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	120	12.162231	N
hsa-mir-105-2	104	10.540600	N
hsa-mir-106a	409	41.452937	Y
hsa-mir-106b	6637	672.672714	N
hsa-mir-107	997	101.047867	Y
hsa-mir-10a	1139109	115450.887848	N
hsa-mir-10b	509454	51634.142666	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.608112	N
hsa-mir-1180	292	29.594762	N
hsa-mir-1181	1	0.101352	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.101352	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.101352	N
hsa-mir-1199	1	0.101352	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.101352	N
hsa-mir-1224	87	8.817617	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	22	2.229742	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.810815	N
hsa-mir-1229	17	1.722983	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
