miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	21133	8550.608532	N
hsa-let-7a-2	20604	8336.570208	N
hsa-let-7a-3	21170	8565.579077	N
hsa-let-7b	29412	11900.369004	N
hsa-let-7c	395	159.820677	N
hsa-let-7d	6924	2801.514857	N
hsa-let-7e	688	278.371205	N
hsa-let-7f-1	11872	4803.521719	N
hsa-let-7f-2	11977	4846.005697	N
hsa-let-7g	2156	872.337671	N
hsa-let-7i	2224	899.851104	N
hsa-mir-1-1	2	0.809219	N
hsa-mir-1-2	1	0.404609	N
hsa-mir-100	3021	1222.324723	N
hsa-mir-101-1	22056	8924.062925	N
hsa-mir-101-2	21987	8896.144883	N
hsa-mir-103a-1	80260	32473.943160	Y
hsa-mir-103a-2	80372	32519.259403	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1409	570.094517	N
hsa-mir-105-2	1497	605.700136	N
hsa-mir-106a	178	72.020457	Y
hsa-mir-106b	8763	3545.591377	N
hsa-mir-107	466	188.547938	Y
hsa-mir-10a	18502	7486.081440	N
hsa-mir-10b	147138	59533.404545	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	253	102.366155	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.809219	N
hsa-mir-1185-2	1	0.404609	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.404609	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	9	3.641484	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	17	6.878358	N
hsa-mir-1227	1	0.404609	N
hsa-mir-1228	17	6.878358	N
hsa-mir-1229	7	2.832265	N
hsa-mir-1231	3	1.213828	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.404609	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	9	3.641484	N
hsa-mir-124-2	6	2.427656	N
hsa-mir-124-3	7	2.832265	N
hsa-mir-1243	1	0.404609	N
hsa-mir-1244-1	1	0.404609	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.809219	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.404609	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	2	0.809219	N
hsa-mir-1249	1	0.404609	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	79	31.964135	N
hsa-mir-1252	1	0.404609	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	19	7.687577	N
hsa-mir-1254-2	11	4.450702	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	32	12.947498	N
hsa-mir-125a	283	114.504435	N
hsa-mir-125b-1	200	80.921862	N
hsa-mir-125b-2	221	89.418657	N
hsa-mir-126	10409	4211.578300	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.404609	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.404609	N
hsa-mir-1266	6	2.427656	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	508	205.541529	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	701	283.631126	N
hsa-mir-1270	2	0.809219	N
hsa-mir-1271	24	9.710623	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	1.213828	N
hsa-mir-1277	12	4.855312	N
hsa-mir-1278	2	0.809219	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2706	1094.872791	N
hsa-mir-128-2	2293	927.769146	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.404609	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.809219	N
hsa-mir-1287	173	69.997411	N
hsa-mir-1288	5	2.023047	N
hsa-mir-1289-1	1	0.404609	N
