miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	48755	8741.924859	N
hsa-let-7a-2	49312	8841.796711	N
hsa-let-7a-3	49626	8898.097898	N
hsa-let-7b	60140	10783.291170	N
hsa-let-7c	4611	826.766804	N
hsa-let-7d	4491	805.250426	N
hsa-let-7e	5094	913.370223	N
hsa-let-7f-1	20473	3670.873298	N
hsa-let-7f-2	20929	3752.635532	N
hsa-let-7g	2834	508.145114	N
hsa-let-7i	3463	620.926793	N
hsa-mir-1-1	21	3.765366	N
hsa-mir-1-2	21	3.765366	N
hsa-mir-100	44381	7957.652900	Y
hsa-mir-101-1	28694	5144.924457	N
hsa-mir-101-2	29133	5223.638538	N
hsa-mir-103a-1	72025	12914.309054	Y
hsa-mir-103a-2	71255	12776.245632	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.358606	N
hsa-mir-105-2	1	0.179303	N
hsa-mir-106a	33	5.917004	Y
hsa-mir-106b	3333	597.617384	N
hsa-mir-107	531	95.209970	Y
hsa-mir-10a	131574	23591.632066	N
hsa-mir-10b	5037	903.149944	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	98	17.571708	N
hsa-mir-1181	1	0.179303	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.358606	N
hsa-mir-1185-2	1	0.179303	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	2.510244	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.255122	N
hsa-mir-1229	3	0.537909	N
hsa-mir-1231	1	0.179303	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.179303	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.179303	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.613728	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	60	10.758189	N
hsa-mir-1248	3	0.537909	N
hsa-mir-1249	23	4.123972	N
hsa-mir-1250	1	0.179303	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.179303	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.537909	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.179303	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.537909	N
hsa-mir-125a	4168	747.335510	N
hsa-mir-125b-1	1849	331.531516	N
hsa-mir-125b-2	1818	325.973119	N
hsa-mir-126	35771	6413.852818	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	2.330941	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	122	21.874984	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	8	1.434425	N
hsa-mir-1269b	25	4.482579	N
hsa-mir-127	3082	552.612294	N
hsa-mir-1270	11	1.972335	N
hsa-mir-1271	12	2.151638	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.358606	N
