miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	46601	9244.494982	N
hsa-let-7a-2	46664	9256.992636	N
hsa-let-7a-3	47442	9411.328747	N
hsa-let-7b	51239	10164.560382	N
hsa-let-7c	1910	378.897136	N
hsa-let-7d	7095	1407.473915	N
hsa-let-7e	14161	2809.194941	N
hsa-let-7f-1	26010	5159.745810	N
hsa-let-7f-2	26100	5177.599601	N
hsa-let-7g	3329	660.391919	N
hsa-let-7i	2489	493.756529	N
hsa-mir-1-1	12	2.380506	N
hsa-mir-1-2	9	1.785379	N
hsa-mir-100	16733	3319.416633	Y
hsa-mir-101-1	61417	12183.625851	N
hsa-mir-101-2	61891	12277.655821	N
hsa-mir-103a-1	57908	11487.526349	Y
hsa-mir-103a-2	57767	11459.555409	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.595126	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	112	22.218052	Y
hsa-mir-106b	5567	1104.356206	N
hsa-mir-107	583	115.652895	Y
hsa-mir-10a	58841	11672.610657	N
hsa-mir-10b	12897	2558.448355	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	126	24.995308	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.198375	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	1.190253	N
hsa-mir-1224	3	0.595126	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	31	6.149639	N
hsa-mir-1227	1	0.198375	N
hsa-mir-1228	8	1.587004	N
hsa-mir-1229	4	0.793502	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.198375	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.198375	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.396751	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	586	116.248022	N
hsa-mir-1248	1	0.198375	N
hsa-mir-1249	9	1.785379	N
hsa-mir-1250	1	0.198375	N
hsa-mir-1251	1	0.198375	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.396751	N
hsa-mir-1255a	4	0.793502	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.396751	N
hsa-mir-1257	4	0.793502	N
hsa-mir-1258	25	4.959387	N
hsa-mir-125a	8134	1613.586021	N
hsa-mir-125b-1	681	135.093691	N
hsa-mir-125b-2	718	142.433583	N
hsa-mir-126	17595	3490.416283	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.595126	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	41	8.133394	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	16	3.174007	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2122	420.952734	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	845	167.627267	N
hsa-mir-1270	7	1.388628	N
hsa-mir-1271	17	3.372383	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.396751	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	7	1.388628	N
hsa-mir-1278	2	0.396751	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	731	145.012464	N
hsa-mir-128-2	559	110.891884	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1309	259.673482	N
hsa-mir-1283-2	2024	401.511938	Y
hsa-mir-1284	1	0.198375	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.198375	N
hsa-mir-1287	80	15.870037	N
hsa-mir-1288	3	0.595126	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	9	1.785379	N
hsa-mir-129-2	9	1.785379	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.198375	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	1	0.198375	N
hsa-mir-1294	1	0.198375	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	76	15.076535	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	62	12.299279	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.396751	N
hsa-mir-1305	17	3.372383	N
hsa-mir-1306	71	14.084658	N
