miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	59648	7826.740980	N
hsa-let-7a-2	58936	7733.315558	N
hsa-let-7a-3	59527	7810.863907	N
hsa-let-7b	63055	8273.792122	N
hsa-let-7c	5712	749.502825	N
hsa-let-7d	2619	343.653343	N
hsa-let-7e	3682	483.135399	N
hsa-let-7f-1	34176	4484.420261	N
hsa-let-7f-2	33953	4455.159209	N
hsa-let-7g	7990	1048.411689	N
hsa-let-7i	6024	790.442054	N
hsa-mir-1-1	6	0.787293	N
hsa-mir-1-2	8	1.049724	N
hsa-mir-100	22391	2938.045824	N
hsa-mir-101-1	111192	14590.111706	N
hsa-mir-101-2	112975	14824.068908	N
hsa-mir-103a-1	85525	11222.203969	Y
hsa-mir-103a-2	86361	11331.900110	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1840	241.436484	N
hsa-mir-105-2	1843	241.830131	N
hsa-mir-106a	474	62.196138	Y
hsa-mir-106b	6630	869.958636	N
hsa-mir-107	1282	168.218246	Y
hsa-mir-10a	55585	7293.612483	N
hsa-mir-10b	213391	28000.202597	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.131215	N
hsa-mir-1180	134	17.582874	N
hsa-mir-1181	3	0.393646	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	27	3.542818	N
hsa-mir-1185-2	8	1.049724	N
hsa-mir-1193	3	0.393646	N
hsa-mir-1197	6	0.787293	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.131215	N
hsa-mir-1224	41	5.379835	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.656077	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	19	2.493094	N
hsa-mir-1229	2	0.262431	N
hsa-mir-1231	1	0.131215	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.131215	N
hsa-mir-124-1	1	0.131215	N
hsa-mir-124-2	4	0.524862	N
hsa-mir-124-3	1	0.131215	N
hsa-mir-1243	2	0.262431	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.393646	N
hsa-mir-1245b	1	0.131215	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	70	9.185084	N
hsa-mir-1248	27	3.542818	N
hsa-mir-1249	4	0.524862	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	20	2.624310	N
hsa-mir-1254-2	21	2.755525	N
hsa-mir-1255a	3	0.393646	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.393646	N
hsa-mir-125a	11125	1459.772220	N
hsa-mir-125b-1	1843	241.830131	N
hsa-mir-125b-2	1992	261.381237	N
hsa-mir-126	19021	2495.849654	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.262431	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.524862	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	218	28.604975	N
hsa-mir-1269b	1	0.131215	N
hsa-mir-127	40821	5356.347129	N
hsa-mir-1270	67	8.791437	N
hsa-mir-1271	11	1.443370	N
hsa-mir-1272	1	0.131215	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.131215	N
hsa-mir-1277	44	5.773481	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2011	263.874331	N
hsa-mir-128-2	1699	222.935101	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	218	28.604975	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	2	0.262431	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	30	3.936464	N
hsa-mir-129-2	23	3.017956	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	10	1.312155	N
hsa-mir-1292	3	0.393646	N
hsa-mir-1293	5	0.656077	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	6	0.787293	N
hsa-mir-1295b	1	0.131215	N
hsa-mir-1296	50	6.560774	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	7	0.918508	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	77	10.103592	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.131215	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	4	0.524862	N
hsa-mir-1305	2	0.262431	N
hsa-mir-1306	65	8.529006	N
hsa-mir-1307	10373	1361.098179	N
hsa-mir-130a	3695	484.841200	N
hsa-mir-130b	164	21.519339	N
hsa-mir-132	2988	392.071856	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	3	0.393646	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	6	0.787293	Y
hsa-mir-133a-2	2	0.262431	N
hsa-mir-133b	1	0.131215	Y
hsa-mir-134	10184	1336.298453	N
hsa-mir-1343	4	0.524862	N
hsa-mir-135a-1	3	0.393646	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	870	114.157468	N
hsa-mir-136	4656	610.939277	N
hsa-mir-137	1	0.131215	N
hsa-mir-138-1	22	2.886741	N
hsa-mir-138-2	23	3.017956	N
hsa-mir-139	2415	316.885385	N
hsa-mir-140	18056	2369.226716	N
hsa-mir-141	1751	229.758306	N
hsa-mir-142	106501	13974.579887	N
hsa-mir-143	519467	68162.112002	N
hsa-mir-144	117	15.352211	N
hsa-mir-145	6760	887.016648	N
hsa-mir-1468	19	2.493094	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	6227	817.078797	N
hsa-mir-146b	17837	2340.490525	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.262431	N
hsa-mir-148a	257417	33777.095341	N
hsa-mir-148b	1595	209.288691	N
hsa-mir-149	254	33.328732	N
hsa-mir-150	76417	10027.093372	N
hsa-mir-151a	30212	3964.282096	N
hsa-mir-151b	39	5.117404	N
hsa-mir-152	805	105.628462	N
