miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	69745	25597.304071	N
hsa-let-7a-2	69046	25340.762161	N
hsa-let-7a-3	69959	25675.844799	N
hsa-let-7b	483965	177621.324321	N
hsa-let-7c	44188	16217.559284	N
hsa-let-7d	16898	6201.781406	N
hsa-let-7e	8016	2941.974184	N
hsa-let-7f-1	1573	577.311052	N
hsa-let-7f-2	1546	567.401708	N
hsa-let-7g	722	264.983204	N
hsa-let-7i	2172	797.151687	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	13021	4778.872985	N
hsa-mir-101-1	124	45.509581	N
hsa-mir-101-2	113	41.472440	N
hsa-mir-103a-1	17074	6266.375650	Y
hsa-mir-103a-2	17245	6329.134830	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.734025	N
hsa-mir-105-2	3	1.101038	N
hsa-mir-106a	4	1.468051	Y
hsa-mir-106b	3451	1266.560991	N
hsa-mir-107	135	49.546721	Y
hsa-mir-10a	37959	13931.436881	N
hsa-mir-10b	125772	46159.927273	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	401	147.172112	N
hsa-mir-1181	3	1.101038	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.367013	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.734025	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	12	4.404153	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	42	15.414535	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	64	23.488816	N
hsa-mir-1229	15	5.505191	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.734025	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.367013	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1259	462.069049	N
hsa-mir-1248	30	11.010382	N
hsa-mir-1249	29	10.643370	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	1.101038	N
hsa-mir-1254-2	7	2.569089	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	17479	6415.015813	N
hsa-mir-125b-1	5802	2129.407961	N
hsa-mir-125b-2	6375	2339.706265	N
hsa-mir-126	1036	380.225206	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.367013	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	245	89.918123	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	757	277.828650	N
hsa-mir-1269b	1	0.367013	N
hsa-mir-127	11543	4236.428144	N
hsa-mir-1270	11	4.037140	N
hsa-mir-1271	29	10.643370	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	1.835064	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	348	127.720436	N
hsa-mir-128-2	194	71.200473	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	134	49.179708	N
hsa-mir-1288	2	0.734025	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	19	6.973242	N
hsa-mir-129-2	23	8.441293	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	12	4.404153	N
hsa-mir-1293	2	0.734025	N
hsa-mir-1294	1	0.367013	N
hsa-mir-1295a	1	0.367013	N
hsa-mir-1295b	1	0.367013	N
hsa-mir-1296	63	23.121803	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	138	50.647759	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	9	3.303115	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	157	57.621001	N
hsa-mir-1307	9902	3634.160225	N
hsa-mir-130a	236	86.615008	N
hsa-mir-130b	222	81.476830	N
hsa-mir-132	1704	625.389722	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	8	2.936102	Y
hsa-mir-133a-2	14	5.138178	N
hsa-mir-133b	1	0.367013	Y
hsa-mir-134	2971	1090.394873	N
hsa-mir-1343	25	9.175319	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	19	6.973242	N
hsa-mir-136	13	4.771166	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	1362	499.871362	N
hsa-mir-140	6040	2216.756995	N
hsa-mir-141	225	82.577868	N
hsa-mir-142	66	24.222841	N
hsa-mir-143	22634	8306.966526	N
hsa-mir-144	9	3.303115	N
hsa-mir-145	10433	3829.043994	N
hsa-mir-1468	79	28.994007	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	116	42.573479	N
hsa-mir-146b	5587	2050.500220	N
