miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	60755	5873.608794	N
hsa-let-7a-2	60349	5834.357948	N
hsa-let-7a-3	60692	5867.518146	N
hsa-let-7b	32594	3151.088882	N
hsa-let-7c	30248	2924.284731	N
hsa-let-7d	13009	1257.670592	N
hsa-let-7e	1107	107.021396	N
hsa-let-7f-1	41808	4041.870405	N
hsa-let-7f-2	42295	4088.952086	N
hsa-let-7g	15618	1509.900784	N
hsa-let-7i	7957	769.258582	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	1	0.096677	N
hsa-mir-100	208	20.108808	N
hsa-mir-101-1	117128	11323.579144	N
hsa-mir-101-2	119170	11520.993499	N
hsa-mir-103a-1	237575	22968.029122	Y
hsa-mir-103a-2	237164	22928.294891	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	618	59.746362	Y
hsa-mir-106b	31886	3082.641594	N
hsa-mir-107	546	52.785621	Y
hsa-mir-10a	2295518	221923.705249	N
hsa-mir-10b	719	69.510735	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	1.256800	N
hsa-mir-1180	17	1.643508	N
hsa-mir-1181	5	0.483385	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	20	1.933539	N
hsa-mir-1227	0	0.000000	N
