miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	28545	4271.734704	N
hsa-let-7a-2	28792	4308.698042	N
hsa-let-7a-3	29018	4342.518748	N
hsa-let-7b	35125	5256.426046	N
hsa-let-7c	23791	3560.302692	N
hsa-let-7d	8213	1229.068388	N
hsa-let-7e	9984	1494.097015	N
hsa-let-7f-1	20802	3113.001413	N
hsa-let-7f-2	21027	3146.672469	N
hsa-let-7g	3045	455.681632	N
hsa-let-7i	1433	214.447218	N
hsa-mir-1-1	4	0.598597	N
hsa-mir-1-2	8	1.197193	N
hsa-mir-100	3500	523.771990	N
hsa-mir-101-1	16569	2479.536602	N
hsa-mir-101-2	16920	2532.063451	N
hsa-mir-103a-1	123497	18481.219856	Y
hsa-mir-103a-2	122775	18373.173177	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	9	1.346842	N
hsa-mir-105-2	8	1.197193	N
hsa-mir-106a	58	8.679650	Y
hsa-mir-106b	5997	897.445893	N
hsa-mir-107	292	43.697549	Y
hsa-mir-10a	2175702	325591.933432	N
hsa-mir-10b	393777	58928.389445	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	290	43.398251	N
hsa-mir-1181	1	0.149649	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	2	0.299298	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.299298	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	25	3.741229	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	3	0.448947	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.299298	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.149649	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.299298	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	6	0.897895	N
hsa-mir-1248	5	0.748246	N
hsa-mir-1249	5	0.748246	N
hsa-mir-1250	3	0.448947	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.448947	N
hsa-mir-1254-2	2	0.299298	N
hsa-mir-1255a	1	0.149649	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.149649	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.149649	N
hsa-mir-125a	7323	1095.880653	N
hsa-mir-125b-1	1510	225.970202	N
hsa-mir-125b-2	1582	236.744940	N
hsa-mir-126	10856	1624.591065	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	18	2.693685	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	156	23.345266	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	18	2.693685	N
hsa-mir-1269b	5842	874.250277	N
hsa-mir-127	719	107.597732	N
hsa-mir-1270	8	1.197193	N
hsa-mir-1271	8	1.197193	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.448947	N
hsa-mir-1277	5	0.748246	N
hsa-mir-1278	1	0.149649	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1450	216.991253	N
hsa-mir-128-2	909	136.031068	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	12	1.795790	N
hsa-mir-1283-2	16	2.394386	N
hsa-mir-1284	4	0.598597	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	729	109.094223	N
hsa-mir-1288	3	0.448947	N
hsa-mir-1289-1	1	0.149649	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	9	1.346842	N
hsa-mir-129-2	7	1.047544	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.448947	N
hsa-mir-1292	3	0.448947	N
hsa-mir-1293	1	0.149649	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	5	0.748246	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	103	15.413861	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	322	48.187023	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	7	1.047544	N
hsa-mir-1305	4	0.598597	N
hsa-mir-1306	140	20.950880	N
hsa-mir-1307	24128	3610.734453	N
hsa-mir-130a	932	139.472999	N
hsa-mir-130b	293	43.847198	N
hsa-mir-132	296	44.296145	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	3	0.448947	N
hsa-mir-133a-2	4	0.598597	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	248	37.112987	N
hsa-mir-1343	13	1.945439	N
hsa-mir-135a-1	12	1.795790	N
hsa-mir-135a-2	3	0.448947	N
hsa-mir-135b	357	53.424743	N
hsa-mir-136	38	5.686667	N
hsa-mir-137	904	135.282823	N
hsa-mir-138-1	119	17.808248	N
hsa-mir-138-2	101	15.114563	N
hsa-mir-139	91	13.618072	N
hsa-mir-140	3397	508.358129	N
hsa-mir-141	28944	4331.444711	N
hsa-mir-142	3339	499.678479	N
hsa-mir-143	39793	5954.988232	N
hsa-mir-144	135	20.202634	N
hsa-mir-145	2116	316.657580	N
hsa-mir-1468	48	7.183159	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	154	23.045968	N
hsa-mir-146b	4195	627.778143	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	0.448947	N
hsa-mir-148a	106700	15967.563250	N
hsa-mir-148b	925	138.425455	N
hsa-mir-149	1207	180.626512	N
hsa-mir-150	884	132.289840	N
hsa-mir-151a	15786	2362.361326	N
hsa-mir-151b	5	0.748246	N
hsa-mir-152	683	102.210363	N
hsa-mir-153-1	1	0.149649	N
hsa-mir-153-2	13	1.945439	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	4	0.598597	N
hsa-mir-155	1321	197.686514	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	522	78.116851	N
hsa-mir-15b	1054	157.730194	N
hsa-mir-16-1	563	84.252466	N
hsa-mir-16-2	603	90.238431	N
hsa-mir-17	8453	1264.984181	Y
hsa-mir-181a-1	3576	535.145325	N
hsa-mir-181a-2	11257	1684.600370	N
hsa-mir-181b-1	1269	189.904759	N
hsa-mir-181b-2	1264	189.156513	N
hsa-mir-181c	1174	175.688090	N
hsa-mir-181d	591	88.442642	N
hsa-mir-182	472479	70706.076069	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	225452	33738.697936	N
hsa-mir-184	5	0.748246	N
hsa-mir-185	353	52.826146	N
hsa-mir-186	3957	592.161647	N
hsa-mir-187	10	1.496491	N
hsa-mir-188	16	2.394386	N
hsa-mir-18a	330	49.384216	Y
hsa-mir-18b	4	0.598597	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	26	3.890878	N
hsa-mir-190b	6	0.897895	N
hsa-mir-191	2741	410.188293	N
hsa-mir-1910	7	1.047544	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1345	201.278093	Y
hsa-mir-193a	1296	193.945286	N
hsa-mir-193b	195	29.181582	N
hsa-mir-194-1	424	63.451235	N
hsa-mir-194-2	480	71.831587	N
hsa-mir-195	7	1.047544	N
hsa-mir-196a-1	7	1.047544	N
hsa-mir-196a-2	19	2.843334	N
hsa-mir-196b	5454	816.186410	N
hsa-mir-197	5201	778.325178	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	31	4.639123	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	1573	235.398097	Y
hsa-mir-199a-2	2253	337.159513	Y
hsa-mir-199b	2892	432.785313	Y
hsa-mir-19a	288	43.098952	N
hsa-mir-19b-1	583	87.245449	N
hsa-mir-19b-2	473	70.784043	N
hsa-mir-200a	12509	1871.961094	N
hsa-mir-200b	9990	1494.994910	N
hsa-mir-200c	415787	62222.167018	N
hsa-mir-202	2	0.299298	N
hsa-mir-203a	152271	22787.224213	N
hsa-mir-203b	6343	949.224496	N
hsa-mir-204	16	2.394386	N
hsa-mir-205	389	58.213516	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	2	0.299298	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	4510	674.917622	N
hsa-mir-20b	92	13.767721	N
hsa-mir-21	483134	72300.587657	N
hsa-mir-210	361	54.023340	N
hsa-mir-211	1	0.149649	N
