miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	25777	5988.430159	N
hsa-let-7a-2	25905	6018.166709	N
hsa-let-7a-3	25895	6015.843541	N
hsa-let-7b	34334	7976.365018	N
hsa-let-7c	7255	1685.458385	N
hsa-let-7d	1197	278.083210	N
hsa-let-7e	3383	785.927735	N
hsa-let-7f-1	10109	2348.490533	N
hsa-let-7f-2	10299	2392.630725	N
hsa-let-7g	1855	430.947664	N
hsa-let-7i	1593	370.080663	N
hsa-mir-1-1	12	2.787802	N
hsa-mir-1-2	9	2.090851	N
hsa-mir-100	9586	2226.988847	N
hsa-mir-101-1	25682	5966.360063	N
hsa-mir-101-2	26246	6097.386738	N
hsa-mir-103a-1	59705	13870.474556	Y
hsa-mir-103a-2	60096	13961.310425	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	6533	1517.725656	N
hsa-mir-105-2	6536	1518.422606	N
hsa-mir-106a	48	11.151206	Y
hsa-mir-106b	3800	882.803841	N
hsa-mir-107	411	95.482205	Y
hsa-mir-10a	65420	15198.165069	N
hsa-mir-10b	204225	47444.898521	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.696950	N
hsa-mir-1180	334	77.593811	N
hsa-mir-1181	1	0.232317	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	30	6.969504	N
hsa-mir-1185-2	9	2.090851	N
hsa-mir-1193	2	0.464634	N
hsa-mir-1197	22	5.110970	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	9	2.090851	N
hsa-mir-1225	1	0.232317	N
hsa-mir-1226	8	1.858534	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	14	3.252435	N
hsa-mir-1229	1	0.232317	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	70	16.262176	N
hsa-mir-124-2	70	16.262176	N
hsa-mir-124-3	84	19.514611	N
hsa-mir-1243	10	2.323168	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.929267	N
