miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	10832	2164.203334	N
hsa-let-7a-2	10699	2137.630305	N
hsa-let-7a-3	10852	2168.199278	N
hsa-let-7b	8865	1771.202230	N
hsa-let-7c	5281	1055.129044	N
hsa-let-7d	534	106.691708	N
hsa-let-7e	2061	411.782041	N
hsa-let-7f-1	5766	1152.030689	N
hsa-let-7f-2	5840	1166.815682	N
hsa-let-7g	1241	247.948332	N
hsa-let-7i	1470	293.701893	N
hsa-mir-1-1	133	26.573028	N
hsa-mir-1-2	130	25.973637	N
hsa-mir-100	10345	2066.902094	N
hsa-mir-101-1	20510	4097.840692	N
hsa-mir-101-2	20762	4148.189588	N
hsa-mir-103a-1	89484	17878.653167	Y
hsa-mir-103a-2	89097	17801.331648	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	36	7.192699	N
hsa-mir-105-2	22	4.395539	N
hsa-mir-106a	1256	250.945291	Y
hsa-mir-106b	11017	2201.165817	N
hsa-mir-107	449	89.708945	Y
hsa-mir-10a	31685	6330.574467	N
hsa-mir-10b	39087	7809.473385	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	31	6.193713	N
hsa-mir-1180	452	90.308337	N
hsa-mir-1181	1	0.199797	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	169	33.765728	N
hsa-mir-1185-2	30	5.993916	N
hsa-mir-1193	10	1.997972	N
hsa-mir-1197	83	16.583168	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	758	151.446282	N
hsa-mir-1224	4	0.799189	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	2.597364	N
hsa-mir-1227	2	0.399594	N
hsa-mir-1228	13	2.597364	N
hsa-mir-1229	6	1.198783	N
hsa-mir-1231	1	0.199797	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.199797	N
hsa-mir-124-1	20	3.995944	N
hsa-mir-124-2	23	4.595336	N
hsa-mir-124-3	12	2.397566	N
hsa-mir-1243	25	4.994930	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	1.997972	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.399594	N
hsa-mir-1247	547	109.289072	N
hsa-mir-1248	34	6.793105	N
hsa-mir-1249	12	2.397566	N
hsa-mir-1250	5	0.998986	N
hsa-mir-1251	209	41.757616	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	1.798175	N
hsa-mir-1254-2	9	1.798175	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
