miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	50960	27283.113701	N
hsa-let-7a-2	51818	27742.472248	N
hsa-let-7a-3	51496	27570.078948	N
hsa-let-7b	24339	13030.684937	N
hsa-let-7c	1900	1017.227552	N
hsa-let-7d	1105	591.598129	N
hsa-let-7e	3603	1928.984668	N
hsa-let-7f-1	22525	12059.500316	N
hsa-let-7f-2	22736	12172.466113	N
hsa-let-7g	1863	997.418384	N
hsa-let-7i	1029	550.909027	N
hsa-mir-1-1	7	3.747680	N
hsa-mir-1-2	8	4.283063	N
hsa-mir-100	116545	62396.202636	Y
hsa-mir-101-1	6331	3389.509279	N
hsa-mir-101-2	6243	3342.395582	N
hsa-mir-103a-1	14903	7978.811685	Y
hsa-mir-103a-2	14801	7924.202627	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	137	73.347460	N
hsa-mir-105-2	135	72.276694	N
hsa-mir-106a	18	9.636893	Y
hsa-mir-106b	1301	696.533181	N
hsa-mir-107	231	123.673455	Y
hsa-mir-10a	20922	11201.281493	N
hsa-mir-10b	7779	4164.743750	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	46	24.627614	N
hsa-mir-1181	2	1.070766	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.535383	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.535383	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.535383	N
hsa-mir-1229	1	0.535383	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.535383	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.535383	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	8	4.283063	N
hsa-mir-1247	3	1.606149	N
hsa-mir-1248	2	1.070766	N
hsa-mir-1249	2	1.070766	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.535383	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	1.070766	N
hsa-mir-1255a	4	2.141532	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.535383	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	1.606149	N
hsa-mir-125a	449	240.386932	N
hsa-mir-125b-1	1689	904.261755	N
hsa-mir-125b-2	1596	854.471143	N
hsa-mir-126	3478	1862.061802	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	1.070766	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	28	14.990722	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6	3.212298	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	368	197.020915	N
hsa-mir-1270	1	0.535383	N
hsa-mir-1271	3	1.606149	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.535383	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	1.070766	N
hsa-mir-1278	1	0.535383	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	166	88.873565	N
hsa-mir-128-2	141	75.488992	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.535383	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	100	53.538292	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.535383	N
hsa-mir-129-2	1	0.535383	N
hsa-mir-1290	1	0.535383	N
hsa-mir-1291	1	0.535383	N
hsa-mir-1292	2	1.070766	N
hsa-mir-1293	42	22.486083	N
hsa-mir-1294	2	1.070766	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	6	3.212298	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	8	4.283063	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	10	5.353829	N
hsa-mir-1305	1	0.535383	N
hsa-mir-1306	19	10.172276	N
hsa-mir-1307	1794	960.476962	N
hsa-mir-130a	68	36.406039	N
hsa-mir-130b	95	50.861378	N
hsa-mir-132	160	85.661268	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	5	2.676915	Y
hsa-mir-133a-2	3	1.606149	Y
hsa-mir-133b	3	1.606149	Y
hsa-mir-134	131	70.135163	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	1	0.535383	N
hsa-mir-135a-2	2	1.070766	N
hsa-mir-135b	67	35.870656	N
hsa-mir-136	13	6.959978	N
hsa-mir-137	33	17.667636	N
hsa-mir-138-1	28	14.990722	N
hsa-mir-138-2	28	14.990722	N
hsa-mir-139	109	58.356738	N
hsa-mir-140	1261	675.117865	N
hsa-mir-141	2631	1408.592468	N
hsa-mir-142	4096	2192.928448	N
hsa-mir-143	254355	136177.323107	N
hsa-mir-144	266	142.411857	N
hsa-mir-145	1169	625.862636	N
hsa-mir-1468	6	3.212298	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	330	176.676364	N
hsa-mir-146b	2875	1539.225901	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	13	6.959978	N
hsa-mir-148a	30676	16423.406513	N
hsa-mir-148b	262	140.270326	N
hsa-mir-149	74	39.618336	N
hsa-mir-150	1528	818.065105	N
hsa-mir-151a	9308	4983.344237	N
hsa-mir-151b	1	0.535383	N
hsa-mir-152	202	108.147350	N
hsa-mir-153-1	1	0.535383	N
hsa-mir-153-2	16	8.566127	N
hsa-mir-1537	1	0.535383	N
hsa-mir-1538	2	1.070766	N
hsa-mir-1539	1	0.535383	N
hsa-mir-154	6	3.212298	N
