miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	48555	6241.402887	N
hsa-let-7a-2	48627	6250.657979	Y
hsa-let-7a-3	48900	6285.750204	N
hsa-let-7b	60124	7728.516263	N
hsa-let-7c	4031	518.156627	Y
hsa-let-7d	5975	768.044120	N
hsa-let-7e	11629	1494.825953	N
hsa-let-7f-1	24869	3196.734598	N
hsa-let-7f-2	25548	3284.015260	N
hsa-let-7g	3180	408.766578	N
hsa-let-7i	1876	241.146572	N
hsa-mir-1-1	4	0.514172	N
hsa-mir-1-2	2	0.257086	N
hsa-mir-100	8590	1104.183932	N
hsa-mir-101-1	96387	12389.869222	N
hsa-mir-101-2	97485	12531.009380	N
hsa-mir-103a-1	243408	31288.382121	Y
hsa-mir-103a-2	243721	31328.616064	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.128543	N
hsa-mir-105-2	1	0.128543	N
hsa-mir-106a	31	3.984831	Y
hsa-mir-106b	8583	1103.284131	N
hsa-mir-107	1481	190.372107	Y
hsa-mir-10a	144029	18513.912396	N
hsa-mir-10b	316880	40732.689667	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.257086	N
hsa-mir-1180	316	40.619572	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.128543	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.128543	N
hsa-mir-1224	2	0.257086	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	34	4.370460	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.642715	N
hsa-mir-1229	15	1.928144	N
hsa-mir-1231	2	0.257086	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
