miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	79793	12661.120144	N
hsa-let-7a-2	79563	12624.624992	N
hsa-let-7a-3	80522	12776.793907	N
hsa-let-7b	47090	7471.985608	N
hsa-let-7c	51048	8100.019565	N
hsa-let-7d	1770	280.853993	N
hsa-let-7e	8001	1269.555253	N
hsa-let-7f-1	43119	6841.888881	N
hsa-let-7f-2	45055	7149.082853	N
hsa-let-7g	3685	584.715799	N
hsa-let-7i	2271	360.349954	N
hsa-mir-1-1	1108	175.811426	N
hsa-mir-1-2	1265	200.723334	N
hsa-mir-100	54752	8687.750180	Y
hsa-mir-101-1	40804	6474.557246	N
hsa-mir-101-2	41911	6650.209998	N
hsa-mir-103a-1	78207	12409.462273	Y
hsa-mir-103a-2	77605	12313.940180	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	799	126.780983	Y
hsa-mir-106b	1609	255.307387	N
hsa-mir-107	229	36.336477	Y
hsa-mir-10a	27414	4349.904724	N
hsa-mir-10b	325069	51580.184529	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	36	5.712285	N
hsa-mir-1181	1	0.158675	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.317349	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.158675	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.317349	N
hsa-mir-1229	1	0.158675	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.158675	N
hsa-mir-1243	2	0.317349	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.952047	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	198	31.417565	N
hsa-mir-1248	12	1.904095	N
hsa-mir-1249	2	0.317349	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.317349	N
hsa-mir-1252	1	0.158675	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.158675	N
hsa-mir-1254-2	2	0.317349	N
hsa-mir-1255a	4	0.634698	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	17	2.697468	N
hsa-mir-125a	5373	852.558477	N
hsa-mir-125b-1	4528	718.478463	N
hsa-mir-125b-2	4921	780.837570	N
hsa-mir-126	7690	1220.207461	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	1.269397	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.158675	N
hsa-mir-1265	1	0.158675	N
hsa-mir-1266	18	2.856142	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.317349	N
hsa-mir-1269b	2	0.317349	N
hsa-mir-127	2260	358.604533	N
hsa-mir-1270	1	0.158675	N
hsa-mir-1271	14	2.221444	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.158675	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	458	72.672954	N
hsa-mir-128-2	241	38.240572	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	7	1.110722	N
hsa-mir-1283-2	8	1.269397	N
hsa-mir-1284	2	0.317349	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	136	21.579742	N
hsa-mir-1288	1	0.158675	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.317349	N
hsa-mir-129-2	2	0.317349	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.476024	N
hsa-mir-1292	1	0.158675	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	3	0.476024	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	22	3.490841	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.476024	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	28	4.442888	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	6	0.952047	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	12	1.904095	N
hsa-mir-1307	3664	581.383633	N
hsa-mir-130a	570	90.444506	N
hsa-mir-130b	51	8.092403	N
hsa-mir-132	857	135.984108	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.158675	N
hsa-mir-1323	17	2.697468	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	522	82.828127	Y
hsa-mir-133a-2	485	76.957168	Y
hsa-mir-133b	63	9.996498	Y
hsa-mir-134	761	120.751349	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	115	18.247576	N
hsa-mir-135a-2	127	20.151671	N
hsa-mir-135b	22	3.490841	N
hsa-mir-136	153	24.277210	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	5	0.793373	N
hsa-mir-138-2	2	0.317349	N
hsa-mir-139	516	81.876079	N
hsa-mir-140	7815	1240.041782	N
hsa-mir-141	6522	1034.875560	N
hsa-mir-142	5024	797.181051	N
hsa-mir-143	1784658	283179.844775	N
hsa-mir-144	345	54.742727	N
hsa-mir-145	45621	7238.892661	N
hsa-mir-1468	42	6.664332	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	752	119.323278	N
hsa-mir-146b	3910	620.417578	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	4	0.634698	N
hsa-mir-148a	248458	39423.966874	N
hsa-mir-148b	402	63.787178	N
hsa-mir-149	608	96.474140	N
hsa-mir-150	4208	667.702600	N
hsa-mir-151a	6239	989.970656	N
hsa-mir-151b	5	0.793373	N
hsa-mir-152	781	123.924841	N
hsa-mir-153-1	6	0.952047	N
hsa-mir-153-2	58	9.203125	N
