miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	73307	18128.792649	N
hsa-let-7a-2	73453	18164.898392	Y
hsa-let-7a-3	74487	18420.606191	N
hsa-let-7b	163204	40360.285859	N
hsa-let-7c	4017	993.402541	Y
hsa-let-7d	6245	1544.386076	N
hsa-let-7e	6326	1564.417345	N
hsa-let-7f-1	20236	5004.354946	N
hsa-let-7f-2	20075	4964.539709	N
hsa-let-7g	5653	1397.984706	N
hsa-let-7i	5089	1258.507725	N
hsa-mir-1-1	4	0.989198	N
hsa-mir-1-2	1	0.247300	N
hsa-mir-100	37611	9301.185703	Y
hsa-mir-101-1	9577	2368.388383	N
hsa-mir-101-2	9532	2357.259901	N
hsa-mir-103a-1	66932	16552.257623	Y
hsa-mir-103a-2	67272	16636.339491	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	600	148.379767	N
hsa-mir-105-2	638	157.777152	N
hsa-mir-106a	288	71.222288	Y
hsa-mir-106b	4828	1193.962526	N
hsa-mir-107	905	223.806149	Y
hsa-mir-10a	165219	40858.594577	N
hsa-mir-10b	371376	91841.140665	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.247300	N
hsa-mir-1180	533	131.810693	N
hsa-mir-1181	6	1.483798	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.247300	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	1.236498	N
hsa-mir-1225	1	0.247300	N
hsa-mir-1226	29	7.171689	N
hsa-mir-1227	1	0.247300	N
hsa-mir-1228	49	12.117681	N
hsa-mir-1229	4	0.989198	N
hsa-mir-1231	1	0.247300	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	5	1.236498	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.741899	N
hsa-mir-124-2	2	0.494599	N
hsa-mir-124-3	2	0.494599	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	1.236498	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	162	40.062537	N
hsa-mir-1248	30	7.418988	N
hsa-mir-1249	28	6.924389	N
hsa-mir-1250	4	0.989198	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	1.236498	N
hsa-mir-1254-2	9	2.225697	N
hsa-mir-1255a	3	0.741899	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.247300	N
hsa-mir-125a	2870	709.749886	N
hsa-mir-125b-1	3991	986.972751	N
hsa-mir-125b-2	4043	999.832331	N
hsa-mir-126	19959	4935.852954	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	1.483798	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	121	29.923253	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	30	7.418988	N
hsa-mir-1269b	4671	1155.136487	N
hsa-mir-127	1476	365.014227	N
hsa-mir-1270	16	3.956794	N
hsa-mir-1271	54	13.354179	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.741899	N
hsa-mir-1276	1	0.247300	N
hsa-mir-1277	2	0.494599	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2576	637.043800	N
hsa-mir-128-2	2225	550.241636	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	844	208.720872	N
hsa-mir-1288	8	1.978397	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	5	1.236498	N
hsa-mir-129-2	1	0.247300	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.989198	N
hsa-mir-1292	19	4.698693	N
hsa-mir-1293	1	0.247300	N
hsa-mir-1294	2	0.494599	N
hsa-mir-1295a	5	1.236498	N
hsa-mir-1295b	1	0.247300	N
hsa-mir-1296	11	2.720296	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	646	159.755549	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	10	2.472996	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	264	65.287098	N
hsa-mir-1307	8919	2205.665238	N
hsa-mir-130a	817	202.043783	N
hsa-mir-130b	399	98.672545	N
hsa-mir-132	1985	490.889730	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.247300	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	7	1.731097	Y
hsa-mir-133a-2	5	1.236498	Y
hsa-mir-133b	3	0.741899	Y
hsa-mir-134	1248	308.629916	N
hsa-mir-1343	11	2.720296	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	2	0.494599	N
hsa-mir-135b	293	72.458786	N
hsa-mir-136	16	3.956794	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	11	2.720296	N
hsa-mir-138-2	10	2.472996	N
hsa-mir-139	288	71.222288	N
hsa-mir-140	20703	5119.843865	N
hsa-mir-141	32	7.913588	N
hsa-mir-142	19673	4865.125265	N
hsa-mir-143	272644	67424.755384	N
hsa-mir-144	26	6.429790	N
hsa-mir-145	6266	1549.579368	N
hsa-mir-1468	16	3.956794	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	5030	1243.917048	N
hsa-mir-146b	2853	705.545793	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	0.741899	N
hsa-mir-148a	301289	74508.652766	N
hsa-mir-148b	2191	541.833450	N
hsa-mir-149	294	72.706086	N
hsa-mir-150	11898	2942.370782	N
hsa-mir-151a	20469	5061.975756	N
hsa-mir-151b	11	2.720296	N
hsa-mir-152	2277	563.101216	N
hsa-mir-153-1	2	0.494599	N
hsa-mir-153-2	28	6.924389	N
hsa-mir-1537	4	0.989198	N
hsa-mir-1538	3	0.741899	N
hsa-mir-1539	1	0.247300	N
hsa-mir-154	9	2.225697	N
hsa-mir-155	20480	5064.696051	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1112	274.997168	N
hsa-mir-15b	3602	890.773202	N
hsa-mir-16-1	1993	492.868126	N
hsa-mir-16-2	2151	531.941465	N
hsa-mir-17	2762	683.041528	Y
hsa-mir-181a-1	18167	4492.692049	Y
hsa-mir-181a-2	21755	5380.003057	N
hsa-mir-181b-1	3835	948.394012	N
hsa-mir-181b-2	3387	837.603785	N
hsa-mir-181c	891	220.343954	Y
hsa-mir-181d	161	39.815238	N
hsa-mir-182	4055	1002.799926	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	858	212.183067	N
hsa-mir-184	7	1.731097	N
hsa-mir-185	984	243.342818	N
hsa-mir-186	1688	417.441745	N
hsa-mir-187	10	2.472996	N
hsa-mir-188	86	21.267767	N
hsa-mir-18a	55	13.601479	Y
hsa-mir-18b	58	14.343377	Y
hsa-mir-1908	7	1.731097	N
hsa-mir-1909	1	0.247300	N
hsa-mir-190a	13	3.214895	N
hsa-mir-190b	2	0.494599	N
hsa-mir-191	3885	960.758992	N
hsa-mir-1910	3	0.741899	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	1	0.247300	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1968	486.685636	Y
hsa-mir-193a	2814	695.901108	N
hsa-mir-193b	252	62.319502	N
hsa-mir-194-1	320	79.135876	N
hsa-mir-194-2	298	73.695284	N
hsa-mir-195	173	42.782833	N
hsa-mir-196a-1	371	91.748156	N
