miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	28640	3779.409188	N
hsa-let-7a-2	28473	3757.371431	N
hsa-let-7a-3	28348	3740.876105	N
hsa-let-7b	37663	4970.107829	N
hsa-let-7c	1393	183.823918	N
hsa-let-7d	5841	770.793613	N
hsa-let-7e	18601	2454.636533	N
hsa-let-7f-1	18758	2475.354663	N
hsa-let-7f-2	19412	2561.658211	N
hsa-let-7g	3814	503.305399	N
hsa-let-7i	2620	345.742042	N
hsa-mir-1-1	2	0.263925	N
hsa-mir-1-2	6	0.791776	N
hsa-mir-100	49257	6500.082345	Y
hsa-mir-101-1	46613	6151.173200	N
hsa-mir-101-2	47274	6238.400486	N
hsa-mir-103a-1	69041	9110.830647	Y
hsa-mir-103a-2	69007	9106.343918	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	15	1.979439	N
hsa-mir-105-2	23	3.035140	N
hsa-mir-106a	171	22.565607	Y
hsa-mir-106b	16116	2126.709444	N
hsa-mir-107	1291	170.363731	Y
hsa-mir-10a	254999	33650.333918	N
hsa-mir-10b	1200230	158385.484957	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.395888	N
hsa-mir-1180	628	82.872520	N
hsa-mir-1181	15	1.979439	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.055701	N
hsa-mir-1185-2	2	0.263925	N
hsa-mir-1193	1	0.131963	N
hsa-mir-1197	8	1.055701	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	59	7.785794	N
hsa-mir-1224	1	0.131963	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	31	4.090841	N
hsa-mir-1227	2	0.263925	N
hsa-mir-1228	20	2.639252	N
hsa-mir-1229	3	0.395888	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.263925	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.131963	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.263925	N
hsa-mir-1247	4	0.527850	N
hsa-mir-1248	26	3.431028	N
hsa-mir-1249	11	1.451589	N
hsa-mir-1250	1	0.131963	N
hsa-mir-1251	216	28.503924	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	12	1.583551	N
hsa-mir-1254-2	18	2.375327	N
hsa-mir-1255a	2	0.263925	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.263925	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	13045	1721.452264	N
hsa-mir-125b-1	5827	768.946136	N
hsa-mir-125b-2	5730	756.145763	N
hsa-mir-126	9606	1267.632844	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	10	1.319626	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	1.319626	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	61	8.049719	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	13117	1730.953572	N
hsa-mir-1269b	3	0.395888	N
hsa-mir-127	27088	3574.603215	N
hsa-mir-1270	3	0.395888	N
hsa-mir-1271	35	4.618691	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.659813	N
hsa-mir-1276	11	1.451589	N
hsa-mir-1277	19	2.507290	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3125	412.383160	N
