miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	98364	11878.427619	N
hsa-let-7a-2	97728	11801.624317	N
hsa-let-7a-3	97520	11776.506256	N
hsa-let-7b	49747	6007.443158	N
hsa-let-7c	32105	3876.996856	N
hsa-let-7d	11861	1432.333272	N
hsa-let-7e	32328	3903.926315	N
hsa-let-7f-1	52402	6328.060714	N
hsa-let-7f-2	53229	6427.929158	N
hsa-let-7g	15431	1863.446145	N
hsa-let-7i	21514	2598.028667	N
hsa-mir-1-1	49	5.917236	N
hsa-mir-1-2	45	5.434196	N
hsa-mir-100	53294	6435.778552	Y
hsa-mir-101-1	69962	8448.604704	N
hsa-mir-101-2	69361	8376.027999	N
hsa-mir-103a-1	77851	9401.279620	Y
hsa-mir-103a-2	78669	9500.061225	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.120760	N
hsa-mir-105-2	3	0.362280	N
hsa-mir-106a	25	3.018998	Y
hsa-mir-106b	2544	307.213207	N
hsa-mir-107	351	42.386728	Y
hsa-mir-10a	60576	7315.152205	N
hsa-mir-10b	201055	24279.383361	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.966079	N
hsa-mir-1180	208	25.118061	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.120760	N
hsa-mir-1193	1	0.120760	N
hsa-mir-1197	1	0.120760	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.120760	N
hsa-mir-1224	7	0.845319	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	1.328359	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	1.207599	N
hsa-mir-1229	4	0.483040	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.120760	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.120760	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	1.569879	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	126	15.215748	N
hsa-mir-1248	13	1.569879	N
hsa-mir-1249	14	1.690639	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1558	188.143937	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.362280	N
hsa-mir-1254-2	3	0.362280	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	25290	3054.018081	N
hsa-mir-125b-1	26562	3207.624684	N
hsa-mir-125b-2	26725	3227.308549	N
hsa-mir-126	51930	6271.062038	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	0.966079	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	172	20.770704	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.120760	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	6157	743.518755	N
hsa-mir-1270	50	6.037995	N
hsa-mir-1271	28	3.381277	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.241520	N
hsa-mir-1276	1	0.120760	N
hsa-mir-1277	22	2.656718	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	435	52.530560	N
hsa-mir-128-2	240	28.982378	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.241520	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	214	25.842620	N
hsa-mir-1288	1	0.120760	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	20	2.415198	N
hsa-mir-129-2	29	3.502037	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	8	0.966079	N
hsa-mir-1292	8	0.966079	N
hsa-mir-1293	1	0.120760	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	2	0.241520	N
hsa-mir-1295b	2	0.241520	N
hsa-mir-1296	60	7.245594	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	93	11.230671	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.120760	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.362280	N
hsa-mir-1305	3	0.362280	N
hsa-mir-1306	121	14.611949	N
hsa-mir-1307	12030	1452.741697	N
hsa-mir-130a	1676	202.393606	N
hsa-mir-130b	144	17.389427	N
