miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	182997	37297.071561	N
hsa-let-7a-2	181204	36931.635793	N
hsa-let-7a-3	182294	37153.791391	N
hsa-let-7b	181528	36997.671035	N
hsa-let-7c	1398	284.929841	N
hsa-let-7d	8155	1662.090737	N
hsa-let-7e	14324	2919.409898	N
hsa-let-7f-1	106459	21697.672319	N
hsa-let-7f-2	107010	21809.972993	N
hsa-let-7g	16398	3342.116972	N
hsa-let-7i	3809	776.321719	N
hsa-mir-1-1	1	0.203812	N
hsa-mir-1-2	3	0.611437	N
hsa-mir-100	44488	9067.209406	Y
hsa-mir-101-1	42009	8561.958279	N
hsa-mir-101-2	42332	8627.789709	N
hsa-mir-103a-1	92381	18828.400290	Y
hsa-mir-103a-2	92924	18939.070464	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	913	186.080790	N
hsa-mir-105-2	903	184.042665	N
hsa-mir-106a	158	32.202371	Y
hsa-mir-106b	5966	1215.945228	N
hsa-mir-107	2213	451.037008	Y
hsa-mir-10a	9421	1920.117331	N
hsa-mir-10b	344862	70287.177892	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	178	36.278621	N
hsa-mir-1181	10	2.038125	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.203812	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	1.019062	N
hsa-mir-1225	4	0.815250	N
hsa-mir-1226	36	7.337249	N
hsa-mir-1227	1	0.203812	N
hsa-mir-1228	10	2.038125	N
hsa-mir-1229	9	1.834312	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.203812	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	7	1.426687	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	29	5.910562	N
hsa-mir-1249	37	7.541062	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	1.222875	N
hsa-mir-1254-2	3	0.611437	N
hsa-mir-1255a	3	0.611437	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.407625	N
hsa-mir-1257	4	0.815250	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	4078	831.147275	N
hsa-mir-125b-1	721	146.948795	N
hsa-mir-125b-2	692	141.038233	N
hsa-mir-126	4328	882.100394	N
hsa-mir-1260a	1	0.203812	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
