miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	78339	10837.411710	N
hsa-let-7a-2	77683	10746.660716	N
hsa-let-7a-3	78352	10839.210129	N
hsa-let-7b	143188	19808.617775	N
hsa-let-7c	1072	148.300404	N
hsa-let-7d	3552	491.383428	N
hsa-let-7e	14470	2001.778775	N
hsa-let-7f-1	29832	4126.956766	N
hsa-let-7f-2	29615	4096.937002	N
hsa-let-7g	5302	733.478304	N
hsa-let-7i	2224	307.668002	N
hsa-mir-1-1	96	13.280633	N
hsa-mir-1-2	100	13.833993	N
hsa-mir-100	5681	785.909138	Y
hsa-mir-101-1	62697	8673.498538	N
hsa-mir-101-2	63522	8787.628980	N
hsa-mir-103a-1	117039	16191.166968	Y
hsa-mir-103a-2	117612	16270.435747	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1257	173.893291	N
hsa-mir-105-2	1289	178.320169	N
hsa-mir-106a	150	20.750989	Y
hsa-mir-106b	14821	2050.336090	N
hsa-mir-107	1119	154.802381	Y
hsa-mir-10a	76755	10618.281262	N
hsa-mir-10b	382364	52896.208670	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.138340	N
hsa-mir-1180	98	13.557313	N
hsa-mir-1181	2	0.276680	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.968380	N
hsa-mir-1185-2	2	0.276680	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.138340	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	24	3.320158	N
hsa-mir-1227	1	0.138340	N
hsa-mir-1228	4	0.553360	N
hsa-mir-1229	6	0.830040	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.138340	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.968380	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	76	10.513835	N
hsa-mir-1248	5	0.691700	N
hsa-mir-1249	4	0.553360	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.138340	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.691700	N
hsa-mir-1254-2	3	0.415020	N
hsa-mir-1255a	0	0.000000	N
