miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	27587	5038.153691	N
hsa-let-7a-2	27609	5042.171503	N
hsa-let-7a-3	27481	5018.795142	N
hsa-let-7b	36204	6611.857623	N
hsa-let-7c	1895	346.079720	N
hsa-let-7d	3215	587.148444	N
hsa-let-7e	18246	3332.227217	N
hsa-let-7f-1	18129	3310.859762	N
hsa-let-7f-2	18536	3385.189286	N
hsa-let-7g	4015	733.250700	N
hsa-let-7i	1514	276.498521	N
hsa-mir-1-1	17	3.104673	N
hsa-mir-1-2	20	3.652556	N
hsa-mir-100	1655	302.249043	N
hsa-mir-101-1	24308	4439.317067	N
hsa-mir-101-2	24548	4483.147744	N
hsa-mir-103a-1	55515	10138.583469	Y
hsa-mir-103a-2	55661	10165.247131	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.547883	N
hsa-mir-105-2	3	0.547883	N
hsa-mir-106a	11	2.008906	Y
hsa-mir-106b	1498	273.576475	N
hsa-mir-107	480	87.661354	Y
hsa-mir-10a	48484	8854.527261	N
hsa-mir-10b	1755664	320633.090298	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	263	48.031117	N
hsa-mir-1180	719	131.309403	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	38	6.939857	N
hsa-mir-1185-2	25	4.565696	N
hsa-mir-1193	1	0.182628	N
hsa-mir-1197	12	2.191534	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.182628	N
hsa-mir-1224	3152	575.642891	N
hsa-mir-1225	4	0.730511	N
hsa-mir-1226	12	2.191534	N
hsa-mir-1227	1	0.182628	N
hsa-mir-1228	5	0.913139	N
hsa-mir-1229	18	3.287301	N
