miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	132288	8837.722688	N
hsa-let-7a-2	131946	8814.874802	Y
hsa-let-7a-3	132482	8850.683185	N
hsa-let-7b	101988	6813.480146	N
hsa-let-7c	45202	3019.795756	Y
hsa-let-7d	3957	264.354051	N
hsa-let-7e	10340	690.781118	N
hsa-let-7f-1	76489	5109.976496	N
hsa-let-7f-2	77538	5180.056708	N
hsa-let-7g	9181	613.352171	N
hsa-let-7i	3152	210.574670	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	7	0.467647	N
hsa-mir-100	10306	688.509691	N
hsa-mir-101-1	106226	7096.606875	N
hsa-mir-101-2	108565	7252.867710	N
hsa-mir-103a-1	73775	4928.663154	Y
hsa-mir-103a-2	73846	4933.406429	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	157	10.488649	Y
hsa-mir-106b	3920	261.882204	N
hsa-mir-107	592	39.549557	Y
hsa-mir-10a	1203286	80387.548249	N
hsa-mir-10b	255110	17043.053301	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	520	34.739476	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	0.467647	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.200420	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.066807	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	1	0.066807	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1	0.066807	N
hsa-mir-1248	1	0.066807	N
hsa-mir-1249	4	0.267227	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	7	0.467647	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.066807	N
hsa-mir-1254-2	1	0.066807	N
hsa-mir-1255a	1	0.066807	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.066807	N
hsa-mir-1257	1	0.066807	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	9523	636.200057	N
hsa-mir-125b-1	4278	285.798997	N
hsa-mir-125b-2	4735	316.329651	N
hsa-mir-126	3077	205.564168	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.066807	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.066807	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.334033	N
hsa-mir-1267	0	0.000000	N
