miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	25666	12074.151643	N
hsa-let-7a-2	25852	12161.652314	N
hsa-let-7a-3	26118	12286.787681	N
hsa-let-7b	17086	8037.830397	N
hsa-let-7c	3364	1582.539006	N
hsa-let-7d	1919	902.762293	N
hsa-let-7e	1463	688.244520	N
hsa-let-7f-1	22904	10774.813732	N
hsa-let-7f-2	23078	10856.669198	N
hsa-let-7g	3651	1717.553481	N
hsa-let-7i	1766	830.785935	N
hsa-mir-1-1	121	56.922479	N
hsa-mir-1-2	135	63.508551	N
hsa-mir-100	1865	877.358872	N
hsa-mir-101-1	10665	5017.175535	N
hsa-mir-101-2	10670	5019.527703	N
hsa-mir-103a-1	49964	23504.749969	Y
hsa-mir-103a-2	49468	23271.414848	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	91	42.809468	Y
hsa-mir-106b	2609	1227.361554	N
hsa-mir-107	377	177.353509	Y
hsa-mir-10a	23197	10912.650809	N
hsa-mir-10b	40664	19129.716451	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	114	53.629443	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.940867	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	1	0.470434	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.470434	N
hsa-mir-1225	1	0.470434	N
hsa-mir-1226	1	0.470434	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.940867	N
hsa-mir-1229	6	2.822602	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.470434	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.470434	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.470434	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.470434	N
hsa-mir-1247	6	2.822602	N
hsa-mir-1248	6	2.822602	N
hsa-mir-1249	2	0.940867	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.470434	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	2.352169	N
hsa-mir-1254-2	3	1.411301	N
hsa-mir-1255a	2	0.940867	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.470434	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	326	153.361390	N
hsa-mir-125b-1	289	135.955343	N
hsa-mir-125b-2	342	160.888329	N
hsa-mir-126	7551	3552.244957	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
