miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	126944	5421.842949	N
hsa-let-7a-2	127531	5446.914018	Y
hsa-let-7a-3	127482	5444.821203	N
hsa-let-7b	255991	10933.506100	N
hsa-let-7c	119104	5086.992553	Y
hsa-let-7d	4211	179.853957	N
hsa-let-7e	10790	460.846400	N
hsa-let-7f-1	32126	1372.117836	N
hsa-let-7f-2	32297	1379.421333	N
hsa-let-7g	6587	281.334128	N
hsa-let-7i	5631	240.502880	N
hsa-mir-1-1	1610	68.763921	N
hsa-mir-1-2	1606	68.593079	N
hsa-mir-100	233843	9987.553730	Y
hsa-mir-101-1	169501	7239.474112	N
hsa-mir-101-2	169125	7223.414961	N
hsa-mir-103a-1	65261	2787.330576	Y
hsa-mir-103a-2	65422	2794.206969	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	15	0.640658	N
hsa-mir-105-2	15	0.640658	N
hsa-mir-106a	44	1.879262	Y
hsa-mir-106b	5475	233.840041	N
hsa-mir-107	697	29.769225	Y
hsa-mir-10a	207554	8864.737140	N
hsa-mir-10b	5301143	226414.519762	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.341684	N
hsa-mir-1180	134	5.723208	N
hsa-mir-1181	3	0.128132	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	0.469816	N
hsa-mir-1185-2	3	0.128132	N
hsa-mir-1193	1	0.042711	N
hsa-mir-1197	3	0.128132	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.042711	N
