miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	33377	3867.184454	N
hsa-let-7a-2	33192	3845.749660	Y
hsa-let-7a-3	33596	3892.558616	N
hsa-let-7b	54865	6356.864759	N
hsa-let-7c	5132	594.612776	Y
hsa-let-7d	2731	316.423907	N
hsa-let-7e	11225	1300.570617	N
hsa-let-7f-1	10874	1259.902440	N
hsa-let-7f-2	11142	1290.953926	N
hsa-let-7g	1978	229.178502	N
hsa-let-7i	5898	683.364410	N
hsa-mir-1-1	1801	208.670618	N
hsa-mir-1-2	2031	235.319281	N
hsa-mir-100	35980	4168.777801	Y
hsa-mir-101-1	27095	3139.328363	N
hsa-mir-101-2	27079	3137.474543	N
hsa-mir-103a-1	90298	10462.265088	Y
hsa-mir-103a-2	90308	10463.423725	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	892	103.350467	N
hsa-mir-105-2	888	102.887012	N
hsa-mir-106a	18	2.085548	Y
hsa-mir-106b	5287	612.571657	N
hsa-mir-107	428	49.589686	Y
hsa-mir-10a	42323	4903.701580	N
hsa-mir-10b	107391	12442.724202	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.115864	N
hsa-mir-1180	249	28.850074	N
hsa-mir-1181	5	0.579319	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.347591	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.463455	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	1.390365	N
hsa-mir-1227	1	0.115864	N
hsa-mir-1228	9	1.042774	N
hsa-mir-1229	3	0.347591	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.115864	N
hsa-mir-1236	3	0.347591	N
hsa-mir-1237	1	0.115864	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.115864	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
