miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	48026	17122.050853	N
hsa-let-7a-2	47833	17053.243211	Y
hsa-let-7a-3	48183	17178.023909	N
hsa-let-7b	78786	28088.491619	N
hsa-let-7c	6394	2279.565093	Y
hsa-let-7d	4991	1779.372752	N
hsa-let-7e	6717	2394.719851	N
hsa-let-7f-1	18257	6508.917720	N
hsa-let-7f-2	18816	6708.210320	N
hsa-let-7g	3789	1350.840184	N
hsa-let-7i	2861	1019.993076	N
hsa-mir-1-1	9	3.208647	N
hsa-mir-1-2	14	4.991228	N
hsa-mir-100	12841	4578.025549	Y
hsa-mir-101-1	6529	2327.694791	N
hsa-mir-101-2	6565	2340.529377	N
hsa-mir-103a-1	41026	14626.436894	Y
hsa-mir-103a-2	41606	14833.216337	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	867	309.099615	N
hsa-mir-105-2	828	295.195480	N
hsa-mir-106a	45	16.043233	Y
hsa-mir-106b	4503	1605.392808	N
hsa-mir-107	781	278.439215	Y
hsa-mir-10a	74594	26593.975374	N
hsa-mir-10b	167545	59732.520096	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	331	118.006889	N
hsa-mir-1181	6	2.139098	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	1.782581	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.356516	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	8	2.852130	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	3.208647	N
hsa-mir-1227	1	0.356516	N
hsa-mir-1228	6	2.139098	N
hsa-mir-1229	1	0.356516	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.356516	N
hsa-mir-1237	4	1.426065	N
hsa-mir-1238	1	0.356516	N
hsa-mir-124-1	3	1.069549	N
hsa-mir-124-2	5	1.782581	N
hsa-mir-124-3	8	2.852130	N
hsa-mir-1243	4	1.426065	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.713033	N
hsa-mir-1247	38	13.547619	N
hsa-mir-1248	18	6.417293	N
hsa-mir-1249	68	24.243107	N
hsa-mir-1250	4	1.426065	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	1.069549	N
hsa-mir-1254-2	3	1.069549	N
hsa-mir-1255a	8	2.852130	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	2	0.713033	N
hsa-mir-1258	1	0.356516	N
hsa-mir-125a	2309	823.196090	N
hsa-mir-125b-1	625	222.822675	N
hsa-mir-125b-2	728	259.543852	N
hsa-mir-126	8798	3136.630230	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	4.991228	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	3.208647	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	535	190.736210	N
hsa-mir-1269b	492	175.406010	N
hsa-mir-127	5055	1802.189794	N
hsa-mir-1270	38	13.547619	N
hsa-mir-1271	87	31.016916	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	31	11.052005	N
hsa-mir-1276	15	5.347744	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1192	424.967405	N
hsa-mir-128-2	915	326.212396	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	1.069549	N
hsa-mir-1283-2	3	1.069549	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	78	27.808270	N
hsa-mir-1288	3	1.069549	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	121	43.138470	N
hsa-mir-129-2	114	40.642856	N
hsa-mir-1290	2	0.713033	N
hsa-mir-1291	5	1.782581	N
hsa-mir-1292	4	1.426065	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	3	1.069549	N
hsa-mir-1295a	326	116.224307	N
hsa-mir-1295b	2	0.713033	N
hsa-mir-1296	89	31.729949	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	308	109.807014	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.356516	N
hsa-mir-1304	15	5.347744	N
hsa-mir-1305	5	1.782581	N
hsa-mir-1306	96	34.225563	N
hsa-mir-1307	4205	1499.150956	N
hsa-mir-130a	386	137.615284	N
hsa-mir-130b	530	188.953628	N
hsa-mir-132	1493	532.278806	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	19	6.773809	Y
hsa-mir-133a-2	17	6.060777	Y
hsa-mir-133b	5	1.782581	Y
hsa-mir-134	3665	1306.632165	N
hsa-mir-1343	15	5.347744	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	2	0.713033	N
hsa-mir-135b	23	8.199874	N
hsa-mir-136	58	20.677944	N
hsa-mir-137	4	1.426065	N
hsa-mir-138-1	27	9.625940	N
hsa-mir-138-2	9	3.208647	N
hsa-mir-139	225	80.216163	N
hsa-mir-140	7284	2596.864582	N
hsa-mir-141	165	58.825186	N
hsa-mir-142	1237	441.010638	N
hsa-mir-143	421184	150158.952783	N
hsa-mir-144	419	149.380321	N
hsa-mir-145	2684	956.889695	N
hsa-mir-1468	36	12.834586	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	8390	2991.171587	N
hsa-mir-146b	1361	485.218657	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.356516	N
hsa-mir-148a	199515	71130.345561	N
hsa-mir-148b	741	264.178563	N
hsa-mir-149	113	40.286340	N
hsa-mir-150	1538	548.322038	N
hsa-mir-151a	12482	4450.036204	N
hsa-mir-151b	7	2.495614	N
hsa-mir-152	3536	1260.641565	N
hsa-mir-153-1	0	0.000000	N
