miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	123281	12521.597498	N
hsa-let-7a-2	122885	12481.375951	Y
hsa-let-7a-3	123851	12579.492150	N
hsa-let-7b	212921	21626.293273	N
hsa-let-7c	46528	4725.828704	Y
hsa-let-7d	15833	1608.150917	N
hsa-let-7e	28111	2855.222032	N
hsa-let-7f-1	46472	4720.140808	N
hsa-let-7f-2	46701	4743.400238	N
hsa-let-7g	8099	822.611904	N
hsa-let-7i	6036	613.073892	N
hsa-mir-1-1	25	2.539239	N
hsa-mir-1-2	20	2.031391	N
hsa-mir-100	61164	6212.400852	Y
hsa-mir-101-1	46000	4672.199973	N
hsa-mir-101-2	46407	4713.538786	N
hsa-mir-103a-1	44677	4537.823439	Y
hsa-mir-103a-2	44956	4566.161348	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	39	3.961213	N
hsa-mir-105-2	22	2.234530	N
hsa-mir-106a	119	12.086778	Y
hsa-mir-106b	9688	984.005942	N
hsa-mir-107	752	76.380313	Y
hsa-mir-10a	1380120	140178.187550	N
hsa-mir-10b	899084	91319.570454	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.101570	N
hsa-mir-1180	303	30.775578	N
hsa-mir-1181	5	0.507848	N
hsa-mir-1182	2	0.203139	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.101570	N
hsa-mir-1185-2	1	0.101570	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	1	0.101570	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.203139	N
hsa-mir-1224	3	0.304709	N
hsa-mir-1225	1	0.101570	N
hsa-mir-1226	15	1.523543	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	1.218835	N
hsa-mir-1229	3	0.304709	N
hsa-mir-1231	1	0.101570	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.101570	N
hsa-mir-1238	1	0.101570	N
hsa-mir-124-1	1	0.101570	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	2	0.203139	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.304709	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	183	18.587230	N
hsa-mir-1248	21	2.132961	N
hsa-mir-1249	4	0.406278	N
hsa-mir-1250	6	0.609417	N
hsa-mir-1251	89	9.039691	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.203139	N
hsa-mir-1254-2	5	0.507848	N
hsa-mir-1255a	18	1.828252	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	6	0.609417	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	21122	2145.352344	N
hsa-mir-125b-1	13387	1359.711762	N
hsa-mir-125b-2	13926	1414.457757	N
hsa-mir-126	20963	2129.202784	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	5	0.507848	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	36	3.656504	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	144	14.626017	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	52813	5364.193417	N
hsa-mir-1269b	1196	121.477199	N
hsa-mir-127	2263	229.851925	N
hsa-mir-1270	5	0.507848	N
hsa-mir-1271	46	4.672200	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.304709	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	63	6.398883	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2847	289.168551	N
hsa-mir-128-2	2057	208.928594	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	7	0.710987	N
hsa-mir-1285-1	1	0.101570	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.203139	N
hsa-mir-1287	535	54.339717	N
hsa-mir-1288	3	0.304709	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	16	1.625113	N
hsa-mir-129-2	13	1.320404	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	9	0.914126	N
hsa-mir-1292	4	0.406278	N
hsa-mir-1293	3	0.304709	N
hsa-mir-1294	3	0.304709	N
hsa-mir-1295a	9	0.914126	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	105	10.664804	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	411	41.745091	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	4	0.406278	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	587	59.621334	N
hsa-mir-1307	24829	2521.870720	N
hsa-mir-130a	3173	322.280229	N
hsa-mir-130b	1489	151.237082	N
hsa-mir-132	524	53.222452	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	2	0.203139	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	24	2.437670	Y
hsa-mir-133a-2	24	2.437670	Y
hsa-mir-133b	12	1.218835	Y
