miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	161923	24721.642395	N
hsa-let-7a-2	162313	24781.185762	N
hsa-let-7a-3	161698	24687.290453	N
hsa-let-7b	493792	75389.841108	N
hsa-let-7c	55829	8523.709252	N
hsa-let-7d	35503	5420.431131	N
hsa-let-7e	22453	3428.018482	N
hsa-let-7f-1	5347	816.354822	N
hsa-let-7f-2	5378	821.087757	N
hsa-let-7g	904	138.018470	N
hsa-let-7i	1113	169.927607	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	6523	995.900974	N
hsa-mir-101-1	103	15.725556	N
hsa-mir-101-2	126	19.237088	N
hsa-mir-103a-1	73294	11190.183345	Y
hsa-mir-103a-2	73814	11269.574500	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	0.610701	N
hsa-mir-105-2	7	1.068727	N
hsa-mir-106a	106	16.183582	Y
hsa-mir-106b	4444	678.489028	N
hsa-mir-107	239	36.489396	Y
hsa-mir-10a	78715	12017.836139	N
hsa-mir-10b	567134	86587.352867	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	1082	165.194673	N
hsa-mir-1181	2	0.305351	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.152675	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	1	0.152675	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	10	1.526753	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	49	7.481090	N
hsa-mir-1227	2	0.305351	N
hsa-mir-1228	18	2.748155	N
hsa-mir-1229	6	0.916052	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	8	1.221402	N
hsa-mir-1236	1	0.152675	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.152675	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.610701	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	100	15.267530	N
hsa-mir-1248	30	4.580259	N
hsa-mir-1249	29	4.427584	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.305351	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	33	5.038285	N
hsa-mir-1254-2	54	8.244466	N
hsa-mir-1255a	1	0.152675	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	16	2.442805	N
hsa-mir-125a	28014	4277.045818	N
hsa-mir-125b-1	3615	551.921205	N
hsa-mir-125b-2	3807	581.234862	N
hsa-mir-126	408	62.291522	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.305351	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	1.526753	N
hsa-mir-1263	1	0.152675	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	353	53.894380	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	8091	1235.295842	N
hsa-mir-1269b	2	0.305351	N
hsa-mir-127	6638	1013.458633	N
hsa-mir-1270	20	3.053506	N
hsa-mir-1271	24	3.664207	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.458026	N
hsa-mir-1276	6	0.916052	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	815	124.430368	N
hsa-mir-128-2	412	62.902223	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	2	0.305351	N
hsa-mir-1284	1	0.152675	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	276	42.138382	N
hsa-mir-1288	5	0.763376	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	147	22.443269	N
hsa-mir-129-2	169	25.802125	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	39	5.954337	N
hsa-mir-1293	3	0.458026	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	19	2.900831	N
hsa-mir-1295b	1	0.152675	N
hsa-mir-1296	273	41.680357	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	408	62.291522	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
