miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	53451	10246.935993	N
hsa-let-7a-2	53423	10241.568195	N
hsa-let-7a-3	53967	10345.856855	N
hsa-let-7b	80545	15441.048055	N
hsa-let-7c	12478	2392.121145	N
hsa-let-7d	4143	794.242499	N
hsa-let-7e	6067	1163.086952	N
hsa-let-7f-1	20223	3876.892604	N
hsa-let-7f-2	20375	3906.032083	N
hsa-let-7g	2888	553.650094	N
hsa-let-7i	4844	928.629173	N
hsa-mir-1-1	4	0.766828	N
hsa-mir-1-2	8	1.533657	N
hsa-mir-100	50841	9746.580473	N
hsa-mir-101-1	26049	4993.778146	N
hsa-mir-101-2	26041	4992.244489	N
hsa-mir-103a-1	63193	12114.546524	Y
hsa-mir-103a-2	63898	12249.700026	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2929	561.510084	N
hsa-mir-105-2	2909	557.675943	N
hsa-mir-106a	51	9.777062	Y
hsa-mir-106b	2580	494.604308	N
hsa-mir-107	439	84.159415	Y
hsa-mir-10a	212335	40706.126249	N
hsa-mir-10b	35812	6865.414525	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.191707	N
hsa-mir-1180	79	15.144861	N
hsa-mir-1181	1	0.191707	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.191707	N
hsa-mir-1185-2	1	0.191707	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.766828	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.575121	N
hsa-mir-1224	19	3.642435	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	2.108778	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.533657	N
hsa-mir-1229	7	1.341950	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.383414	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.191707	N
hsa-mir-124-3	1	0.191707	N
hsa-mir-1243	1	0.191707	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	1.341950	N
hsa-mir-1245b	1	0.191707	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	332	63.646756	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	15	2.875606	N
hsa-mir-1250	1	0.191707	N
hsa-mir-1251	15	2.875606	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.575121	N
hsa-mir-1254-2	6	1.150243	N
hsa-mir-1255a	2	0.383414	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	1.341950	N
hsa-mir-125a	4146	794.817620	N
hsa-mir-125b-1	2517	482.526761	N
hsa-mir-125b-2	2772	531.412070	N
hsa-mir-126	10615	2034.970825	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.383414	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	30	5.751213	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	501	96.045255	N
hsa-mir-1269b	2	0.383414	N
hsa-mir-127	9704	1860.325661	N
hsa-mir-1270	1	0.191707	N
hsa-mir-1271	29	5.559506	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.191707	N
hsa-mir-1275	1	0.191707	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	4	0.766828	N
hsa-mir-1278	1	0.191707	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	823	157.774940	N
hsa-mir-128-2	618	118.474985	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	176	33.740449	N
hsa-mir-1288	3	0.575121	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	14	2.683899	N
hsa-mir-129-2	13	2.492192	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.191707	N
hsa-mir-1292	2	0.383414	N
hsa-mir-1293	16	3.067314	N
hsa-mir-1294	2	0.383414	N
hsa-mir-1295a	7	1.341950	N
hsa-mir-1295b	3	0.575121	N
hsa-mir-1296	34	6.518041	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.383414	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	159	30.481428	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.575121	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	88	16.870224	N
hsa-mir-1307	6596	1264.500006	N
hsa-mir-130a	511	97.962326	N
hsa-mir-130b	281	53.869694	N
hsa-mir-132	910	174.453457	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	9	1.725364	Y
hsa-mir-133a-2	7	1.341950	N
hsa-mir-133b	2	0.383414	Y
hsa-mir-134	2757	528.536464	N
hsa-mir-1343	15	2.875606	N
hsa-mir-135a-1	3	0.575121	N
hsa-mir-135a-2	4	0.766828	N
hsa-mir-135b	92	17.637053	N
hsa-mir-136	285	54.636522	N
hsa-mir-137	1	0.191707	N
hsa-mir-138-1	27	5.176092	N
hsa-mir-138-2	13	2.492192	N
hsa-mir-139	136	26.072165	N
hsa-mir-140	6407	1228.267365	N
hsa-mir-141	10613	2034.587411	N
hsa-mir-142	31957	6126.383670	N
hsa-mir-143	215074	41231.211986	N
hsa-mir-144	115	22.046316	N
hsa-mir-145	6765	1296.898505	N
hsa-mir-1468	19	3.642435	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	869	166.593467	N
hsa-mir-146b	11536	2211.533061	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	14	2.683899	N
hsa-mir-148a	266792	51145.919582	N
hsa-mir-148b	937	179.629549	N
hsa-mir-149	284	54.444815	N
hsa-mir-150	12097	2319.080741	N
hsa-mir-151a	11821	2266.169583	N
hsa-mir-151b	6	1.150243	N
hsa-mir-152	2126	407.569286	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	60	11.502426	N
hsa-mir-1537	1	0.191707	N
hsa-mir-1538	4	0.766828	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	60	11.502426	N
hsa-mir-155	4043	775.071790	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	665	127.485219	N
hsa-mir-15b	1249	239.442163	N
hsa-mir-16-1	1108	212.411462	N
hsa-mir-16-2	1160	222.380231	N
hsa-mir-17	5142	985.757888	Y
hsa-mir-181a-1	10886	2086.923448	N
hsa-mir-181a-2	18006	3451.877972	N
hsa-mir-181b-1	1386	265.706035	N
hsa-mir-181b-2	1366	261.871893	N
hsa-mir-181c	925	177.329064	N
hsa-mir-181d	133	25.497044	N
hsa-mir-182	59553	11416.732694	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	39823	7634.351688	N
hsa-mir-184	4	0.766828	N
hsa-mir-185	519	99.495983	N
hsa-mir-186	1226	235.032900	N
hsa-mir-187	11	2.108778	N
hsa-mir-188	17	3.259021	N
hsa-mir-18a	72	13.802911	Y
hsa-mir-18b	3	0.575121	Y
hsa-mir-1908	1	0.191707	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	9	1.725364	N
hsa-mir-190b	1	0.191707	N
hsa-mir-191	2847	545.790103	N
hsa-mir-1910	4	0.766828	N
hsa-mir-1911	117	22.429730	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2394	458.946788	Y
hsa-mir-193a	1731	331.844983	N
hsa-mir-193b	429	82.242344	N
hsa-mir-194-1	414	79.366738	N
hsa-mir-194-2	481	92.211113	N
hsa-mir-195	190	36.424348	N
hsa-mir-196a-1	85	16.295103	N
hsa-mir-196a-2	69	13.227790	N
hsa-mir-196b	1223	234.457779	N
hsa-mir-197	1869	358.300563	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	98	18.787295	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	19756	3787.365390	Y
hsa-mir-199a-2	29835	5719.581212	Y
hsa-mir-199b	34172	6551.014888	Y
hsa-mir-19a	103	19.745831	N
hsa-mir-19b-1	292	55.978472	N
hsa-mir-19b-2	227	43.517511	N
hsa-mir-200a	9574	1835.403738	N
hsa-mir-200b	6019	1153.885011	N
hsa-mir-200c	68513	13134.428275	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	70180	13454.004004	N
hsa-mir-203b	768	147.231050	N
hsa-mir-204	935	179.246135	N
hsa-mir-205	7211	1382.399870	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1968	377.279565	N
hsa-mir-20b	131	25.113630	N
hsa-mir-21	2170124	416028.170208	N
hsa-mir-210	24845	4762.962802	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	13	2.492192	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	6	1.150243	N
