miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	76382	11516.548612	N
hsa-let-7a-2	77312	11656.770002	N
hsa-let-7a-3	76811	11581.231382	N
hsa-let-7b	31982	4822.108058	N
hsa-let-7c	1495	225.409654	N
hsa-let-7d	2425	365.631044	N
hsa-let-7e	65946	9943.053530	N
hsa-let-7f-1	42652	6430.884651	N
hsa-let-7f-2	43646	6580.755685	N
hsa-let-7g	5345	805.896053	N
hsa-let-7i	1576	237.622485	N
hsa-mir-1-1	7	1.055430	N
hsa-mir-1-2	7	1.055430	N
hsa-mir-100	3969	598.428706	N
hsa-mir-101-1	82513	12440.954356	N
hsa-mir-101-2	83943	12656.563590	N
hsa-mir-103a-1	154448	23287.003482	Y
hsa-mir-103a-2	155321	23418.630658	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.150776	N
hsa-mir-105-2	1	0.150776	N
hsa-mir-106a	22	3.317065	Y
hsa-mir-106b	2050	309.090161	N
hsa-mir-107	1876	282.855191	Y
hsa-mir-10a	56334	8493.797616	N
hsa-mir-10b	1881736	283720.040305	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	264	39.804782	N
hsa-mir-1180	767	115.644953	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	28	4.221719	N
hsa-mir-1185-2	9	1.356981	N
hsa-mir-1193	3	0.452327	N
hsa-mir-1197	12	1.809308	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.150776	N
hsa-mir-1224	6095	918.977819	N
hsa-mir-1225	2	0.301551	N
hsa-mir-1226	9	1.356981	N
hsa-mir-1227	1	0.150776	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	26	3.920168	N
hsa-mir-1231	1	0.150776	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.150776	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	7	1.055430	N
hsa-mir-124-2	13	1.960084	N
hsa-mir-124-3	9	1.356981	N
hsa-mir-1243	2	0.301551	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2	0.301551	N
hsa-mir-1248	11	1.658533	N
hsa-mir-1249	10	1.507757	N
hsa-mir-1250	4	0.603103	N
hsa-mir-1251	47	7.086457	N
hsa-mir-1252	1	0.150776	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	1.206206	N
hsa-mir-1254-2	9	1.356981	N
hsa-mir-1255a	1	0.150776	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	31628	4768.733465	N
hsa-mir-125b-1	7518	1133.531623	N
hsa-mir-125b-2	7445	1122.524998	N
hsa-mir-126	6043	911.137483	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.150776	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.301551	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.150776	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	130412	19662.959042	N
hsa-mir-1270	14	2.110860	N
hsa-mir-1271	9	1.356981	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.301551	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	12	1.809308	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2256	340.149952	N
hsa-mir-128-2	1732	261.143492	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	48	7.237233	N
hsa-mir-1288	1	0.150776	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4733	713.621332	N
hsa-mir-129-2	5122	772.273075	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	14	2.110860	N
hsa-mir-1292	9	1.356981	N
hsa-mir-1293	1	0.150776	N
hsa-mir-1294	1	0.150776	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	49	7.388009	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.150776	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	306	46.137361	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	8	1.206206	N
hsa-mir-1306	30	4.523271	N
hsa-mir-1307	12565	1894.496522	N
hsa-mir-130a	340	51.263734	N
hsa-mir-130b	87	13.117485	N
hsa-mir-132	4203	633.710217	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	3	0.452327	N
hsa-mir-133a-2	2	0.301551	N
hsa-mir-133b	1	0.150776	N
hsa-mir-134	13922	2099.099130	N
hsa-mir-1343	3	0.452327	N
hsa-mir-135a-1	133	20.053167	N
hsa-mir-135a-2	122	18.394634	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	10856	1636.820870	N
hsa-mir-137	7856	1184.493806	N
hsa-mir-138-1	684	103.130571	N
hsa-mir-138-2	441	66.492078	N
hsa-mir-139	370	55.787005	N
hsa-mir-140	18733	2824.480966	N
hsa-mir-141	18	2.713962	N
hsa-mir-142	362	54.580799	N
hsa-mir-143	72677	10957.924687	N
hsa-mir-144	1539	232.043784	N
hsa-mir-145	1447	218.172421	N
hsa-mir-1468	280	42.217193	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	22	3.317065	N
hsa-mir-146b	957	144.292334	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	48423	7301.011147	N
hsa-mir-148b	1427	215.156907	N
hsa-mir-149	841	126.802354	N
hsa-mir-150	80	12.062055	N
hsa-mir-151a	7095	1069.753507	N
hsa-mir-151b	13	1.960084	N
hsa-mir-152	1324	199.627011	N
hsa-mir-153-1	229	34.527633	N
hsa-mir-153-2	3499	527.564133	N
hsa-mir-1537	2	0.301551	N
hsa-mir-1538	1	0.150776	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	1205	181.684704	N
hsa-mir-155	43	6.483355	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2156	325.072384	N
hsa-mir-15b	1003	151.228015	N
hsa-mir-16-1	2143	323.112300	N
hsa-mir-16-2	2129	321.001440	N
hsa-mir-17	4452	671.253364	Y
hsa-mir-181a-1	2653	400.007901	N
hsa-mir-181a-2	4519	681.355335	N
hsa-mir-181b-1	776	117.001934	N
