miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	63305	13386.214219	N
hsa-let-7a-2	62681	13254.265752	N
hsa-let-7a-3	63213	13366.760278	N
hsa-let-7b	173572	36702.819278	N
hsa-let-7c	1559	329.659710	N
hsa-let-7d	1636	345.941813	N
hsa-let-7e	4321	913.700839	N
hsa-let-7f-1	20206	4272.677427	N
hsa-let-7f-2	20120	4254.492221	N
hsa-let-7g	1950	412.338958	N
hsa-let-7i	2041	431.581443	N
hsa-mir-1-1	129	27.277808	N
hsa-mir-1-2	130	27.489264	N
hsa-mir-100	2222	469.854956	N
hsa-mir-101-1	12755	2697.119696	N
hsa-mir-101-2	12956	2739.622327	N
hsa-mir-103a-1	45860	9697.366465	Y
hsa-mir-103a-2	45049	9525.875750	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.211456	N
hsa-mir-105-2	2	0.422912	N
hsa-mir-106a	58	12.264441	Y
hsa-mir-106b	2980	630.138510	N
hsa-mir-107	381	80.564689	Y
hsa-mir-10a	9162	1937.358734	N
hsa-mir-10b	123154	26041.636931	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.422912	N
hsa-mir-1180	43	9.092603	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	2	0.422912	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.634368	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.211456	N
hsa-mir-1226	1	0.211456	N
hsa-mir-1227	1	0.211456	N
hsa-mir-1228	6	1.268735	N
hsa-mir-1229	2	0.422912	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.211456	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	20	4.229118	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	5	1.057279	N
hsa-mir-1247	267	56.458719	N
hsa-mir-1248	87	18.396661	N
hsa-mir-1249	9	1.903103	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.845824	N
hsa-mir-1254-2	2	0.422912	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.211456	N
hsa-mir-125a	1215	256.918889	N
hsa-mir-125b-1	222	46.943204	N
hsa-mir-125b-2	228	48.211940	N
hsa-mir-126	10267	2171.017477	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	2.114559	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	1.268735	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1617	341.924151	N
hsa-mir-1270	5	1.057279	N
hsa-mir-1271	29	6.132220	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.211456	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.422912	N
hsa-mir-1277	9	1.903103	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	199	42.079719	N
hsa-mir-128-2	141	29.815278	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.211456	N
hsa-mir-1285-1	1	0.211456	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	44	9.304059	N
hsa-mir-1288	1	0.211456	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	5	1.057279	N
hsa-mir-129-2	13	2.748926	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.634368	N
hsa-mir-1292	4	0.845824	N
hsa-mir-1293	299	63.225307	N
hsa-mir-1294	1	0.211456	N
hsa-mir-1295a	2	0.422912	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	10	2.114559	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	52	10.995706	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	249	52.652513	N
hsa-mir-1305	7	1.480191	N
hsa-mir-1306	41	8.669691	N
hsa-mir-1307	7931	1677.056551	N
hsa-mir-130a	196	41.445352	N
hsa-mir-130b	130	27.489264	N
hsa-mir-132	558	117.992379	N
