miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	62958	12150.720816	N
hsa-let-7a-2	62022	11970.075391	Y
hsa-let-7a-3	62809	12121.964226	N
hsa-let-7b	93068	17961.867989	N
hsa-let-7c	30423	5871.555313	Y
hsa-let-7d	4650	897.437209	N
hsa-let-7e	5463	1054.343972	N
hsa-let-7f-1	32424	6257.742808	N
hsa-let-7f-2	32844	6338.801653	N
hsa-let-7g	2263	436.752775	N
hsa-let-7i	2669	515.109658	N
hsa-mir-1-1	4	0.771989	N
hsa-mir-1-2	4	0.771989	N
hsa-mir-100	6493	1253.131139	N
hsa-mir-101-1	21570	4162.950665	N
hsa-mir-101-2	21674	4183.022379	N
hsa-mir-103a-1	107063	20662.864492	Y
hsa-mir-103a-2	107387	20725.395601	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	26	5.017928	N
hsa-mir-105-2	23	4.438937	N
hsa-mir-106a	30	5.789917	Y
hsa-mir-106b	5496	1060.712882	N
hsa-mir-107	620	119.658295	Y
hsa-mir-10a	43452	8386.116473	N
hsa-mir-10b	101974	19680.701491	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	134	25.861631	N
hsa-mir-1181	2	0.385994	N
hsa-mir-1182	1	0.192997	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.192997	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	16	3.087956	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.157983	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	1.157983	N
hsa-mir-1229	1	0.192997	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.192997	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	15	2.894959	N
hsa-mir-1245b	0	0.000000	N
