miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	154949	25145.090298	N
hsa-let-7a-2	154934	25142.656101	Y
hsa-let-7a-3	155351	25210.326771	N
hsa-let-7b	504363	81847.918851	N
hsa-let-7c	104787	17004.811758	Y
hsa-let-7d	48095	7804.846226	N
hsa-let-7e	39369	6388.792828	N
hsa-let-7f-1	8094	1313.492574	N
hsa-let-7f-2	8218	1333.615267	N
hsa-let-7g	1384	224.595221	N
hsa-let-7i	2108	342.085785	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	13254	2150.856261	Y
hsa-mir-101-1	402	65.236473	N
hsa-mir-101-2	425	68.968908	N
hsa-mir-103a-1	49437	8022.625697	Y
hsa-mir-103a-2	49486	8030.577406	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.486839	N
hsa-mir-105-2	4	0.649119	N
hsa-mir-106a	33	5.355233	Y
hsa-mir-106b	10840	1759.112862	N
hsa-mir-107	479	77.732017	Y
hsa-mir-10a	173395	28138.503199	N
hsa-mir-10b	382526	62076.236771	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	727	117.977403	N
hsa-mir-1181	4	0.649119	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.811399	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	58	9.412227	N
hsa-mir-1225	2	0.324560	N
hsa-mir-1226	96	15.578859	N
hsa-mir-1227	4	0.649119	N
hsa-mir-1228	25	4.056995	N
hsa-mir-1229	12	1.947357	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.162280	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.162280	N
hsa-mir-1238	1	0.162280	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.162280	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	118	19.149015	N
hsa-mir-1248	43	6.978031	N
hsa-mir-1249	25	4.056995	N
hsa-mir-1250	0	0.000000	N
