miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	84903	11258.442539	N
hsa-let-7a-2	85086	11282.708996	N
hsa-let-7a-3	85369	11320.235812	N
hsa-let-7b	90991	12065.733190	N
hsa-let-7c	20450	2711.743400	N
hsa-let-7d	3328	441.304745	N
hsa-let-7e	11898	1577.717505	N
hsa-let-7f-1	41975	5566.035659	N
hsa-let-7f-2	42882	5686.307115	N
hsa-let-7g	5178	686.621385	N
hsa-let-7i	3360	445.548060	N
hsa-mir-1-1	656	86.987955	N
hsa-mir-1-2	652	86.457540	N
hsa-mir-100	40488	5368.854122	Y
hsa-mir-101-1	23182	3074.016406	N
hsa-mir-101-2	23549	3122.681924	N
hsa-mir-103a-1	48949	6490.813091	Y
hsa-mir-103a-2	49129	6514.681737	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.265207	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	43	5.701954	Y
hsa-mir-106b	3035	402.451893	N
hsa-mir-107	432	57.284751	Y
hsa-mir-10a	451520	59873.172623	N
hsa-mir-10b	395435	52436.100319	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	46	6.099765	N
hsa-mir-1181	3	0.397811	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.265207	N
hsa-mir-1185-2	2	0.265207	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.265207	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.397811	N
hsa-mir-1224	2	0.265207	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	1.591243	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	1.193432	N
hsa-mir-1229	2	0.265207	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.132604	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.132604	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	16	2.121657	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2306	305.783877	N
hsa-mir-1248	18	2.386865	N
hsa-mir-1249	4	0.530414	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.397811	N
hsa-mir-1254-2	2	0.265207	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	17	2.254261	N
hsa-mir-125a	3016	399.932425	N
hsa-mir-125b-1	2486	329.652523	N
hsa-mir-125b-2	2596	344.238918	N
hsa-mir-126	7359	975.829813	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.795622	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	35	4.641126	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	231	30.631429	N
hsa-mir-1269b	25	3.315090	N
hsa-mir-127	9448	1252.838711	N
hsa-mir-1270	11	1.458639	N
hsa-mir-1271	6	0.795622	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	6	0.795622	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	4	0.530414	N
