miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	66636	9462.683562	N
hsa-let-7a-2	66010	9373.788071	N
hsa-let-7a-3	67179	9539.792589	N
hsa-let-7b	70595	10024.883637	N
hsa-let-7c	683	96.989808	N
hsa-let-7d	5337	757.883759	N
hsa-let-7e	11504	1633.632146	N
hsa-let-7f-1	35146	4990.927974	N
hsa-let-7f-2	36440	5174.683189	N
hsa-let-7g	3893	552.827707	N
hsa-let-7i	1098	155.922122	N
hsa-mir-1-1	46	6.532256	N
hsa-mir-1-2	51	7.242284	N
hsa-mir-100	4457	632.918852	N
hsa-mir-101-1	37370	5306.748375	N
hsa-mir-101-2	37847	5374.485035	N
hsa-mir-103a-1	185159	26293.610445	Y
hsa-mir-103a-2	185330	26317.893398	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	51	7.242284	N
hsa-mir-105-2	40	5.680223	N
hsa-mir-106a	126	17.892703	Y
hsa-mir-106b	6516	925.308333	N
hsa-mir-107	859	121.982790	Y
hsa-mir-10a	255255	36247.633300	N
hsa-mir-10b	926866	131620.140196	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	120	17.040669	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.142006	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.142006	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	1.988078	N
hsa-mir-1227	1	0.142006	N
hsa-mir-1228	1	0.142006	N
hsa-mir-1229	2	0.284011	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.142006	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.142006	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
