miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	128390	17530.813761	N
hsa-let-7a-2	128994	17613.286006	Y
hsa-let-7a-3	127940	17469.369207	N
hsa-let-7b	136095	18582.881056	N
hsa-let-7c	40471	5526.050033	Y
hsa-let-7d	2277	310.909439	N
hsa-let-7e	11759	1605.614448	N
hsa-let-7f-1	86303	11784.109510	N
hsa-let-7f-2	88206	12043.951699	N
hsa-let-7g	5278	720.676338	N
hsa-let-7i	3746	511.491770	N
hsa-mir-1-1	55	7.509890	N
hsa-mir-1-2	51	6.963716	N
hsa-mir-100	32611	4452.818503	Y
hsa-mir-101-1	83909	11457.224487	N
hsa-mir-101-2	84859	11586.940766	N
hsa-mir-103a-1	38407	5244.224349	Y
hsa-mir-103a-2	38327	5233.300872	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.136543	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	37	5.052108	Y
hsa-mir-106b	2541	346.956911	N
hsa-mir-107	506	69.090987	Y
hsa-mir-10a	7380	1007.690673	N
hsa-mir-10b	31777	4338.941264	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.819261	N
hsa-mir-1180	42	5.734825	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	18	2.457782	N
hsa-mir-1185-2	5	0.682717	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	8	1.092348	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
