miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	137313	35645.835946	N
hsa-let-7a-2	137350	35655.440979	Y
hsa-let-7a-3	137894	35796.660927	N
hsa-let-7b	285206	74038.192208	N
hsa-let-7c	63911	16591.007560	Y
hsa-let-7d	26821	6962.610721	N
hsa-let-7e	26132	6783.749426	N
hsa-let-7f-1	6362	1651.546527	N
hsa-let-7f-2	6591	1710.993895	N
hsa-let-7g	1138	295.419671	N
hsa-let-7i	2360	612.645364	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	1	0.259595	N
hsa-mir-100	35432	9197.987512	Y
hsa-mir-101-1	502	130.316938	N
hsa-mir-101-2	475	123.307859	N
hsa-mir-103a-1	39490	10251.426023	Y
hsa-mir-103a-2	39830	10339.688491	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.519191	N
hsa-mir-105-2	9	2.336359	N
hsa-mir-106a	17	4.413123	Y
hsa-mir-106b	2399	622.769588	N
hsa-mir-107	297	77.099861	Y
hsa-mir-10a	48202	12513.021959	N
hsa-mir-10b	87838	22802.348924	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	896	232.597562	N
hsa-mir-1181	5	1.297977	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.519191	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	4	1.038382	N
hsa-mir-1197	7	1.817168	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	41	10.643415	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	158	41.016088	N
hsa-mir-1227	5	1.297977	N
hsa-mir-1228	52	13.498966	N
hsa-mir-1229	26	6.749483	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	1.038382	N
hsa-mir-1236	2	0.519191	N
hsa-mir-1237	1	0.259595	N
hsa-mir-1238	1	0.259595	N
hsa-mir-124-1	1	0.259595	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	2	0.519191	N
hsa-mir-1243	1	0.259595	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	1.038382	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	679	176.265340	N
hsa-mir-1248	69	17.912089	N
hsa-mir-1249	21	5.451505	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	57	14.796943	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	27	7.009078	N
hsa-mir-1254-2	16	4.153528	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.259595	N
hsa-mir-125a	22828	5926.045917	N
hsa-mir-125b-1	7107	1844.945170	N
hsa-mir-125b-2	7784	2020.691318	N
hsa-mir-126	660	171.333025	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	21	5.451505	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.778786	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	215	55.813031	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	31	8.047460	N
hsa-mir-1269b	131	34.007010	N
hsa-mir-127	30707	7971.398807	N
hsa-mir-1270	5	1.297977	N
hsa-mir-1271	27	7.009078	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	20	5.191910	N
hsa-mir-1276	7	1.817168	N
hsa-mir-1277	1	0.259595	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	624	161.987588	N
hsa-mir-128-2	385	99.944265	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	330	85.666513	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	89	23.103999	N
hsa-mir-129-2	58	15.056539	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	8	2.076764	N
hsa-mir-1292	16	4.153528	N
hsa-mir-1293	1	0.259595	N
hsa-mir-1294	1	0.259595	N
hsa-mir-1295a	35	9.085842	N
hsa-mir-1295b	1	0.259595	N
hsa-mir-1296	128	33.228223	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	202	52.438290	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	13	3.374741	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	129	33.487819	N
hsa-mir-1307	47511	12333.641473	N
hsa-mir-130a	331	85.926108	N
hsa-mir-130b	207	53.736267	N
hsa-mir-132	2839	736.991605	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.259595	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	20	5.191910	Y
hsa-mir-133a-2	16	4.153528	Y
hsa-mir-133b	7	1.817168	Y
hsa-mir-134	5095	1322.639037	N
hsa-mir-1343	24	6.230292	N
hsa-mir-135a-1	8	2.076764	N
hsa-mir-135a-2	124	32.189841	N
hsa-mir-135b	30	7.787865	N
hsa-mir-136	36	9.345438	N
hsa-mir-137	0	0.000000	N
