miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	37263	6703.765284	N
hsa-let-7a-2	37421	6732.190127	Y
hsa-let-7a-3	38158	6864.779425	N
hsa-let-7b	71119	12794.597409	N
hsa-let-7c	2764	497.254844	Y
hsa-let-7d	3373	606.816421	N
hsa-let-7e	7348	1321.935091	N
hsa-let-7f-1	20828	3747.041927	N
hsa-let-7f-2	21157	3806.230366	N
hsa-let-7g	2343	421.515231	N
hsa-let-7i	2769	498.154364	N
hsa-mir-1-1	181	32.562636	N
hsa-mir-1-2	192	34.541581	N
hsa-mir-100	21295	3831.057127	N
hsa-mir-101-1	25040	4504.797862	N
hsa-mir-101-2	25196	4532.862896	N
hsa-mir-103a-1	162282	29195.191956	Y
hsa-mir-103a-2	162029	29149.676227	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	338	60.807575	N
hsa-mir-105-2	304	54.690837	N
hsa-mir-106a	184	33.102349	Y
hsa-mir-106b	20599	3705.843896	N
hsa-mir-107	693	124.673519	Y
hsa-mir-10a	56524	10168.897537	N
hsa-mir-10b	258736	46547.658926	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	243	43.716689	N
hsa-mir-1181	2	0.359808	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.179904	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	6	1.079424	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.079424	N
hsa-mir-1227	2	0.359808	N
hsa-mir-1228	4	0.719616	N
hsa-mir-1229	1	0.179904	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.179904	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.179904	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.179904	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.899520	N
hsa-mir-1245b	1	0.179904	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	132	23.747337	N
hsa-mir-1248	6	1.079424	N
hsa-mir-1249	12	2.158849	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.359808	N
hsa-mir-1254-2	6	1.079424	N
hsa-mir-1255a	4	0.719616	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	4786	861.020869	N
hsa-mir-125b-1	1348	242.510684	N
hsa-mir-125b-2	1357	244.129820	N
hsa-mir-126	30750	5532.050090	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.359808	N
hsa-mir-1263	0	0.000000	N
