miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	16832	4587.155963	N
hsa-let-7a-2	16757	4566.716521	N
hsa-let-7a-3	17181	4682.267503	N
hsa-let-7b	18370	5006.300799	N
hsa-let-7c	3525	960.653801	N
hsa-let-7d	2132	581.025221	N
hsa-let-7e	2179	593.833938	N
hsa-let-7f-1	10513	2865.064796	N
hsa-let-7f-2	11069	3016.589197	N
hsa-let-7g	2720	741.270450	N
hsa-let-7i	1559	424.867879	N
hsa-mir-1-1	3	0.817578	N
hsa-mir-1-2	7	1.907681	N
hsa-mir-100	3633	990.086598	N
hsa-mir-101-1	8601	2343.995273	N
hsa-mir-101-2	8907	2427.388199	N
hsa-mir-103a-1	34403	9375.708567	Y
hsa-mir-103a-2	34390	9372.165731	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	35	9.538407	Y
hsa-mir-106b	838	228.376705	N
hsa-mir-107	146	39.788782	Y
hsa-mir-10a	184096	50170.928245	N
hsa-mir-10b	280383	76411.629661	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.545052	N
hsa-mir-1180	240	65.406216	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.272526	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.272526	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.272526	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.545052	N
hsa-mir-1229	3	0.817578	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.272526	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1	0.272526	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	2	0.545052	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.272526	N
hsa-mir-1254-2	1	0.272526	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	2.180207	N
hsa-mir-125a	2178	593.561412	N
hsa-mir-125b-1	566	154.249660	N
hsa-mir-125b-2	538	146.618935	N
hsa-mir-126	1755	478.282956	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.817578	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	31	8.448303	N
hsa-mir-1267	1	0.272526	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6	1.635155	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	205	55.867810	N
hsa-mir-1270	18	4.905466	N
hsa-mir-1271	12	3.270311	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	5	1.362630	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	293	79.850089	N
hsa-mir-128-2	132	35.973419	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	57	15.533976	N
hsa-mir-1288	4	1.090104	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	1.907681	N
hsa-mir-129-2	1	0.272526	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	1.362630	N
hsa-mir-1292	1	0.272526	N
hsa-mir-1293	2	0.545052	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	2	0.545052	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	20	5.450518	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	50	13.626295	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.545052	N
hsa-mir-1305	5	1.362630	N
hsa-mir-1306	3	0.817578	N
hsa-mir-1307	3636	990.904176	N
hsa-mir-130a	293	79.850089	N
hsa-mir-130b	25	6.813148	N
hsa-mir-132	307	83.665452	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	13	3.542837	Y
hsa-mir-133a-2	1	0.272526	N
hsa-mir-133b	1	0.272526	Y
hsa-mir-134	155	42.241515	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	49	13.353769	N
hsa-mir-135a-2	53	14.443873	N
hsa-mir-135b	212	57.775491	N
hsa-mir-136	12	3.270311	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	18	4.905466	N
hsa-mir-138-2	14	3.815363	N
hsa-mir-139	65	17.714184	N
hsa-mir-140	4087	1113.813357	N
hsa-mir-141	21	5.723044	N
hsa-mir-142	1902	518.344263	N
hsa-mir-143	31463	8574.482419	N
hsa-mir-144	158	43.059092	N
hsa-mir-145	3231	880.531186	N
hsa-mir-1468	33	8.993355	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	575	156.702393	N
hsa-mir-146b	1593	434.133760	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	0.817578	N
hsa-mir-148a	25296	6893.815188	N
hsa-mir-148b	394	107.375205	N
hsa-mir-149	286	77.942408	N
hsa-mir-150	591	161.062807	N
hsa-mir-151a	3742	1019.791921	N
hsa-mir-151b	3	0.817578	N
hsa-mir-152	415	113.098249	N
hsa-mir-153-1	1	0.272526	N
hsa-mir-153-2	3	0.817578	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	5	1.362630	N
hsa-mir-155	721	196.491175	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	277	75.489675	N
hsa-mir-15b	354	96.474169	N
hsa-mir-16-1	189	51.507395	N
hsa-mir-16-2	208	56.685387	N
hsa-mir-17	1369	373.087958	Y
hsa-mir-181a-1	2699	735.547406	N
hsa-mir-181a-2	4768	1299.403495	N
hsa-mir-181b-1	657	179.049517	N
hsa-mir-181b-2	704	191.858234	N
hsa-mir-181c	258	70.311682	N
hsa-mir-181d	68	18.531761	N
hsa-mir-182	87312	23794.781456	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	21828	5948.695364	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	109	29.705323	N
hsa-mir-186	750	204.394426	N
hsa-mir-187	49	13.353769	N
hsa-mir-188	11	2.997785	N
hsa-mir-18a	33	8.993355	N
hsa-mir-18b	2	0.545052	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	52	14.171347	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	2270	618.633795	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	4875	1328.563767	Y
hsa-mir-193a	192	52.324973	N
hsa-mir-193b	128	34.883315	N
hsa-mir-194-1	1288	351.013360	N
hsa-mir-194-2	1587	432.498605	N
hsa-mir-195	39	10.628510	N
hsa-mir-196a-1	265	72.219364	N
hsa-mir-196a-2	487	132.720114	N
hsa-mir-196b	2942	801.771200	N
hsa-mir-197	1141	310.952053	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	30	8.175777	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	643	175.234154	Y
hsa-mir-199a-2	843	229.739334	Y
hsa-mir-199b	757	206.302107	Y
hsa-mir-19a	91	24.799857	N
hsa-mir-19b-1	403	109.827938	N
hsa-mir-19b-2	346	94.293962	N
hsa-mir-200a	3347	912.144190	N
hsa-mir-200b	5090	1387.156835	N
hsa-mir-200c	168	45.784351	N
hsa-mir-202	1	0.272526	N
hsa-mir-203a	484	131.902536	N
hsa-mir-203b	3	0.817578	N
hsa-mir-204	7662	2088.093452	N
hsa-mir-205	4	1.090104	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	2	0.545052	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	881	240.095319	N
hsa-mir-20b	68	18.531761	N
hsa-mir-21	1021735	278449.251317	N
hsa-mir-210	896	244.183207	N
hsa-mir-211	13	3.542837	N
hsa-mir-2110	3	0.817578	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	2	0.545052	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	1	0.272526	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	5	1.362630	N
hsa-mir-214	28	7.630725	N
hsa-mir-215	3	0.817578	Y
