miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	207030	20463.297031	N
hsa-let-7a-2	207509	20510.642437	N
hsa-let-7a-3	207478	20507.578329	N
hsa-let-7b	292494	28910.745312	N
hsa-let-7c	30668	3031.292051	N
hsa-let-7d	6335	626.165226	N
hsa-let-7e	12212	1207.060732	N
hsa-let-7f-1	71347	7052.093191	N
hsa-let-7f-2	72838	7199.466885	N
hsa-let-7g	6198	612.623847	N
hsa-let-7i	5402	533.945470	N
hsa-mir-1-1	274	27.082758	N
hsa-mir-1-2	327	32.321394	N
hsa-mir-100	106717	10548.141184	Y
hsa-mir-101-1	179021	17694.826343	N
hsa-mir-101-2	180863	17876.893643	N
hsa-mir-103a-1	106755	10551.897187	Y
hsa-mir-103a-2	107235	10599.341434	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	136	13.442537	Y
hsa-mir-106b	7383	729.751833	N
hsa-mir-107	1165	115.151143	Y
hsa-mir-10a	382966	37853.195242	N
hsa-mir-10b	48881	4831.504720	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	140	13.837906	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.197684	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	6	0.593053	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	0.593053	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.296527	N
hsa-mir-1229	2	0.197684	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.691895	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	278	27.478127	N
hsa-mir-1248	5	0.494211	N
hsa-mir-1249	2	0.197684	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.098842	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	5	0.494211	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	23	2.273370	N
hsa-mir-125a	6605	652.852615	N
hsa-mir-125b-1	2840	280.711798	N
hsa-mir-125b-2	2965	293.067071	N
hsa-mir-126	77906	7700.399065	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	1.284948	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
