miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	73344	16123.422974	N
hsa-let-7a-2	72761	15995.260403	N
hsa-let-7a-3	73792	16221.908105	N
hsa-let-7b	45596	10023.500135	N
hsa-let-7c	9249	2033.234335	N
hsa-let-7d	1720	378.112559	N
hsa-let-7e	8058	1771.413372	N
hsa-let-7f-1	55567	12215.453812	N
hsa-let-7f-2	56757	12477.054943	N
hsa-let-7g	4554	1001.118949	N
hsa-let-7i	3172	697.309905	N
hsa-mir-1-1	23	5.056156	N
hsa-mir-1-2	40	8.793315	N
hsa-mir-100	23157	5090.670073	Y
hsa-mir-101-1	25036	5503.736060	N
hsa-mir-101-2	25354	5573.642917	N
hsa-mir-103a-1	30306	6662.255353	Y
hsa-mir-103a-2	30432	6689.954297	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.439666	N
hsa-mir-106a	18	3.956992	Y
hsa-mir-106b	1278	280.946425	N
hsa-mir-107	208	45.725240	Y
hsa-mir-10a	125300	27545.060245	N
hsa-mir-10b	174768	38419.753304	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	12	2.637995	N
hsa-mir-1181	4	0.879332	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.219833	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.219833	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.758663	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.219833	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.219833	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	27	5.935488	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.219833	N
hsa-mir-1247	556	122.227083	N
hsa-mir-1248	11	2.418162	N
hsa-mir-1249	2	0.439666	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.439666	N
hsa-mir-125a	1367	300.511551	N
hsa-mir-125b-1	1002	220.272549	N
hsa-mir-125b-2	1032	226.867535	N
hsa-mir-126	8343	1834.065743	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	1.318997	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	22	4.836323	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5	1.099164	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	8531	1875.394325	N
hsa-mir-1270	2	0.439666	N
hsa-mir-1271	9	1.978496	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.219833	N
hsa-mir-1276	1	0.219833	N
hsa-mir-1277	3	0.659499	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	258	56.716884	N
hsa-mir-128-2	144	31.655935	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.219833	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	74	16.267633	N
hsa-mir-1288	2	0.439666	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	5	1.099164	N
hsa-mir-129-2	5	1.099164	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.219833	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	3	0.659499	N
hsa-mir-1295a	10	2.198329	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	21	4.616491	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	27	5.935488	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	10	2.198329	N
hsa-mir-1305	1	0.219833	N
hsa-mir-1306	24	5.275989	N
hsa-mir-1307	1706	375.034898	N
hsa-mir-130a	112	24.621283	N
hsa-mir-130b	51	11.211477	N
hsa-mir-132	745	163.775498	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	4	0.879332	Y
hsa-mir-133a-2	8	1.758663	Y
hsa-mir-133b	3	0.659499	Y
hsa-mir-134	3115	684.779431	N
hsa-mir-1343	3	0.659499	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	42	9.232981	N
hsa-mir-136	145	31.875768	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	6	1.318997	N
hsa-mir-138-2	8	1.758663	N
hsa-mir-139	212	46.604571	N
hsa-mir-140	5396	1186.218237	N
hsa-mir-141	2411	530.017081	N
hsa-mir-142	10121	2224.928609	N
hsa-mir-143	1215036	267104.866880	N
hsa-mir-144	103	22.642787	N
hsa-mir-145	5253	1154.782135	N
hsa-mir-1468	13	2.857827	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	624	137.175719	N
hsa-mir-146b	4434	974.739003	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	210946	46372.867346	N
hsa-mir-148b	398	87.493487	N
hsa-mir-149	22	4.836323	N
hsa-mir-150	8898	1956.072993	N
hsa-mir-151a	10864	2388.264441	N
hsa-mir-151b	11	2.418162	N
hsa-mir-152	1766	388.224871	N
hsa-mir-153-1	5	1.099164	N
hsa-mir-153-2	29	6.375154	N
hsa-mir-1537	1	0.219833	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	34	7.474318	N
hsa-mir-155	2169	476.817523	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	444	97.605800	N
hsa-mir-15b	795	174.767142	N
hsa-mir-16-1	666	146.408700	N
hsa-mir-16-2	638	140.253379	N
hsa-mir-17	2274	499.899976	Y
hsa-mir-181a-1	1607	353.271443	N
hsa-mir-181a-2	2936	645.429345	N
hsa-mir-181b-1	301	66.169698	N
hsa-mir-181b-2	247	54.298722	N
hsa-mir-181c	193	42.427746	N
hsa-mir-181d	50	10.991644	N
hsa-mir-182	33757	7420.898633	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	10677	2347.155692	N
hsa-mir-184	5	1.099164	N
hsa-mir-185	213	46.824404	N
hsa-mir-186	765	168.172156	N
hsa-mir-187	3	0.659499	N
hsa-mir-188	8	1.758663	N
hsa-mir-18a	19	4.176825	N
hsa-mir-18b	0	0.000000	N
