miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	195639	23917.543468	N
hsa-let-7a-2	195200	23863.874202	N
hsa-let-7a-3	196082	23971.701749	N
hsa-let-7b	469276	57370.611835	N
hsa-let-7c	10819	1322.660118	N
hsa-let-7d	7442	909.810204	N
hsa-let-7e	11678	1427.675835	N
hsa-let-7f-1	33577	4104.904222	N
hsa-let-7f-2	34049	4162.607852	N
hsa-let-7g	12965	1585.016030	N
hsa-let-7i	15248	1864.120665	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	1	0.122253	N
hsa-mir-100	176962	21634.215710	Y
hsa-mir-101-1	12074	1476.088202	N
hsa-mir-101-2	12184	1489.536082	N
hsa-mir-103a-1	155403	18998.553497	Y
hsa-mir-103a-2	155545	19015.913488	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.366760	N
hsa-mir-105-2	2	0.244507	N
hsa-mir-106a	896	109.539095	Y
hsa-mir-106b	4911	600.386712	N
hsa-mir-107	611	74.696860	Y
hsa-mir-10a	67605	8264.944751	N
hsa-mir-10b	253070	30938.681580	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.489014	N
hsa-mir-1180	274	33.497446	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.244507	N
hsa-mir-1225	4	0.489014	N
hsa-mir-1226	36	4.401124	N
hsa-mir-1227	1	0.122253	N
hsa-mir-1228	32	3.912111	N
hsa-mir-1229	17	2.078309	N
hsa-mir-1231	1	0.122253	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.122253	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	6	0.733521	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	21	2.567323	N
hsa-mir-1245b	2	0.244507	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	56	6.846193	N
hsa-mir-1248	44	5.379152	N
hsa-mir-1249	62	7.579714	N
hsa-mir-1250	2	0.244507	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.244507	N
hsa-mir-1254-2	3	0.366760	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.122253	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.366760	N
hsa-mir-125a	13771	1683.552314	N
hsa-mir-125b-1	7044	861.153329	N
hsa-mir-125b-2	7045	861.275583	N
hsa-mir-126	14699	1797.003519	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	43	5.256899	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.611267	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	9	1.100281	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1509	184.480462	N
hsa-mir-1270	54	6.601687	N
hsa-mir-1271	112	13.692387	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.122253	N
hsa-mir-1277	2	0.244507	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1325	161.985826	N
hsa-mir-128-2	881	107.705293	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	6	0.733521	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	83	10.147037	N
hsa-mir-1288	10	1.222535	N
hsa-mir-1289-1	1	0.122253	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	17	2.078309	N
hsa-mir-129-2	11	1.344788	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.366760	N
hsa-mir-1292	11	1.344788	N
hsa-mir-1293	6	0.733521	N
hsa-mir-1294	2	0.244507	N
hsa-mir-1295a	3	0.366760	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	20	2.445069	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	374	45.722792	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	43	5.256899	N
hsa-mir-1305	24	2.934083	N
hsa-mir-1306	293	35.820262	N
hsa-mir-1307	14053	1718.027788	N
hsa-mir-130a	283	34.597727	N
hsa-mir-130b	1799	219.933964	N
hsa-mir-132	2820	344.754740	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1	0.122253	N
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	687	83.988123	N
hsa-mir-1343	10	1.222535	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	151	18.460272	N
hsa-mir-136	54	6.601687	N
hsa-mir-137	213	26.039986	N
hsa-mir-138-1	309	37.776317	N
hsa-mir-138-2	162	19.805060	N
hsa-mir-139	157	19.193792	N
hsa-mir-140	11741	1435.377802	N
hsa-mir-141	7	0.855774	N
hsa-mir-142	19056	2329.661818	N
hsa-mir-143	155243	18978.992945	N
hsa-mir-144	10	1.222535	N
hsa-mir-145	7705	941.962862	N
hsa-mir-1468	57	6.968447	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2733	334.118690	N
hsa-mir-146b	29030	3549.017767	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	5	0.611267	N
hsa-mir-148a	155437	19002.710115	N
hsa-mir-148b	1696	207.341858	N
hsa-mir-149	1577	192.793697	N
hsa-mir-150	21674	2649.721360	N
hsa-mir-151a	11175	1366.182347	N
hsa-mir-151b	46	5.623659	N
hsa-mir-152	2078	254.042677	N
hsa-mir-153-1	6	0.733521	N
hsa-mir-153-2	24	2.934083	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	9	1.100281	N
hsa-mir-1539	1	0.122253	N
hsa-mir-154	23	2.811829	N
hsa-mir-155	35092	4290.118204	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	847	103.548675	N
hsa-mir-15b	3084	377.029652	N
hsa-mir-16-1	1916	234.237618	N
hsa-mir-16-2	2005	245.118175	N
hsa-mir-17	2674	326.905736	Y
hsa-mir-181a-1	27017	3302.921564	Y
hsa-mir-181a-2	42592	5207.019109	N
hsa-mir-181b-1	5405	660.779918	N
hsa-mir-181b-2	5393	659.312877	N
hsa-mir-181c	891	108.927827	Y
hsa-mir-181d	529	64.672077	N
hsa-mir-182	3229	394.756403	N
hsa-mir-1825	0	0.000000	N
