miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	37535	9217.620820	N
hsa-let-7a-2	37485	9205.342119	Y
hsa-let-7a-3	37659	9248.071998	N
hsa-let-7b	13510	3317.705003	N
hsa-let-7c	6241	1532.627455	Y
hsa-let-7d	4678	1148.795263	N
hsa-let-7e	9021	2215.323229	N
hsa-let-7f-1	22479	5520.258383	N
hsa-let-7f-2	22749	5586.563368	N
hsa-let-7g	3750	920.902573	N
hsa-let-7i	4982	1223.449765	N
hsa-mir-1-1	62	15.225589	N
hsa-mir-1-2	70	17.190181	N
hsa-mir-100	100390	24653.175812	Y
hsa-mir-101-1	120874	29683.514027	N
hsa-mir-101-2	122016	29963.959557	N
hsa-mir-103a-1	39074	9595.559236	Y
hsa-mir-103a-2	39346	9662.355369	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	45	11.050831	Y
hsa-mir-106b	1940	476.413598	N
hsa-mir-107	640	157.167372	Y
hsa-mir-10a	9965	2447.145104	N
hsa-mir-10b	43859	10770.630919	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	42	10.314109	N
hsa-mir-1180	189	46.413490	N
hsa-mir-1181	9	2.210166	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.491148	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.245574	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	1.227870	N
hsa-mir-1225	1	0.245574	N
hsa-mir-1226	5	1.227870	N
hsa-mir-1227	1	0.245574	N
hsa-mir-1228	2	0.491148	N
hsa-mir-1229	1	0.245574	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.245574	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.982296	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	58	14.243293	N
hsa-mir-1248	9	2.210166	N
hsa-mir-1249	10	2.455740	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	675	165.762463	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.736722	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.245574	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.245574	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.491148	N
hsa-mir-125a	6481	1591.565220	N
hsa-mir-125b-1	6859	1684.392199	N
hsa-mir-125b-2	6763	1660.817094	N
hsa-mir-126	28321	6954.901805	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.491148	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	14	3.438036	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1976	485.254262	N
hsa-mir-1270	11	2.701314	N
hsa-mir-1271	19	4.665906	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
