miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	36792	10365.879599	N
hsa-let-7a-2	37092	10450.402427	Y
hsa-let-7a-3	37155	10468.152221	N
hsa-let-7b	30097	8479.611826	N
hsa-let-7c	22341	6294.414985	Y
hsa-let-7d	854	240.608316	N
hsa-let-7e	2177	613.353987	N
hsa-let-7f-1	16965	4779.765911	N
hsa-let-7f-2	17415	4906.550153	N
hsa-let-7g	1568	441.772647	N
hsa-let-7i	974	274.417448	N
hsa-mir-1-1	498	140.307894	N
hsa-mir-1-2	566	159.466402	N
hsa-mir-100	22103	6227.360208	Y
hsa-mir-101-1	22505	6340.620798	N
hsa-mir-101-2	22652	6382.036983	N
hsa-mir-103a-1	27878	7854.424643	Y
hsa-mir-103a-2	28060	7905.701825	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	63	17.749794	Y
hsa-mir-106b	800	225.394207	N
hsa-mir-107	83	23.384649	Y
hsa-mir-10a	16879	4755.536034	N
hsa-mir-10b	104381	29408.590957	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	22	6.198341	N
hsa-mir-1181	1	0.281743	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.281743	N
hsa-mir-1185-2	1	0.281743	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.281743	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.563486	N
hsa-mir-1229	1	0.281743	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
