miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	18125	6035.371774	N
hsa-let-7a-2	18076	6019.055458	N
hsa-let-7a-3	18391	6123.946058	N
hsa-let-7b	76043	25321.256596	N
hsa-let-7c	4675	1556.709685	N
hsa-let-7d	1882	626.679706	N
hsa-let-7e	1672	556.752640	N
hsa-let-7f-1	4291	1428.843050	N
hsa-let-7f-2	4304	1433.171868	N
hsa-let-7g	1677	558.417570	N
hsa-let-7i	1928	641.997064	N
hsa-mir-1-1	5	1.664930	N
hsa-mir-1-2	14	4.661804	N
hsa-mir-100	16335	5439.326782	Y
hsa-mir-101-1	19209	6396.328629	N
hsa-mir-101-2	19026	6335.392186	N
hsa-mir-103a-1	17248	5743.343027	Y
hsa-mir-103a-2	17124	5702.052759	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	36	11.987497	N
hsa-mir-105-2	39	12.986455	N
hsa-mir-106a	39	12.986455	Y
hsa-mir-106b	791	263.391949	N
hsa-mir-107	120	39.958323	Y
hsa-mir-10a	67730	22553.143738	N
hsa-mir-10b	33397	11120.734407	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.332986	N
hsa-mir-1180	18	5.993749	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.665972	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.332986	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	1.997916	N
hsa-mir-1229	1	0.332986	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	1.664930	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	111	36.961449	N
hsa-mir-1248	3	0.998958	N
hsa-mir-1249	6	1.997916	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.332986	N
hsa-mir-1252	1	0.332986	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.665972	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.998958	N
hsa-mir-125a	1478	492.153351	N
hsa-mir-125b-1	497	165.494056	N
hsa-mir-125b-2	532	177.148567	N
hsa-mir-126	19347	6442.280701	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	2.330902	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	15	4.994790	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	707	235.421122	N
hsa-mir-1269b	239	79.583661	N
hsa-mir-127	2503	833.464030	N
hsa-mir-1270	3	0.998958	N
hsa-mir-1271	11	3.662846	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.332986	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	12	3.995832	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	155	51.612834	N
hsa-mir-128-2	123	40.957282	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	1	0.332986	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	81	26.971868	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	5	1.664930	N
hsa-mir-129-2	1	0.332986	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.332986	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	5	1.664930	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	5	1.664930	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	10	3.329860	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	32	10.655553	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	2	0.665972	N
hsa-mir-1306	13	4.328818	N
hsa-mir-1307	1476	491.487379	N
hsa-mir-130a	334	111.217334	N
hsa-mir-130b	86	28.636798	N
hsa-mir-132	245	81.581577	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	5	1.664930	N
hsa-mir-133a-2	6	1.997916	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	1641	546.430073	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	1	0.332986	N
hsa-mir-135a-2	1	0.332986	N
hsa-mir-135b	138	45.952072	N
hsa-mir-136	185	61.602415	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	9	2.996874	N
hsa-mir-138-2	3	0.998958	N
hsa-mir-139	52	17.315274	N
hsa-mir-140	1724	574.067914	N
hsa-mir-141	4892	1628.967653	N
hsa-mir-142	21628	7201.821833	N
hsa-mir-143	136027	45295.090554	N
hsa-mir-144	250	83.246507	N
hsa-mir-145	6014	2002.577978	N
hsa-mir-1468	12	3.995832	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	605	201.456547	N
hsa-mir-146b	4050	1348.593417	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.332986	N
hsa-mir-148a	310204	103293.598111	N
hsa-mir-148b	574	191.133981	N
hsa-mir-149	595	198.126687	N
hsa-mir-150	2440	812.485911	N
hsa-mir-151a	5752	1915.335638	N
hsa-mir-151b	10	3.329860	N
hsa-mir-152	1443	480.498840	N
hsa-mir-153-1	2	0.665972	N
hsa-mir-153-2	59	19.646176	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	28	9.323609	N
hsa-mir-155	1853	617.023112	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	323	107.554487	N
hsa-mir-15b	488	162.497182	N
hsa-mir-16-1	1266	421.560313	N
hsa-mir-16-2	1175	391.258584	N
hsa-mir-17	900	299.687426	Y
hsa-mir-181a-1	2574	857.106038	N
hsa-mir-181a-2	5669	1887.697798	N
hsa-mir-181b-1	489	162.830168	N
hsa-mir-181b-2	396	131.862467	N
hsa-mir-181c	149	49.614918	N
hsa-mir-181d	16	5.327776	N
hsa-mir-182	57986	19308.527872	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	27154	9041.902629	N
hsa-mir-184	34	11.321525	N
hsa-mir-185	169	56.274639	N
hsa-mir-186	912	303.683258	N
hsa-mir-187	34	11.321525	N
hsa-mir-188	7	2.330902	N
hsa-mir-18a	22	7.325693	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	10	3.329860	N
hsa-mir-190b	4	1.331944	N
hsa-mir-191	1176	391.591570	N
hsa-mir-1910	3	0.998958	N
hsa-mir-1911	3	0.998958	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	714	237.752025	Y
hsa-mir-193a	297	98.896851	N
hsa-mir-193b	330	109.885390	N
hsa-mir-194-1	104	34.630547	N
hsa-mir-194-2	131	43.621170	N
hsa-mir-195	107	35.629505	N
hsa-mir-196a-1	19	6.326735	N
hsa-mir-196a-2	31	10.322567	N
hsa-mir-196b	428	142.518020	N
hsa-mir-197	590	196.461757	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	25	8.324651	N
hsa-mir-198	1	0.332986	N
hsa-mir-199a-1	6423	2138.769264	Y
hsa-mir-199a-2	11124	3704.136586	Y
hsa-mir-199b	14620	4868.255743	Y
hsa-mir-19a	60	19.979162	N
hsa-mir-19b-1	107	35.629505	N
hsa-mir-19b-2	112	37.294435	N
hsa-mir-200a	1448	482.163770	N
hsa-mir-200b	1198	398.917263	N
hsa-mir-200c	24080	8018.303576	N
hsa-mir-202	2	0.665972	N
hsa-mir-203a	162742	54190.812316	N
hsa-mir-203b	245	81.581577	N
hsa-mir-204	33	10.988539	N
hsa-mir-205	25583	8518.781577	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	301	100.228795	N
hsa-mir-20b	19	6.326735	N
hsa-mir-21	1065033	354641.109323	N
hsa-mir-210	2990	995.628226	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	6	1.997916	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	3	0.998958	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	3	0.998958	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	18	5.993749	N
hsa-mir-214	104	34.630547	N
hsa-mir-215	14	4.661804	Y
hsa-mir-216a	1	0.332986	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	53	17.648260	N
hsa-mir-218-1	95	31.633673	N
hsa-mir-218-2	98	32.632631	N
hsa-mir-219a-1	9	2.996874	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	1	0.332986	N
hsa-mir-22	272624	90779.983144	N
hsa-mir-221	592	197.127729	N
hsa-mir-222	272	90.572200	N
hsa-mir-223	722	240.415913	N
hsa-mir-224	274	91.238172	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	3	0.998958	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	404	134.526356	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	12866	4284.198248	Y
hsa-mir-23b	6423	2138.769264	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	2639	878.750130	N
hsa-mir-24-2	2729	908.718873	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	17730	5903.842292	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	2751	916.044566	N
hsa-mir-26a-2	2746	914.379635	N
hsa-mir-26b	2521	839.457779	N
hsa-mir-27a	4043	1346.262515	Y
hsa-mir-27b	4093	1362.911816	Y
hsa-mir-28	12983	4323.157613	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	22	7.325693	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	7	2.330902	N
hsa-mir-29a	21733	7236.785366	N
hsa-mir-29b-1	1570	522.788065	N
hsa-mir-29b-2	1637	545.098129	N
hsa-mir-29c	10053	3347.508549	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	41	13.652427	N
hsa-mir-301b	5	1.664930	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	0	0.000000	N
hsa-mir-3065	181	60.270471	N
hsa-mir-3074	14	4.661804	N
hsa-mir-30a	101246	33713.503483	Y
hsa-mir-30b	914	304.349230	Y
hsa-mir-30c-1	1039	345.972484	Y
hsa-mir-30c-2	1090	362.954772	Y
hsa-mir-30d	14283	4756.039451	N
hsa-mir-30e	53592	17845.387261	Y
hsa-mir-31	279	92.903102	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	2	0.665972	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	2	0.665972	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	1	0.332986	N
hsa-mir-3130-1	12	3.995832	N
hsa-mir-3130-2	20	6.659721	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	0	0.000000	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	1	0.332986	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
