miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	40018	7458.850325	N
hsa-let-7a-2	39735	7406.102696	N
hsa-let-7a-3	40299	7511.225180	N
hsa-let-7b	41846	7799.566463	N
hsa-let-7c	6560	1222.701238	N
hsa-let-7d	1881	350.594669	N
hsa-let-7e	4668	870.056308	N
hsa-let-7f-1	23742	4425.209266	N
hsa-let-7f-2	24305	4530.145364	N
hsa-let-7g	4567	851.231182	N
hsa-let-7i	4914	915.907604	N
hsa-mir-1-1	18	3.354973	N
hsa-mir-1-2	12	2.236649	N
hsa-mir-100	17991	3353.295422	N
hsa-mir-101-1	39778	7414.117353	N
hsa-mir-101-2	39913	7439.279650	N
hsa-mir-103a-1	84933	15830.439669	Y
hsa-mir-103a-2	85537	15943.017649	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3114	580.410313	N
hsa-mir-105-2	3133	583.951673	N
hsa-mir-106a	94	17.520414	Y
hsa-mir-106b	7834	1460.158765	N
hsa-mir-107	1007	187.692095	Y
hsa-mir-10a	27448	5115.960911	N
hsa-mir-10b	122820	22892.098480	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.372775	N
hsa-mir-1180	127	23.671198	N
hsa-mir-1181	1	0.186387	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	45	8.387432	N
hsa-mir-1185-2	11	2.050261	N
hsa-mir-1193	4	0.745550	N
hsa-mir-1197	13	2.423036	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.931937	N
hsa-mir-1224	60	11.183243	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.931937	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	18	3.354973	N
hsa-mir-1229	2	0.372775	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	4	0.745550	N
hsa-mir-124-2	3	0.559162	N
hsa-mir-124-3	4	0.745550	N
hsa-mir-1243	2	0.372775	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.745550	N
hsa-mir-1245b	1	0.186387	N
hsa-mir-1246	2	0.372775	N
hsa-mir-1247	60	11.183243	N
hsa-mir-1248	27	5.032459	N
hsa-mir-1249	19	3.541360	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	2	0.372775	N
hsa-mir-1254-1	6	1.118324	N
hsa-mir-1254-2	6	1.118324	N
hsa-mir-1255a	3	0.559162	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.186387	N
hsa-mir-1258	4	0.745550	N
hsa-mir-125a	8824	1644.682275	N
hsa-mir-125b-1	2152	401.105650	N
