miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	79288	14229.694491	N
hsa-let-7a-2	79835	14327.863733	N
hsa-let-7a-3	79966	14351.374100	N
hsa-let-7b	46331	8314.952773	N
hsa-let-7c	2317	415.828399	N
hsa-let-7d	3679	660.264429	N
hsa-let-7e	14776	2651.825822	N
hsa-let-7f-1	40176	7210.324461	N
hsa-let-7f-2	40488	7266.318618	N
hsa-let-7g	4927	884.241055	N
hsa-let-7i	4493	806.351747	N
hsa-mir-1-1	2	0.358937	N
hsa-mir-1-2	3	0.538405	N
hsa-mir-100	16876	3028.709568	N
hsa-mir-101-1	21387	3838.291748	N
hsa-mir-101-2	21627	3881.364176	N
hsa-mir-103a-1	211378	37935.682097	Y
hsa-mir-103a-2	211464	37951.116383	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1471	263.998090	N
hsa-mir-105-2	1448	259.870316	N
hsa-mir-106a	13	2.333090	Y
hsa-mir-106b	9083	1630.111934	N
hsa-mir-107	1424	255.563073	Y
hsa-mir-10a	146824	26350.275753	N
hsa-mir-10b	472631	84822.353154	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.538405	N
hsa-mir-1180	767	137.652301	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.538405	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	36	6.460864	N
hsa-mir-1227	1	0.179468	N
hsa-mir-1228	21	3.768837	N
hsa-mir-1229	17	3.050964	N
hsa-mir-1231	4	0.717874	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.538405	N
hsa-mir-1236	1	0.179468	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	10	1.794685	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	1.076811	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	58	10.409170	N
hsa-mir-1248	77	13.819071	N
hsa-mir-1249	178	31.945384	N
hsa-mir-1250	1	0.179468	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	2	0.358937	N
hsa-mir-1254-1	21	3.768837	N
hsa-mir-1254-2	18	3.230432	N
hsa-mir-1255a	4	0.717874	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	6574	1179.825593	N
hsa-mir-125b-1	720	129.217284	N
hsa-mir-125b-2	777	139.446986	N
hsa-mir-126	10844	1946.155876	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.717874	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.179468	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	29	5.204585	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	12	2.153621	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	775	139.088049	N
hsa-mir-1270	1	0.179468	N
hsa-mir-1271	35	6.281396	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.358937	N
hsa-mir-1275	24	4.307243	N
hsa-mir-1276	6	1.076811	N
hsa-mir-1277	1	0.179468	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1738	311.916167	N
hsa-mir-128-2	1420	254.845199	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.179468	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.717874	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.179468	N
hsa-mir-1287	3763	675.339779	N
hsa-mir-1288	33	5.922459	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	19	3.409901	N
hsa-mir-129-2	19	3.409901	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	9	1.615216	N
hsa-mir-1292	20	3.589369	N
hsa-mir-1293	3	0.538405	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	6	1.076811	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	10	1.794685	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	751	134.780806	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	9	1.615216	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	520	93.323594	N
hsa-mir-1307	21587	3874.185438	N
hsa-mir-130a	263	47.200202	N
hsa-mir-130b	446	80.042929	N
hsa-mir-132	1476	264.895433	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.358937	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	4	0.717874	N
hsa-mir-133a-2	5	0.897342	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	671	120.423330	N
hsa-mir-1343	11	1.974153	N
hsa-mir-135a-1	6	1.076811	N
hsa-mir-135a-2	1	0.179468	N
hsa-mir-135b	39	6.999270	N
hsa-mir-136	22	3.948306	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	128	22.971962	N
hsa-mir-138-2	50	8.973423	N
hsa-mir-139	297	53.302130	N
hsa-mir-140	14217	2551.502959	N
hsa-mir-141	5	0.897342	N
hsa-mir-142	4069	730.257124	N
hsa-mir-143	66588	11950.445171	N
hsa-mir-144	86	15.434287	N
hsa-mir-145	2938	527.278307	N
hsa-mir-1468	54	9.691296	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	4777	857.320787	N
hsa-mir-146b	6057	1087.040404	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.179468	N
hsa-mir-148a	247967	44502.253226	N
hsa-mir-148b	3165	568.017645	N
hsa-mir-149	181	32.483790	N
hsa-mir-150	20715	3717.688949	N
hsa-mir-151a	14869	2668.516388	N
