miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	32319	6777.072906	N
hsa-let-7a-2	32328	6778.960144	N
hsa-let-7a-3	32562	6828.028341	N
hsa-let-7b	55233	11581.981739	N
hsa-let-7c	4259	893.083125	N
hsa-let-7d	2474	518.780852	N
hsa-let-7e	3204	671.856852	N
hsa-let-7f-1	14759	3094.861197	N
hsa-let-7f-2	14855	3114.991739	N
hsa-let-7g	2852	598.044863	N
hsa-let-7i	3384	709.601619	N
hsa-mir-1-1	123	25.792257	N
hsa-mir-1-2	131	27.469803	N
hsa-mir-100	15656	3282.955952	Y
hsa-mir-101-1	15939	3342.299113	N
hsa-mir-101-2	16024	3360.123031	N
hsa-mir-103a-1	51611	10822.473150	Y
hsa-mir-103a-2	51911	10885.381095	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.419386	N
hsa-mir-105-2	2	0.419386	N
hsa-mir-106a	79	16.565759	Y
hsa-mir-106b	3701	776.074347	N
hsa-mir-107	289	60.601320	Y
hsa-mir-10a	187779	39375.969962	N
hsa-mir-10b	85584	17946.378526	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.209693	N
hsa-mir-1180	77	16.146373	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.629079	N
hsa-mir-1185-2	1	0.209693	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.629079	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.467852	N
hsa-mir-1229	4	0.838773	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	12	2.516318	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	889	186.417210	N
hsa-mir-1248	23	4.822942	N
hsa-mir-1249	13	2.726011	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.419386	N
hsa-mir-1252	1	0.209693	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	1.467852	N
hsa-mir-1254-2	9	1.887238	N
hsa-mir-1255a	1	0.209693	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.629079	N
hsa-mir-125a	2106	441.613773	N
hsa-mir-125b-1	1615	338.654437	N
hsa-mir-125b-2	1747	366.333933	N
hsa-mir-126	13891	2912.847543	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.629079	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	37	7.758647	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	14	2.935704	N
hsa-mir-127	7671	1608.556152	N
hsa-mir-1270	9	1.887238	N
hsa-mir-1271	7	1.467852	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.209693	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	7	1.467852	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	493	103.378723	N
hsa-mir-128-2	280	58.714082	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.629079	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	106	22.227474	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	10	2.096931	N
hsa-mir-129-2	6	1.258159	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.838773	N
hsa-mir-1292	2	0.419386	N
hsa-mir-1293	2	0.419386	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.209693	N
