miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	39557	5755.520248	N
hsa-let-7a-2	39300	5718.126899	N
hsa-let-7a-3	39114	5691.064008	N
hsa-let-7b	31258	4548.020626	N
hsa-let-7c	6422	934.397225	N
hsa-let-7d	1797	261.462444	N
hsa-let-7e	4789	696.796685	N
hsa-let-7f-1	25392	3694.521074	N
hsa-let-7f-2	26214	3814.121591	N
hsa-let-7g	5303	771.583383	N
hsa-let-7i	7073	1029.117342	N
hsa-mir-1-1	35	5.092479	N
hsa-mir-1-2	39	5.674477	N
hsa-mir-100	28986	4217.445962	N
hsa-mir-101-1	38845	5651.924666	N
hsa-mir-101-2	39204	5704.158955	N
hsa-mir-103a-1	82152	11953.067710	Y
hsa-mir-103a-2	83088	12089.255159	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	73	10.621457	N
hsa-mir-105-2	73	10.621457	N
hsa-mir-106a	640	93.119624	Y
hsa-mir-106b	6631	964.806602	N
hsa-mir-107	651	94.720117	Y
hsa-mir-10a	17496	2545.657716	N
hsa-mir-10b	70935	10321.000803	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.745993	N
hsa-mir-1180	121	17.605429	N
hsa-mir-1181	3	0.436498	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	135	19.642421	N
hsa-mir-1185-2	27	3.928484	N
hsa-mir-1193	17	2.473490	N
hsa-mir-1197	29	4.219483	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	29	4.219483	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.727497	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	1.309495	N
hsa-mir-1229	2	0.290999	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	41	5.965476	N
hsa-mir-124-2	50	7.274971	N
hsa-mir-124-3	48	6.983972	N
hsa-mir-1243	9	1.309495	N
hsa-mir-1244-1	1	0.145499	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.727497	N
hsa-mir-1245b	1	0.145499	N
hsa-mir-1246	6	0.872996	N
hsa-mir-1247	80	11.639953	N
hsa-mir-1248	54	7.856968	N
hsa-mir-1249	35	5.092479	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	29	4.219483	N
hsa-mir-1252	2	0.290999	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	1.018496	N
hsa-mir-1254-2	9	1.309495	N
hsa-mir-1255a	2	0.290999	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	3	0.436498	N
hsa-mir-1258	2	0.290999	N
hsa-mir-125a	3100	451.048178	N
hsa-mir-125b-1	1978	287.797837	N
hsa-mir-125b-2	2078	302.347779	N
hsa-mir-126	11811	1718.493557	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.436498	N
hsa-mir-1263	1	0.145499	N
hsa-mir-1264	1	0.145499	N
hsa-mir-1265	1	0.145499	N
hsa-mir-1266	40	5.819976	N
hsa-mir-1267	2	0.290999	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7049	1025.625356	N
hsa-mir-1269b	1	0.145499	N
hsa-mir-127	100955	14688.893157	N
hsa-mir-1270	130	18.914924	N
hsa-mir-1271	36	5.237979	N
hsa-mir-1272	3	0.436498	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.436498	N
hsa-mir-1276	2	0.290999	N
hsa-mir-1277	22	3.200987	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1329	193.368719	N
hsa-mir-128-2	938	136.478449	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	307	44.668320	N
hsa-mir-1283-2	1066	155.102373	Y
hsa-mir-1284	3	0.436498	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.145499	N
hsa-mir-1287	169	24.589401	N
hsa-mir-1288	1	0.145499	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	76	11.057955	N
hsa-mir-129-2	83	12.076451	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	15	2.182491	N
hsa-mir-1292	1	0.145499	N
hsa-mir-1293	5	0.727497	N
hsa-mir-1294	2	0.290999	N
hsa-mir-1295a	1	0.145499	N
hsa-mir-1295b	1	0.145499	N
hsa-mir-1296	101	14.695441	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	178	25.898895	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	69	10.039459	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	7	1.018496	N
hsa-mir-1305	5	0.727497	N
hsa-mir-1306	42	6.110975	N
hsa-mir-1307	8115	1180.727730	N
hsa-mir-130a	1758	255.787967	N
hsa-mir-130b	576	83.807661	N
hsa-mir-132	2340	340.468625	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	3596	523.215886	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	22	3.200987	N
hsa-mir-133a-2	21	3.055488	Y
hsa-mir-133b	2	0.290999	Y
hsa-mir-134	19125	2782.676258	N
hsa-mir-1343	2	0.290999	N
hsa-mir-135a-1	63	9.166463	N
hsa-mir-135a-2	192	27.935887	N
hsa-mir-135b	353	51.361293	N
hsa-mir-136	3328	484.222044	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.145499	N
hsa-mir-138-2	2	0.290999	N
hsa-mir-139	193	28.081387	N
hsa-mir-140	14519	2112.505965	N
hsa-mir-141	43585	6341.591880	N
hsa-mir-142	40765	5931.283538	N
hsa-mir-143	134129	19515.690657	N
hsa-mir-144	523	76.096193	N
hsa-mir-145	3277	476.801574	N
hsa-mir-1468	15	2.182491	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	3936	572.685686	N
hsa-mir-146b	20295	2952.910570	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	13	1.891492	N
hsa-mir-148a	347559	50569.630199	N
hsa-mir-148b	1313	191.040728	N
hsa-mir-149	322	46.850811	N
hsa-mir-150	22212	3231.832943	N
hsa-mir-151a	14650	2131.566388	N
hsa-mir-151b	8	1.163995	N
hsa-mir-152	2176	316.606721	N
hsa-mir-153-1	5	0.727497	N
hsa-mir-153-2	74	10.766957	N
hsa-mir-1537	3	0.436498	N
hsa-mir-1538	3	0.436498	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	3850	560.172737	N
hsa-mir-155	5831	848.407072	N
hsa-mir-1587	1	0.145499	N
hsa-mir-15a	1983	288.525334	N
hsa-mir-15b	2921	425.003783	N
hsa-mir-16-1	2114	307.585757	N
hsa-mir-16-2	2359	343.233113	N
hsa-mir-17	11450	1665.968269	Y
hsa-mir-181a-1	14821	2156.446788	N
hsa-mir-181a-2	13660	1987.521970	N
hsa-mir-181b-1	1908	277.612878	N
hsa-mir-181b-2	1871	272.229400	N
hsa-mir-181c	944	137.351445	N
hsa-mir-181d	198	28.808884	N
hsa-mir-182	418444	60883.356031	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	106985	15566.254612	N
hsa-mir-184	146	21.242914	N
hsa-mir-185	1304	189.731233	N
hsa-mir-186	2142	311.659741	N
hsa-mir-187	31	4.510482	N
hsa-mir-188	31	4.510482	N
hsa-mir-18a	707	102.868084	Y
hsa-mir-18b	82	11.930952	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	1	0.145499	N
hsa-mir-190a	21	3.055488	N
hsa-mir-190b	2	0.290999	N
hsa-mir-191	6502	946.037178	N
hsa-mir-1910	1	0.145499	N
hsa-mir-1911	50	7.274971	N
hsa-mir-1912	15	2.182491	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	2	0.290999	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	3984	579.669658	Y
hsa-mir-193a	2811	408.998848	N
hsa-mir-193b	1027	149.427896	N
hsa-mir-194-1	765	111.307050	N
hsa-mir-194-2	836	121.637509	N
hsa-mir-195	90	13.094947	N
hsa-mir-196a-1	53	7.711469	N
hsa-mir-196a-2	56	8.147967	N
hsa-mir-196b	1988	289.252831	N
hsa-mir-197	1900	276.448883	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	73	10.621457	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	16249	2364.219949	Y
hsa-mir-199a-2	26428	3845.258465	Y
hsa-mir-199b	34051	4954.400484	Y
hsa-mir-19a	486	70.712714	N
hsa-mir-19b-1	1366	198.752197	N
hsa-mir-19b-2	948	137.933443	N
hsa-mir-200a	41	5.965476	N
hsa-mir-200b	30	4.364982	N
hsa-mir-200c	28348	4124.617337	N
hsa-mir-202	16	2.327991	N
hsa-mir-203a	790	114.944536	N
hsa-mir-203b	52	7.565969	N
hsa-mir-204	7	1.018496	N
hsa-mir-205	9235	1343.687072	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	3	0.436498	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	1	0.145499	N
hsa-mir-20a	7741	1126.310950	N
hsa-mir-20b	3113	452.939670	N
hsa-mir-21	2481517	361059.264821	N
hsa-mir-210	10333	1503.445426	N
hsa-mir-211	3	0.436498	N
hsa-mir-2110	21	3.055488	N
hsa-mir-2113	22	3.200987	N
hsa-mir-2114	1	0.145499	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	3	0.436498	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	77	11.203455	N
hsa-mir-214	270	39.284841	N
hsa-mir-215	13	1.891492	Y
hsa-mir-216a	16	2.327991	N
hsa-mir-216b	6	0.872996	N
hsa-mir-217	789	114.799036	N
hsa-mir-218-1	695	101.122091	N
hsa-mir-218-2	751	109.270059	N
hsa-mir-219a-1	39	5.674477	N
hsa-mir-219a-2	737	107.233067	N
hsa-mir-219b	4	0.581998	N
hsa-mir-22	673162	97944.675304	N
hsa-mir-221	1672	243.275017	N
hsa-mir-222	611	88.900141	N
hsa-mir-223	2264	329.410669	N
hsa-mir-224	63	9.166463	N
hsa-mir-2276	1	0.145499	N
hsa-mir-2277	4	0.581998	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	157	22.843408	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	16612	2417.036235	Y
hsa-mir-23b	1378	200.498190	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	4148	603.531562	N
hsa-mir-24-2	4203	611.534029	N
hsa-mir-2467	1	0.145499	N
hsa-mir-25	73450	10686.931825	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	8051	1171.415767	N
hsa-mir-26a-2	8063	1173.161760	N
hsa-mir-26b	3113	452.939670	N
hsa-mir-27a	6743	981.102536	Y
hsa-mir-27b	2081	302.784277	Y
hsa-mir-28	9566	1391.847377	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	28	4.073984	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	1497	217.812620	N
hsa-mir-29a	45204	6577.155428	N
hsa-mir-29b-1	4268	620.991491	N
hsa-mir-29b-2	4414	642.234405	N
hsa-mir-29c	14953	2175.652710	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	112	16.295934	N
hsa-mir-301b	26	3.782985	N
hsa-mir-302a	62619	9111.027691	Y
hsa-mir-302b	74840	10889.176008	Y
hsa-mir-302c	3960	576.177672	N
hsa-mir-302d	11531	1677.753722	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	5	0.727497	N
hsa-mir-3065	115	16.732432	N
hsa-mir-3074	18	2.618989	N
hsa-mir-30a	33789	4916.279638	Y
hsa-mir-30b	1617	235.272549	Y
hsa-mir-30c-1	2100	305.548766	Y
hsa-mir-30c-2	2284	332.320657	N
hsa-mir-30d	27417	3989.157384	N
hsa-mir-30e	74849	10890.485502	Y
hsa-mir-31	149	21.679412	N
hsa-mir-3115	1	0.145499	N
hsa-mir-3116-1	1	0.145499	N
hsa-mir-3116-2	1	0.145499	N
hsa-mir-3117	13	1.891492	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	21	3.055488	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	8	1.163995	N
hsa-mir-3130-1	58	8.438966	N
hsa-mir-3130-2	50	7.274971	N
hsa-mir-3131	3	0.436498	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	1	0.145499	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	4	0.581998	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	5	0.727497	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	1	0.145499	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	1	0.145499	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	2	0.290999	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	1	0.145499	N
hsa-mir-3150b	0	0.000000	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	2	0.290999	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	2	0.290999	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	7	1.018496	N
hsa-mir-3158-1	5	0.727497	N
hsa-mir-3158-2	3	0.436498	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	2	0.290999	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	8	1.163995	N
hsa-mir-3162	0	0.000000	N
