miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	27930	5410.153772	N
hsa-let-7a-2	27996	5422.938238	N
hsa-let-7a-3	28136	5450.056804	N
hsa-let-7b	21422	4149.527895	N
hsa-let-7c	445	86.198297	N
hsa-let-7d	2156	417.625905	N
hsa-let-7e	3643	705.663809	N
hsa-let-7f-1	23179	4489.865889	N
hsa-let-7f-2	23852	4620.228706	N
hsa-let-7g	3529	683.581549	N
hsa-let-7i	2888	559.417261	N
hsa-mir-1-1	2	0.387408	N
hsa-mir-1-2	2	0.387408	N
hsa-mir-100	3241	627.794786	N
hsa-mir-101-1	21915	4245.023985	N
hsa-mir-101-2	22129	4286.476649	N
hsa-mir-103a-1	57457	11129.652892	Y
hsa-mir-103a-2	57340	11106.989520	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	71	13.752987	Y
hsa-mir-106b	2557	495.301224	N
hsa-mir-107	493	95.496091	Y
hsa-mir-10a	182851	35418.976991	N
hsa-mir-10b	77681	15047.123350	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	246	47.651193	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.193704	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	1.355928	N
hsa-mir-1227	1	0.193704	N
hsa-mir-1228	6	1.162224	N
hsa-mir-1229	1	0.193704	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.193704	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	3	0.581112	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2	0.387408	N
hsa-mir-1248	7	1.355928	N
hsa-mir-1249	36	6.973345	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	16	3.099265	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.774816	N
hsa-mir-1254-2	10	1.937040	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.193704	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2184	423.049618	N
hsa-mir-125b-1	178	34.479319	N
hsa-mir-125b-2	182	35.254135	N
hsa-mir-126	4307	834.283290	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.774816	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	1.355928	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	137	26.537453	N
hsa-mir-1270	3	0.581112	N
hsa-mir-1271	10	1.937040	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.387408	N
hsa-mir-1275	2	0.387408	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	8	1.549632	N
hsa-mir-1278	1	0.193704	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1000	193.704038	N
hsa-mir-128-2	687	133.074674	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.387408	N
hsa-mir-1285-1	1	0.193704	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	269	52.106386	N
hsa-mir-1288	2	0.387408	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	11	2.130744	N
hsa-mir-129-2	9	1.743336	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	6	1.162224	N
hsa-mir-1292	2	0.387408	N
hsa-mir-1293	1	0.193704	N
hsa-mir-1294	1	0.193704	N
hsa-mir-1295a	3	0.581112	N
hsa-mir-1295b	1	0.193704	N
hsa-mir-1296	26	5.036305	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.193704	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	71	13.752987	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.193704	N
hsa-mir-1304	2	0.387408	N
hsa-mir-1305	9	1.743336	N
hsa-mir-1306	35	6.779641	N
hsa-mir-1307	12216	2366.288524	N
hsa-mir-130a	492	95.302387	N
hsa-mir-130b	165	31.961166	N
hsa-mir-132	228	44.164521	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.387408	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1	0.193704	N
hsa-mir-133a-2	2	0.387408	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	32	6.198529	N
hsa-mir-1343	1	0.193704	N
hsa-mir-135a-1	29	5.617417	N
hsa-mir-135a-2	32	6.198529	N
hsa-mir-135b	152	29.443014	N
hsa-mir-136	5	0.968520	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	17	3.292969	N
hsa-mir-138-2	8	1.549632	N
hsa-mir-139	98	18.982996	N
hsa-mir-140	6900	1336.557860	N
hsa-mir-141	28	5.423713	N
hsa-mir-142	26754	5182.357824	N
hsa-mir-143	54183	10495.465873	N
hsa-mir-144	299	57.917507	N
hsa-mir-145	1195	231.476325	N
hsa-mir-1468	14	2.711857	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2133	413.170712	N
hsa-mir-146b	3441	666.535594	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	5	0.968520	N
hsa-mir-148a	162351	31448.044219	N
hsa-mir-148b	1199	232.251141	N
hsa-mir-149	120	23.244485	N
hsa-mir-150	2350	455.204489	N
hsa-mir-151a	11509	2229.339769	N
hsa-mir-151b	9	1.743336	N
hsa-mir-152	2484	481.160830	N
hsa-mir-153-1	4	0.774816	N
hsa-mir-153-2	22	4.261489	N
hsa-mir-1537	3	0.581112	N
hsa-mir-1538	1	0.193704	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	2	0.387408	N
hsa-mir-155	1580	306.052380	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1184	229.345581	N
hsa-mir-15b	1114	215.786298	N
hsa-mir-16-1	1014	196.415894	N
hsa-mir-16-2	1032	199.902567	N
hsa-mir-17	3512	680.288580	Y
hsa-mir-181a-1	7261	1406.485017	N
hsa-mir-181a-2	8209	1590.116445	N
hsa-mir-181b-1	1078	208.812953	N
hsa-mir-181b-2	1097	212.493329	N
hsa-mir-181c	486	94.140162	N
hsa-mir-181d	101	19.564108	N
hsa-mir-182	6855	1327.841178	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	2333	451.911520	N
hsa-mir-184	1	0.193704	N
hsa-mir-185	1365	264.406011	N
hsa-mir-186	1338	259.176002	N
hsa-mir-187	29	5.617417	N
hsa-mir-188	21	4.067785	N
hsa-mir-18a	76	14.721507	N
hsa-mir-18b	4	0.774816	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	81	15.690027	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	2502	484.647502	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.193704	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	6274	1215.299132	Y
hsa-mir-193a	1343	260.144523	N
hsa-mir-193b	490	94.914978	N
hsa-mir-194-1	1637	317.093510	N
hsa-mir-194-2	1939	375.592129	N
hsa-mir-195	75	14.527803	N
hsa-mir-196a-1	697	135.011714	N
hsa-mir-196a-2	816	158.062495	N
hsa-mir-196b	9911	1919.800717	N
hsa-mir-197	1257	243.485975	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	57	11.041130	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	221	42.808592	Y
hsa-mir-199a-2	399	77.287911	Y
hsa-mir-199b	522	101.113508	Y
hsa-mir-19a	222	43.002296	N
hsa-mir-19b-1	367	71.089382	N
hsa-mir-19b-2	349	67.602709	N
hsa-mir-200a	2409	466.633027	N
hsa-mir-200b	2957	572.782839	N
hsa-mir-200c	214	41.452664	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	2467	477.867861	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	2413	467.407843	N
hsa-mir-205	2	0.387408	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	9	1.743336	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1877	363.582479	N
hsa-mir-20b	153	29.636718	N
hsa-mir-21	2534843	491009.323944	N
hsa-mir-210	2827	547.601314	N
hsa-mir-211	35	6.779641	N
hsa-mir-2110	10	1.937040	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	4	0.774816	N
hsa-mir-2115	8	1.549632	N
hsa-mir-2116	2	0.387408	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	4	0.774816	N
hsa-mir-214	4	0.774816	N
hsa-mir-215	19	3.680377	Y
hsa-mir-216a	2	0.387408	N
hsa-mir-216b	1	0.193704	N
hsa-mir-217	37	7.167049	N
hsa-mir-218-1	2	0.387408	N
hsa-mir-218-2	3	0.581112	N
hsa-mir-219a-1	21	4.067785	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	3	0.581112	N
hsa-mir-22	211416	40952.132827	N
hsa-mir-221	782	151.476557	N
hsa-mir-222	289	55.980467	N
hsa-mir-223	9087	1760.188590	N
hsa-mir-224	263	50.944162	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	5	0.968520	N
hsa-mir-2278	1	0.193704	N
hsa-mir-2355	128	24.794117	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	20309	3933.935301	Y
hsa-mir-23b	3748	726.002733	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	3331	645.228149	N
hsa-mir-24-2	3229	625.470338	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	46428	8993.291061	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	4012	777.140599	N
hsa-mir-26a-2	4147	803.290644	N
hsa-mir-26b	3318	642.709997	N
hsa-mir-27a	7222	1398.930560	Y
hsa-mir-27b	4592	889.488941	Y
hsa-mir-28	20625	3995.145777	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	3	0.581112	N
hsa-mir-297	0	0.000000	N
