miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	34863	6565.414317	N
hsa-let-7a-2	34511	6499.125534	N
hsa-let-7a-3	35335	6654.301549	N
hsa-let-7b	40296	7588.559083	N
hsa-let-7c	8553	1610.704433	N
hsa-let-7d	2178	410.161844	N
hsa-let-7e	7805	1469.840769	N
hsa-let-7f-1	5708	1074.932878	N
hsa-let-7f-2	5859	1103.369259	N
hsa-let-7g	1557	293.214872	N
hsa-let-7i	933	175.702939	N
hsa-mir-1-1	1	0.188320	N
hsa-mir-1-2	6	1.129922	N
hsa-mir-100	6436	1212.030134	N
hsa-mir-101-1	3946	743.112322	N
hsa-mir-101-2	3835	722.208757	N
hsa-mir-103a-1	79705	15010.077967	Y
hsa-mir-103a-2	79886	15044.163960	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	12	2.259845	N
hsa-mir-105-2	8	1.506563	N
hsa-mir-106a	66	12.429147	Y
hsa-mir-106b	7824	1473.418857	N
hsa-mir-107	739	139.168780	Y
hsa-mir-10a	658099	123933.470920	N
hsa-mir-10b	1394924	262692.654129	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	278	52.353073	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.188320	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.376641	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	16	3.013126	N
hsa-mir-1227	2	0.376641	N
hsa-mir-1228	4	0.753282	N
hsa-mir-1229	2	0.376641	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.188320	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.376641	N
hsa-mir-1245b	1	0.188320	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	5	0.941602	N
hsa-mir-1248	27	5.084651	N
hsa-mir-1249	3	0.564961	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.376641	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.188320	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	6086	1146.117991	N
hsa-mir-125b-1	5230	984.915724	N
hsa-mir-125b-2	5552	1045.554895	N
hsa-mir-126	12755	2402.026780	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.376641	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	51	9.604341	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	16954	3192.784165	N
hsa-mir-1269b	3	0.564961	N
hsa-mir-127	665	125.233070	N
hsa-mir-1270	15	2.824806	N
hsa-mir-1271	3	0.564961	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.753282	N
hsa-mir-1276	1	0.188320	N
hsa-mir-1277	1	0.188320	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1023	192.651775	N
hsa-mir-128-2	769	144.818392	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.188320	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	328	61.769093	N
hsa-mir-1288	2	0.376641	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	35	6.591214	N
hsa-mir-129-2	58	10.922584	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.188320	N
hsa-mir-1292	3	0.564961	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.188320	N
hsa-mir-1295a	1	0.188320	N
hsa-mir-1295b	1	0.188320	N
hsa-mir-1296	60	11.299224	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	4	0.753282	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	290	54.612918	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.376641	N
hsa-mir-1305	4	0.753282	N
hsa-mir-1306	139	26.176536	N
hsa-mir-1307	9672	1821.434968	N
hsa-mir-130a	2501	470.989336	N
hsa-mir-130b	254	47.833383	N
hsa-mir-132	405	76.269764	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	5	0.941602	N
hsa-mir-133a-2	15	2.824806	Y
hsa-mir-133b	3	0.564961	Y
hsa-mir-134	260	48.963306	N
hsa-mir-1343	3	0.564961	N
hsa-mir-135a-1	57	10.734263	N
hsa-mir-135a-2	7	1.318243	N
hsa-mir-135b	2263	426.169079	N
hsa-mir-136	4	0.753282	N
hsa-mir-137	1	0.188320	N
hsa-mir-138-1	16	3.013126	N
hsa-mir-138-2	12	2.259845	N
hsa-mir-139	112	21.091885	N
hsa-mir-140	3059	576.072122	N
hsa-mir-141	4174	786.049375	N
hsa-mir-142	1327	249.901179	N
hsa-mir-143	143074	26943.753779	N
hsa-mir-144	222	41.807130	N
hsa-mir-145	6520	1227.849048	N
hsa-mir-1468	34	6.402894	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2192	412.798330	N
hsa-mir-146b	11967	2253.630300	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.188320	N
hsa-mir-148a	620373	116828.895280	N
hsa-mir-148b	683	128.622837	N
hsa-mir-149	166	31.261187	N
hsa-mir-150	804	151.409606	N
hsa-mir-151a	13711	2582.061088	N
hsa-mir-151b	6	1.129922	N
hsa-mir-152	406	76.458085	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	3	0.564961	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.188320	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	6	1.129922	N
hsa-mir-155	198	37.287440	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	450	84.744183	N
hsa-mir-15b	1182	222.594720	N
hsa-mir-16-1	1237	232.952342	N
hsa-mir-16-2	1192	224.477924	N
hsa-mir-17	3321	625.412069	Y
hsa-mir-181a-1	6227	1172.671169	N
hsa-mir-181a-2	24140	4546.054603	N
hsa-mir-181b-1	1025	193.028416	N
hsa-mir-181b-2	1066	200.749553	N
hsa-mir-181c	1343	252.914305	N
hsa-mir-181d	172	32.391110	N
hsa-mir-182	215497	40582.482549	N
hsa-mir-1825	0	0.000000	N
