miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	53576	5101.829959	N
hsa-let-7a-2	53380	5083.165656	N
hsa-let-7a-3	53708	5114.399795	N
hsa-let-7b	98253	9356.243447	N
hsa-let-7c	10513	1001.111288	N
hsa-let-7d	6478	616.874244	N
hsa-let-7e	16193	1541.995157	N
hsa-let-7f-1	42723	4068.341820	N
hsa-let-7f-2	43011	4095.766917	N
hsa-let-7g	5363	510.697216	N
hsa-let-7i	6229	593.162961	N
hsa-mir-1-1	218	20.759275	N
hsa-mir-1-2	239	22.759022	N
hsa-mir-100	28598	2723.274100	Y
hsa-mir-101-1	70042	6669.821823	N
hsa-mir-101-2	70572	6720.291620	N
hsa-mir-103a-1	89373	8510.636272	Y
hsa-mir-103a-2	89898	8560.629939	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	723	68.848422	N
hsa-mir-105-2	709	67.515258	N
hsa-mir-106a	69	6.570596	Y
hsa-mir-106b	7646	728.098250	N
hsa-mir-107	878	83.608457	Y
hsa-mir-10a	101233	9640.017026	N
hsa-mir-10b	321563	30621.168938	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.190452	N
hsa-mir-1180	99	9.427377	N
hsa-mir-1181	3	0.285678	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.380904	N
hsa-mir-1185-2	5	0.476130	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.190452	N
hsa-mir-1224	7	0.666582	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	1.047486	N
hsa-mir-1227	1	0.095226	N
hsa-mir-1228	11	1.047486	N
hsa-mir-1229	3	0.285678	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.095226	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.095226	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	1.714069	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	619	58.944915	N
hsa-mir-1248	10	0.952260	N
hsa-mir-1249	29	2.761555	N
hsa-mir-1250	2	0.190452	N
hsa-mir-1251	2	0.190452	N
hsa-mir-1252	2	0.190452	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.190452	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	7	0.666582	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	0.761808	N
hsa-mir-125a	10126	964.258813	N
hsa-mir-125b-1	2452	233.494234	N
hsa-mir-125b-2	2512	239.207796	N
hsa-mir-126	10066	958.545251	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.190452	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	16	1.523617	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	59	5.618336	N
hsa-mir-1267	1	0.095226	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	400	38.090413	N
hsa-mir-1269b	1	0.095226	N
hsa-mir-127	13662	1300.978067	N
hsa-mir-1270	17	1.618843	N
hsa-mir-1271	31	2.952007	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	7	0.666582	N
hsa-mir-1276	3	0.285678	N
hsa-mir-1277	7	0.666582	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	710	67.610484	N
hsa-mir-128-2	614	58.468784	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.190452	N
hsa-mir-1283-2	2	0.190452	N
hsa-mir-1284	1	0.095226	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	434	41.328098	N
hsa-mir-1288	3	0.285678	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	4	0.380904	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.476130	N
hsa-mir-1292	4	0.380904	N
hsa-mir-1293	21	1.999747	N
hsa-mir-1294	7	0.666582	N
hsa-mir-1295a	6	0.571356	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	165	15.712295	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	88	8.379891	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.095226	N
hsa-mir-1304	14	1.333164	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	103	9.808281	N
hsa-mir-1307	7937	755.809026	N
hsa-mir-130a	528	50.279346	N
hsa-mir-130b	677	64.468025	N
