miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	39765	9782.374456	N
hsa-let-7a-2	39862	9806.236906	Y
hsa-let-7a-3	39954	9828.869333	N
hsa-let-7b	101706	25020.147780	N
hsa-let-7c	9029	2221.175882	Y
hsa-let-7d	2312	568.762725	N
hsa-let-7e	10766	2648.485940	N
hsa-let-7f-1	7890	1940.976599	N
hsa-let-7f-2	8120	1997.557666	N
hsa-let-7g	1074	264.208982	N
hsa-let-7i	2728	671.100654	N
hsa-mir-1-1	22	5.412102	N
hsa-mir-1-2	20	4.920093	N
hsa-mir-100	10684	2628.313559	Y
hsa-mir-101-1	105915	26055.581304	N
hsa-mir-101-2	106868	26290.023725	N
hsa-mir-103a-1	18975	4667.938019	Y
hsa-mir-103a-2	19245	4734.359271	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	39	9.594181	Y
hsa-mir-106b	2286	562.366604	N
hsa-mir-107	358	88.069661	Y
hsa-mir-10a	53968	13276.378339	N
hsa-mir-10b	143202	35228.356266	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.246005	N
hsa-mir-1180	45	11.070209	N
hsa-mir-1181	6	1.476028	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.246005	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.246005	N
hsa-mir-1224	51	12.546237	N
hsa-mir-1225	1	0.246005	N
