miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	88143	17934.187800	N
hsa-let-7a-2	88423	17991.158547	Y
hsa-let-7a-3	88702	18047.925827	N
hsa-let-7b	46757	9513.504407	N
hsa-let-7c	37458	7621.465194	Y
hsa-let-7d	9193	1870.471716	N
hsa-let-7e	5845	1189.264351	N
hsa-let-7f-1	63347	12889.021188	N
hsa-let-7f-2	64663	13156.783700	N
hsa-let-7g	5753	1170.545391	N
hsa-let-7i	2712	551.802381	N
hsa-mir-1-1	15	3.052004	N
hsa-mir-1-2	9	1.831203	N
hsa-mir-100	91075	18530.752911	Y
hsa-mir-101-1	16643	3386.300529	N
hsa-mir-101-2	16815	3421.296845	N
hsa-mir-103a-1	24981	5082.807999	Y
hsa-mir-103a-2	24819	5049.846352	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	191	38.862188	N
hsa-mir-105-2	211	42.931527	N
hsa-mir-106a	10	2.034670	Y
hsa-mir-106b	2525	513.754061	N
hsa-mir-107	152	30.926977	Y
hsa-mir-10a	193456	39361.903214	N
hsa-mir-10b	361411	73535.195612	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	1.220802	N
hsa-mir-1180	357	72.637703	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	15	3.052004	N
hsa-mir-1185-2	12	2.441603	N
hsa-mir-1193	3	0.610401	N
hsa-mir-1197	8	1.627736	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.203467	N
hsa-mir-1224	1	0.203467	N
hsa-mir-1225	0	0.000000	N
