miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	37160	9906.839452	N
hsa-let-7a-2	36998	9863.650324	N
hsa-let-7a-3	37654	10038.539632	N
hsa-let-7b	44748	11929.796872	N
hsa-let-7c	3429	914.169873	N
hsa-let-7d	2610	695.824838	N
hsa-let-7e	6247	1665.447418	N
hsa-let-7f-1	22381	5966.764633	N
hsa-let-7f-2	22863	6095.265618	N
hsa-let-7g	3748	999.215131	N
hsa-let-7i	2588	689.959647	N
hsa-mir-1-1	9	2.399396	N
hsa-mir-1-2	9	2.399396	N
hsa-mir-100	13973	3725.195577	N
hsa-mir-101-1	30773	8204.068096	N
hsa-mir-101-2	30913	8241.392034	N
hsa-mir-103a-1	62145	16567.829325	Y
hsa-mir-103a-2	62116	16560.097938	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	60	15.995973	N
hsa-mir-105-2	67	17.862170	N
hsa-mir-106a	445	118.636802	Y
hsa-mir-106b	4850	1293.007840	N
hsa-mir-107	412	109.839017	Y
hsa-mir-10a	33249	8864.168593	N
hsa-mir-10b	98641	26297.646672	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	117	31.192148	N
hsa-mir-1181	2	0.533199	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.266600	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.266600	N
hsa-mir-1224	1	0.266600	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.332998	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.799799	N
hsa-mir-1229	1	0.266600	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
